cohort,target_window,stream,june_year_horizon,n,q10,q25,median,q75,q90,width50_pct,width80_pct
all_available,excl_2020_2021,LIGHT_RUC,1,7,-0.23896603999727115,-0.1434910158407435,-0.006435295145260848,0.0371260113743877,0.053346929161632216,17.149520681470243,26.735389753666674
all_available,excl_2020_2021,LIGHT_RUC,2,15,-0.1442896866888866,-0.09987872192907497,-0.05245939735451566,0.12021025328102665,0.13251085190143425,22.27867747876955,27.60544573115995
all_available,excl_2020_2021,LIGHT_RUC,3,9,-0.14502655218897592,-0.13700909689842358,0.003906724647346267,0.05889015527957775,0.09678952945957717,18.869643263614577,23.662916369574194
all_available,excl_2020_2021,LIGHT_RUC,4,15,-0.22526927502552518,-0.1694453332173939,-0.043186263343917175,-0.006433373363203066,0.015317905656257238,14.94543772280197,21.713459887042173
all_available,excl_2020_2021,LIGHT_RUC,5,6,-0.3021840659737779,-0.2350924153387165,-0.06239921086573195,-0.04261819215477656,-0.03011817986534198,16.77794058487525,23.112886277022927
all_available,excl_2020_2021,PED,1,20,-0.0057042796086950835,-0.0019234220539581983,0.0017795731959859627,0.011580344448908722,0.017287010781766258,1.3569229681061445,2.3125336993925605
all_available,excl_2020_2021,PED,2,46,-0.00545062970340956,0.00033645394006525623,0.006755122295838266,0.01519089658116362,0.024072437644067968,1.497035417950876,2.980031972920494
all_available,excl_2020_2021,PED,3,24,0.00045795056273577437,0.005551999133550236,0.015675763332356582,0.02350817227097439,0.029055849201916853,1.8219227331021104,2.9024033184548825
all_available,excl_2020_2021,PED,4,36,-0.041496156646240845,0.0038942504739790398,0.014120727439952747,0.023077641211259516,0.02475165961317973,1.9444147365289544,6.570750251783874
all_available,excl_2020_2021,PED,5,12,-0.08299705332409747,-0.050766473537258244,0.012089106568859736,0.02321489010792285,0.026335657140958445,7.298584136957443,10.633164576437615
balanced_h20,all_targets,HEAVY_RUC,1,11,-0.04007860197092474,-0.011013472740853441,0.02106563798833733,0.024205210286723376,0.03032378894476736,3.5453580856689704,7.00743155848903
balanced_h20,all_targets,HEAVY_RUC,2,29,-0.058435052053582,-0.011556215321415021,0.004925757140318751,0.019028333620974888,0.04821154012569758,3.070022487139512,10.61531206144144
balanced_h20,all_targets,HEAVY_RUC,3,17,-0.04401711569365008,-0.025536990436285018,-0.0011149056219700055,0.04149204050609398,0.04492700101312315,6.757854459410728,8.901392503925376
