series_id,display_name,tier,parent_stream,level,candidate,FY,central,relative_width_pct,lower,upper
phev_ruc_net_revenue,PHEV RUC net revenue,3,LIGHT_RUC,80,legacy_constant,2031,102.14634531226594,4.5527,99.82113698075017,104.4715536437817
phev_ruc_net_revenue,PHEV RUC net revenue,3,LIGHT_RUC,80,legacy_constant,2040,266.37991022645804,4.5527,260.31617114001807,272.443649312898
phev_ruc_net_revenue,PHEV RUC net revenue,3,LIGHT_RUC,80,legacy_constant,2050,249.80320272590006,4.5527,244.11680752064905,255.48959793115108
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,plateau,2027,1138.2992226348838,4.961570809873371,1110.0604616552498,1166.5379836145178
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,plateau,2030,1561.9346558206582,6.546167279954185,1510.8112281338597,1613.0580835074568
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,plateau,2031,1642.9965761252706,6.546167279954185,1589.2199239867307,1696.7732282638106
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,plateau,2040,2179.062189343183,6.546167279954185,2107.739661318865,2250.3847173675013
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,plateau,2050,2380.597921237581,6.546167279954185,2302.678960143919,2458.516882331243
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,saturating,2027,1138.2992226348838,4.961570809873371,1110.0604616552498,1166.5379836145178
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,saturating,2030,1561.9346558206582,6.546167279954185,1510.8112281338597,1613.0580835074568
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,saturating,2031,1642.9965761252706,6.012632168953992,1593.6029057898104,1692.3902464607309
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,saturating,2040,2179.062189343183,8.459147156330339,2086.897150730936,2271.22722795543
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,saturating,2050,2380.597921237581,10.96704640469424,2250.057281871925,2511.138560603237
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,sqrt_stress,2027,1138.2992226348838,4.961570809873371,1110.0604616552498,1166.5379836145178
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,sqrt_stress,2030,1561.9346558206582,6.546167279954185,1510.8112281338597,1613.0580835074568
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,sqrt_stress,2031,1642.9965761252706,7.170966968866285,1584.087205238497,1701.9059470120442
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,sqrt_stress,2040,2179.062189343183,11.338294323725606,2055.5279470808086,2302.5964316055574
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,sqrt_stress,2050,2380.597921237581,14.637675030062454,2206.365827495991,2554.8300149791708
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,legacy_constant,2027,1138.2992226348838,2.716065,1122.8407492442548,1153.7576960255128
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,legacy_constant,2030,1561.9346558206582,2.716065,1540.7230755658506,1583.1462360754658
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,legacy_constant,2031,1642.9965761252706,2.716065,1620.6841486476021,1665.3090036029391
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,legacy_constant,2040,2179.062189343183,2.716065,2149.469816616691,2208.654562069675
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,50,legacy_constant,2050,2380.597921237581,2.716065,2348.2686277728503,2412.9272147023116
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,plateau,2027,1138.2992226348838,9.173839187565532,1086.0863525559673,1190.5120927138003
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,plateau,2030,1561.9346558206582,11.594666190147812,1471.3841010953386,1652.485210545978
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,plateau,2031,1642.9965761252706,11.594666190147812,1547.7465918666292,1738.246560383912
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,plateau,2040,2179.062189343183,11.594666190147812,2052.7346958781486,2305.3896828082175
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,plateau,2050,2380.597921237581,11.594666190147812,2242.586730089033,2518.609112386129
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,saturating,2027,1138.2992226348838,9.173839187565532,1086.0863525559673,1190.5120927138003
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,saturating,2030,1561.9346558206582,11.594666190147812,1471.3841010953386,1652.485210545978
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,saturating,2031,1642.9965761252706,11.536020950221513,1548.228361508654,1737.7647907418873
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,saturating,2040,2179.062189343183,17.51006253963574,1988.2846132774096,2369.8397654089567
