engine,uptake_basis,scenario_name,scenario_role,trace_name,series_id,FY,fed_path,forecast_segment,value
ensemble,MoT VFM base,actual,actual,Actual,ped_volume,2015,,,3117.13023333451
ensemble,MoT VFM base,actual,actual,Actual,ped_volume,2016,,,3202.11158003494
ensemble,MoT VFM base,actual,actual,Actual,ped_volume,2017,,,3248.73446041933
ensemble,MoT VFM base,actual,actual,Actual,ped_volume,2018,,,3248.94942465224
ensemble,MoT VFM base,actual,actual,Actual,ped_volume,2019,,,3243.01670761248
ensemble,MoT VFM base,actual,actual,Actual,ped_volume,2020,,,2878.16470095003
ensemble,MoT VFM base,actual,actual,Actual,ped_volume,2021,,,3107.84670277333
ensemble,MoT VFM base,actual,actual,Actual,ped_volume,2022,,,2850.61349601995
ensemble,MoT VFM base,actual,actual,Actual,ped_volume,2023,,,2996.27985649876
ensemble,MoT VFM base,actual,actual,Actual,ped_volume,2024,,,2904.38868695019
ensemble,MoT VFM base,actual,actual,Actual,ped_volume,2025,,,2894.27382723066
ensemble,MoT VFM base,current_basecase,basecase,Current finalist Base case,ped_volume,2025,Current planned path,econometric_forecast,2894.27382723066
ensemble,MoT VFM base,current_comparison_1,comparison,Current finalist High population/comparison,ped_volume,2025,Current planned path,econometric_forecast,2894.27382723066
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,ped_volume,2026,MBU26,,2945.82526967511
ensemble,MoT VFM base,current_basecase,basecase,Current finalist Base case,ped_volume,2026,Current planned path,econometric_forecast,3064.018338189692
ensemble,MoT VFM base,current_comparison_1,comparison,Current finalist High population/comparison,ped_volume,2026,Current planned path,econometric_forecast,3067.2648088944475
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,ped_volume,2026,BEFU26,,2910.77244455591
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,ped_volume,2027,MBU26,,2896.48943188686
ensemble,MoT VFM base,current_basecase,basecase,Current finalist Base case,ped_volume,2027,Current planned path,econometric_forecast,3003.8936760283596
ensemble,MoT VFM base,current_comparison_1,comparison,Current finalist High population/comparison,ped_volume,2027,Current planned path,econometric_forecast,3021.2817976515616
ensemble,MoT VFM base,befu26_official,official_comparator,BEFU26 official,ped_volume,2027,BEFU26,,2843.76392941454
ensemble,MoT VFM base,mbu26_official,official_comparator,MBU26 official,ped_volume,2028,MBU26,,2889.13885167999
ensemble,MoT VFM base,current_basecase,basecase,Current finalist Base case,ped_volume,2028,Current planned path,econometric_forecast,3001.2048074698355
ensemble,MoT VFM base,current_comparison_1,comparison,Current finalist High population/comparison,ped_volume,2028,Current planned path,econometric_forecast,3040.0431949467684
