engine,heavy_bev_transition,scenario_name,series_id,FY,chart_value,line_reconciliation_value,stack_component_value,formula_recomputed_value,sources_present,max_abs_residual,within_tolerance
ensemble,True,current_basecase,ruc_revenue_net_admin,2026,,2139.4339963253387,2139.4339963253387,2139.4339963253387,3,0.0,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2027,,2183.343986233349,2183.343986233349,2183.3439862333485,3,4.547473508864641e-13,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2028,,2774.8106730598697,2774.8106730598697,2774.8106730598697,3,0.0,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2029,,3083.044499091801,3083.044499091801,3083.0444990918013,3,4.547473508864641e-13,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2030,,3365.0940225744434,3365.0940225744434,3365.094022574443,3,4.547473508864641e-13,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2031,,3600.031261081814,3600.031261081814,3600.031261081814,3,0.0,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2032,,3840.763142659362,3840.763142659362,3840.763142659362,3,0.0,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2033,,4092.7011226909485,4092.7011226909485,4092.7011226909485,3,0.0,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2034,,4363.34801365602,4363.34801365602,4363.34801365602,3,0.0,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2035,,4653.383632224457,4653.383632224457,4653.383632224456,3,9.094947017729282e-13,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2036,,4963.179021949806,4963.179021949806,4963.179021949806,3,0.0,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2037,,5295.478404498043,5295.478404498043,5295.478404498044,3,9.094947017729282e-13,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2038,,5650.858005970826,5650.858005970826,5650.858005970826,3,0.0,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2039,,6039.128911181023,6039.128911181023,6039.128911181023,3,0.0,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2040,,6461.474867239373,6461.474867239373,6461.474867239374,3,9.094947017729282e-13,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2041,,6911.2979290969615,6911.2979290969615,6911.2979290969615,3,0.0,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2042,,7393.480012454486,7393.480012454486,7393.480012454485,3,9.094947017729282e-13,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2043,,7892.077178362596,7892.077178362596,7892.077178362595,3,9.094947017729282e-13,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2044,,8388.977595178829,8388.977595178829,8388.977595178829,3,0.0,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2045,,8900.53017890919,8900.53017890919,8900.53017890919,3,0.0,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2046,,9448.270677311626,9448.270677311626,9448.270677311626,3,0.0,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2047,,10011.10213745823,10011.10213745823,10011.10213745823,3,0.0,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2048,,10605.26796529531,10605.26796529531,10605.26796529531,3,0.0,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2049,,11187.478807810354,11187.478807810354,11187.478807810354,3,0.0,True
ensemble,True,current_basecase,ruc_revenue_net_admin,2050,,11736.62205648483,11736.62205648483,11736.622056484828,3,1.8189894035458565e-12,True
ensemble,True,current_basecase,total_ruc_net_revenue,2026,2072.019805657217,2072.019805657217,2072.019805657217,2072.019805657217,4,0.0,True
ensemble,True,current_basecase,total_ruc_net_revenue,2027,2105.2252306039495,2105.2252306039495,2105.2252306039495,2105.225230603949,4,4.547473508864641e-13,True
ensemble,True,current_basecase,total_ruc_net_revenue,2028,2682.88830836724,2682.88830836724,2682.88830836724,2682.88830836724,4,0.0,True
ensemble,True,current_basecase,total_ruc_net_revenue,2029,2981.055182150856,2981.055182150856,2981.055182150856,2981.055182150856,4,0.0,True
ensemble,True,current_basecase,total_ruc_net_revenue,2030,3253.9373715651354,3253.9373715651354,3253.9373715651354,3253.937371565135,4,4.547473508864641e-13,True
ensemble,True,current_basecase,total_ruc_net_revenue,2031,3481.89911494128,3481.89911494128,3481.89911494128,3481.89911494128,4,0.0,True
ensemble,True,current_basecase,total_ruc_net_revenue,2032,3715.833027796847,3715.833027796847,3715.833027796847,3715.833027796847,4,0.0,True
ensemble,True,current_basecase,total_ruc_net_revenue,2033,3960.6730030263257,3960.6730030263257,3960.6730030263257,3960.6730030263257,4,0.0,True
ensemble,True,current_basecase,total_ruc_net_revenue,2034,4223.769591937774,4223.769591937774,4223.769591937774,4223.769591937774,4,0.0,True
ensemble,True,current_basecase,total_ruc_net_revenue,2035,4505.668866358201,4505.668866358201,4505.668866358201,4505.6688663582,4,9.094947017729282e-13,True
ensemble,True,current_basecase,total_ruc_net_revenue,2036,4806.564388523192,4806.564388523192,4806.564388523192,4806.564388523192,4,0.0,True
ensemble,True,current_basecase,total_ruc_net_revenue,2037,5129.088825923741,5129.088825923741,5129.088825923741,5129.088825923741,4,0.0,True
ensemble,True,current_basecase,total_ruc_net_revenue,2038,5473.826153971742,5473.826153971742,5473.826153971742,5473.826153971741,4,9.094947017729282e-13,True
ensemble,True,current_basecase,total_ruc_net_revenue,2039,5850.232240475073,5850.232240475073,5850.232240475073,5850.232240475073,4,0.0,True
ensemble,True,current_basecase,total_ruc_net_revenue,2040,6259.456162699124,6259.456162699124,6259.456162699124,6259.456162699125,4,9.094947017729282e-13,True
ensemble,True,current_basecase,total_ruc_net_revenue,2041,6695.144146666681,6695.144146666681,6695.144146666681,6695.14414666668,4,9.094947017729282e-13,True
ensemble,True,current_basecase,total_ruc_net_revenue,2042,7162.134831347799,7162.134831347799,7162.134831347799,7162.134831347798,4,9.094947017729282e-13,True
ensemble,True,current_basecase,total_ruc_net_revenue,2043,7645.1043928337795,7645.1043928337795,7645.1043928337795,7645.1043928337795,4,0.0,True
ensemble,True,current_basecase,total_ruc_net_revenue,2044,8126.686240932255,8126.686240932255,8126.686240932255,8126.686240932255,4,0.0,True
ensemble,True,current_basecase,total_ruc_net_revenue,2045,8622.916846580889,8622.916846580889,8622.916846580889,8622.916846580889,4,0.0,True
ensemble,True,current_basecase,total_ruc_net_revenue,2046,9154.556721913215,9154.556721913215,9154.556721913215,9154.556721913215,4,0.0,True
ensemble,True,current_basecase,total_ruc_net_revenue,2047,9700.899785252288,9700.899785252288,9700.899785252288,9700.899785252288,4,0.0,True
ensemble,True,current_basecase,total_ruc_net_revenue,2048,10277.688956859767,10277.688956859767,10277.688956859767,10277.688956859765,4,1.8189894035458565e-12,True
ensemble,True,current_basecase,total_ruc_net_revenue,2049,10842.96129401836,10842.96129401836,10842.96129401836,10842.96129401836,4,0.0,True
ensemble,True,current_basecase,total_ruc_net_revenue,2050,11376.234075278322,11376.234075278322,11376.234075278322,11376.23407527832,4,1.8189894035458565e-12,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2026,4187.226363228752,,4187.226363228752,4187.226363228752,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2027,4170.651467436737,,4170.651467436737,4170.651467436737,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2028,5185.723461029604,,5185.723461029604,5185.723461029604,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2029,5632.22793080721,,5632.22793080721,5632.22793080721,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2030,6017.820098865348,,6017.820098865348,6017.820098865348,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2031,6355.437515700382,,6355.437515700382,6355.437515700382,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2032,6688.0749517351,,6688.0749517351,6688.0749517351,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2033,7018.269139622461,,7018.269139622461,7018.269139622461,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2034,7352.693162770336,,7352.693162770336,7352.693162770336,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2035,7684.512384415192,,7684.512384415192,7684.512384415191,3,9.094947017729282e-13,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2036,8006.606691487901,,8006.606691487901,8006.606691487901,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2037,8314.314471281647,,8314.314471281647,8314.314471281647,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2038,8600.92847459614,,8600.92847459614,8600.928474596138,3,1.8189894035458565e-12,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2039,8872.98889916356,,8872.98889916356,8872.98889916356,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2040,9134.474843137661,,9134.474843137661,9134.474843137661,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2041,9386.734001355358,,9386.734001355358,9386.734001355357,3,1.8189894035458565e-12,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2042,9632.661327509413,,9632.661327509413,9632.661327509413,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2043,9886.951880758286,,9886.951880758286,9886.951880758286,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2044,10158.149645980975,,10158.149645980975,10158.149645980975,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2045,10479.445261617557,,10479.445261617557,10479.445261617557,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2046,10863.784503991368,,10863.784503991368,10863.784503991368,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2047,11272.428431439512,,11272.428431439512,11272.428431439512,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2048,11722.940160360928,,11722.940160360928,11722.940160360926,3,1.8189894035458565e-12,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2049,12170.862522229581,,12170.862522229581,12170.862522229581,3,0.0,True
ensemble,True,current_basecase,total_fed_ruc_net_revenue,2050,12595.209352553053,,12595.209352553053,12595.20935255305,3,1.8189894035458565e-12,True
ensemble,True,current_basecase,total_nltf_net_revenue,2026,4598.507215236401,4598.507215236401,4598.507215236401,4598.507215236401,4,0.0,True
ensemble,True,current_basecase,total_nltf_net_revenue,2027,4672.25635730157,4672.25635730157,4672.25635730157,4672.256357301569,4,9.094947017729282e-13,True
ensemble,True,current_basecase,total_nltf_net_revenue,2028,5693.531870999015,5693.531870999015,5693.531870999015,5693.531870999014,4,9.094947017729282e-13,True
ensemble,True,current_basecase,total_nltf_net_revenue,2029,6134.628940493732,6134.628940493732,6134.628940493732,6134.6289404937315,4,9.094947017729282e-13,True
ensemble,True,current_basecase,total_nltf_net_revenue,2030,6515.261716847033,6515.261716847033,6515.261716847033,6515.261716847033,4,0.0,True
ensemble,True,current_basecase,total_nltf_net_revenue,2031,6848.325753575578,6848.325753575578,6848.325753575578,6848.325753575578,4,0.0,True
ensemble,True,current_basecase,total_nltf_net_revenue,2032,7176.776844728035,7176.776844728035,7176.776844728035,7176.776844728035,4,0.0,True
ensemble,True,current_basecase,total_nltf_net_revenue,2033,7503.116070653381,7503.116070653381,7503.116070653381,7503.116070653382,4,9.094947017729282e-13,True
ensemble,True,current_basecase,total_nltf_net_revenue,2034,7833.984180524448,7833.984180524448,7833.984180524448,7833.984180524447,4,9.094947017729282e-13,True
ensemble,True,current_basecase,total_nltf_net_revenue,2035,8162.517361498376,8162.517361498376,8162.517361498376,8162.517361498375,4,9.094947017729282e-13,True
ensemble,True,current_basecase,total_nltf_net_revenue,2036,8481.569252591022,8481.569252591022,8481.569252591022,8481.569252591022,4,0.0,True
ensemble,True,current_basecase,total_nltf_net_revenue,2037,8786.454667249942,8786.454667249942,8786.454667249942,8786.454667249942,4,0.0,True
ensemble,True,current_basecase,total_nltf_net_revenue,2038,9070.445202642577,9070.445202642577,9070.445202642577,9070.445202642577,4,0.0,True
ensemble,True,current_basecase,total_nltf_net_revenue,2039,9340.062081632264,9340.062081632264,9340.062081632264,9340.062081632264,4,0.0,True
