source_release,workbook_basename,workbook_sha256,sheet,source_row,source_cell,source_year_cell,source_status_cell,source_formula,asserted_formula,FY,period,period_status,source_label,label,series_id,display_name,section,unit,metric_type,row_role,value,value_status,source_kind
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,U10,U6,U7,,,2019,FY2019,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,11898.225208,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,V10,V6,V7,,,2020,FY2020,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,11385.93681,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,W10,W6,W7,,,2021,FY2021,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,11998.163013,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,X10,X6,X7,,,2022,FY2022,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,12644.208208,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,Y10,Y6,Y7,,,2023,FY2023,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,13553.287615,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,Z10,Z6,Z7,,,2024,FY2024,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,10355.550659,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AA10,AA6,AA7,,,2025,FY2025,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,12273.983872,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AB10,AB6,AB7,,,2026,FY2026,ST_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,12899.1247322853,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AC10,AC6,AC7,,,2027,FY2027,ST_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,12939.636710647,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AD10,AD6,AD7,,,2028,FY2028,ST_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,13427.7171481819,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AE10,AE6,AE7,,,2029,FY2029,ST_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,13926.5605658137,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AF10,AF6,AF7,,,2030,FY2030,ST_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,14402.4384228319,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AG10,AG6,AG7,,,2031,FY2031,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,14246.1931200422,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AH10,AH6,AH7,,,2032,FY2032,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,14040.9690145148,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AI10,AI6,AI7,,,2033,FY2033,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,13782.7022644857,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AJ10,AJ6,AJ7,,,2034,FY2034,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,13486.5281007032,official_forecast,mbu26_source_row
