scenario_role,fy,measure,S0_pack,S1_post_macro,S2_canonical_exact_vfm,S3_selected_sensitivities,S3_alt_parametric_fit,S4_post_policy,macro_effect,canonical_composition_effect,optional_composition_effect,retired_fit_vs_canonical,policy_effect,vfm_scenario,exact_base_conventional_share,exact_base_bev_share,exact_base_phev_share
basecase,2026,heavy_bev_km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
basecase,2026,heavy_bev_revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
basecase,2027,light_conventional_km,12697.50796810656,12711.19796263892,12711.19796263892,12711.19796263892,12581.63650688574,12752.37406975762,13.689994532360288,0.0,0.0,-129.56145575318078,41.17610711869929,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
basecase,2027,light_bev_km,1517.1039883399649,1518.7396750713742,1518.7396750713742,1518.7396750713742,1607.3917716129015,1518.7396750713742,1.6356867314093506,0.0,0.0,88.65209654152727,0.0,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
basecase,2027,light_phev_km,831.8282311598626,832.7250783179858,832.7250783179857,832.7250783179857,873.6344375296402,832.7250783179857,0.896847158123137,-1.1368683772161603e-13,0.0,40.90935921165453,0.0,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
basecase,2027,light_pool_km,15046.440187606388,15062.66271602828,15062.66271602828,15062.66271602828,15062.66271602828,15103.83882314698,16.222528421893003,0.0,0.0,0.0,41.17610711869929,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
basecase,2027,heavy_conventional_km,4100.270092100126,4104.509276643156,4104.509276643156,4104.509276643156,4104.509276643156,4111.711560904591,4.2391845430302055,0.0,0.0,0.0,7.202284261435125,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
basecase,2027,heavy_conventional_revenue,1231.4061163927752,1232.6792417375818,1232.6792417375818,1232.6792417375818,1232.6792417375818,1137.9793914128343,1.2731253448066582,0.0,0.0,0.0,-94.69985032474756,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
basecase,2027,light_petrol_vkt,32190.96899281003,32242.11048256905,32242.11048256905,32242.11048256905,32242.11048256905,32339.187638648003,51.14148975901844,0.0,0.0,0.0,97.07715607895443,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
basecase,2027,net_fed_revenue,2166.5951497474452,2170.099908317666,2170.099908317666,2170.099908317666,2170.099908317666,2002.9086864159747,3.504758570220929,0.0,0.0,0.0,-167.1912219016915,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
