scenario_role,fy,measure,S0_pack,S1_post_macro,S2_canonical_exact_vfm,S3_selected_sensitivities,S4_post_policy
basecase,2030,net_fed_revenue,2611.595754844779,2657.1587751622055,2657.1587751622055,2657.1587751622055,2657.1587751622055
basecase,2030,total_ruc_net_revenue,3195.2527127537387,3253.9778950949535,3253.9778950949535,3253.9778950949535,3253.9778950949535
basecase,2030,total_nltf_net_revenue,6304.290085580202,6408.578288238843,6408.578288238843,6408.578288238843,6408.578288238843
basecase,2030,light_ruc_pool_km,19291.158087465952,19868.974867890254,19868.974867890254,19868.974867890254,19868.974867890254
comparison,2026,light_petrol_vkt,32976.2816579757,32980.41982337335,32980.41982337335,32980.41982337335,32980.41982337335
comparison,2026,light_ruc_conventional_km,12980.976058770078,12966.725025675541,12966.725025675543,12966.725025675543,12966.725025675543
comparison,2026,light_bev_km,1255.570552512948,1254.1921370983155,1254.1921370983155,1254.1921370983155,1254.1921370983155
comparison,2026,phev_km,657.5138506671009,656.7920057454594,656.7920057454595,656.7920057454595,656.7920057454595
comparison,2026,heavy_ruc_conventional_km,4046.923612104339,4044.589184194027,4044.589184194027,4044.589184194027,4044.589184194027
comparison,2026,net_fed_revenue,2105.5310336626153,2105.7991730197805,2105.7991730197805,2105.7991730197805,2105.7991730197805
comparison,2026,total_ruc_net_revenue,2081.866502550141,2080.131762931382,2080.131762931382,2080.131762931382,2080.131762931382
comparison,2026,total_nltf_net_revenue,4629.93280722776,4628.466206966166,4628.466206966166,4628.466206966166,4628.466206966166
comparison,2026,light_ruc_pool_km,14894.060461950128,14877.709168519315,14877.709168519319,14877.709168519319,14877.709168519319
comparison,2027,light_petrol_vkt,32388.168746026582,32439.623525179337,32439.623525179337,32439.623525179337,32537.295369514675
comparison,2027,light_ruc_conventional_km,12774.050308031503,12787.822827750515,12787.822827750515,12787.822827750515,12829.24715015648
comparison,2027,light_bev_km,1526.2493016934734,1527.894848571466,1527.8948485714661,1527.8948485714661,1527.8948485714661
comparison,2027,phev_km,836.8426071609274,837.7448606381653,837.7448606381653,837.7448606381653,837.7448606381653
comparison,2027,heavy_ruc_conventional_km,4108.254858445727,4112.502298273729,4112.502298273729,4112.502298273729,4119.718608088528
comparison,2027,net_fed_revenue,2180.109373294469,2183.63560178457,2183.63560178457,2183.63560178457,2015.420177482934
comparison,2027,total_ruc_net_revenue,2271.6152884711487,2274.0483986207623,2274.0483986207623,2274.0483986207623,2097.6338115907743
comparison,2027,total_nltf_net_revenue,4965.432313608892,4971.391652248607,4971.391652248607,4971.391652248607,4626.761640916982
comparison,2027,light_ruc_pool_km,15137.142216885904,15153.462536960145,15153.462536960147,15153.462536960147,15194.886859366112
comparison,2028,light_petrol_vkt,32538.931492766125,32767.081468331067,32767.081468331067,32767.081468331067,32767.081468331067
comparison,2028,light_ruc_conventional_km,13524.331815170966,13696.031962933916,13696.031962933917,13696.031962933917,13696.031962933917
comparison,2028,light_bev_km,2044.4002183770822,2070.355202651291,2070.3552026512916,2070.3552026512916,2070.3552026512916
comparison,2028,phev_km,1139.0711927565417,1153.5324389594355,1153.5324389594357,1153.5324389594357,1153.5324389594357
comparison,2028,heavy_ruc_conventional_km,4141.952039873157,4160.544224824142,4160.544224824142,4160.544224824142,4160.544224824142
comparison,2028,net_fed_revenue,2421.3826840336014,2438.705830891199,2438.705830891199,2438.705830891199,2438.705830891199
comparison,2028,total_ruc_net_revenue,2676.843393384666,2699.6520231282275,2699.652023128228,2699.652023128228,2699.652023128228
comparison,2028,total_nltf_net_revenue,5606.034487387678,5646.166263988838,5646.166263988838,5646.166263988838,5646.166263988838
comparison,2028,light_ruc_pool_km,16707.80322630459,16919.91960454464,16919.919604544644,16919.919604544644,16919.919604544644
comparison,2030,light_petrol_vkt,33215.469273610914,33782.1225303991,33782.1225303991,33782.1225303991,33782.1225303991
comparison,2030,light_ruc_conventional_km,14442.85599877819,14875.454421097273,14875.454421097274,14875.454421097274,14875.454421097274
comparison,2030,light_bev_km,3411.1071741336104,3513.278073159146,3513.2780731591456,3513.2780731591456,3513.2780731591456
comparison,2030,phev_km,1864.6731226538723,1920.5245865934912,1920.524586593491,1920.524586593491,1920.524586593491
comparison,2030,heavy_ruc_conventional_km,4210.8479002766635,4235.901371328348,4235.901371328348,4235.901371328348,4235.901371328348
comparison,2030,net_fed_revenue,2675.448085387011,2722.1004213710994,2722.1004213710994,2722.1004213710994,2722.1004213710994
comparison,2030,total_ruc_net_revenue,3233.8787196324442,3293.3138049143595,3293.31380491436,3293.31380491436,3293.31380491436
comparison,2030,total_nltf_net_revenue,6406.76842300114,6512.855844267144,6512.855844267144,6512.855844267144,6512.855844267144
comparison,2030,light_ruc_pool_km,19718.636295565673,20309.25708084991,20309.25708084991,20309.25708084991,20309.25708084991
