series_id,FY,fifty_nested_in_eighty,central_inside_eighty
heavy_ruc_net_revenue,2033,True,True
heavy_ruc_net_revenue,2034,True,True
heavy_ruc_net_revenue,2035,True,True
heavy_ruc_net_revenue,2036,True,True
heavy_ruc_net_revenue,2037,True,True
heavy_ruc_net_revenue,2038,True,True
heavy_ruc_net_revenue,2039,True,True
heavy_ruc_net_revenue,2040,True,True
heavy_ruc_net_revenue,2041,True,True
heavy_ruc_net_revenue,2042,True,True
heavy_ruc_net_revenue,2043,True,True
heavy_ruc_net_revenue,2044,True,True
heavy_ruc_net_revenue,2045,True,True
heavy_ruc_net_revenue,2046,True,True
heavy_ruc_net_revenue,2047,True,True
heavy_ruc_net_revenue,2048,True,True
heavy_ruc_net_revenue,2049,True,True
heavy_ruc_net_revenue,2050,True,True
light_bev_ruc_net_km,2026,True,True
light_bev_ruc_net_km,2027,True,True
light_bev_ruc_net_km,2028,True,True
light_bev_ruc_net_km,2029,True,True
light_bev_ruc_net_km,2030,True,True
light_bev_ruc_net_km,2031,True,True
light_bev_ruc_net_km,2032,True,True
light_bev_ruc_net_km,2033,True,True
light_bev_ruc_net_km,2034,True,True
light_bev_ruc_net_km,2035,True,True
light_bev_ruc_net_km,2036,True,True
light_bev_ruc_net_km,2037,True,True
light_bev_ruc_net_km,2038,True,True
light_bev_ruc_net_km,2039,True,True
light_bev_ruc_net_km,2040,True,True
light_bev_ruc_net_km,2041,True,True
light_bev_ruc_net_km,2042,True,True
light_bev_ruc_net_km,2043,True,True
light_bev_ruc_net_km,2044,True,True
light_bev_ruc_net_km,2045,True,True
light_bev_ruc_net_km,2046,True,True
light_bev_ruc_net_km,2047,True,True
light_bev_ruc_net_km,2048,True,True
light_bev_ruc_net_km,2049,True,True
light_bev_ruc_net_km,2050,True,True
light_bev_ruc_net_revenue,2026,True,True
light_bev_ruc_net_revenue,2027,True,True
light_bev_ruc_net_revenue,2028,True,True
light_bev_ruc_net_revenue,2029,True,True
light_bev_ruc_net_revenue,2030,True,True
light_bev_ruc_net_revenue,2031,True,True
light_bev_ruc_net_revenue,2032,True,True
light_bev_ruc_net_revenue,2033,True,True
light_bev_ruc_net_revenue,2034,True,True
light_bev_ruc_net_revenue,2035,True,True
light_bev_ruc_net_revenue,2036,True,True
light_bev_ruc_net_revenue,2037,True,True
light_bev_ruc_net_revenue,2038,True,True
light_bev_ruc_net_revenue,2039,True,True
light_bev_ruc_net_revenue,2040,True,True
light_bev_ruc_net_revenue,2041,True,True
light_bev_ruc_net_revenue,2042,True,True
light_bev_ruc_net_revenue,2043,True,True
light_bev_ruc_net_revenue,2044,True,True
light_bev_ruc_net_revenue,2045,True,True
light_bev_ruc_net_revenue,2046,True,True
light_bev_ruc_net_revenue,2047,True,True
light_bev_ruc_net_revenue,2048,True,True
light_bev_ruc_net_revenue,2049,True,True
light_bev_ruc_net_revenue,2050,True,True
light_petrol_vkt,2026,True,True
light_petrol_vkt,2027,True,True
light_petrol_vkt,2028,True,True
light_petrol_vkt,2029,True,True
light_petrol_vkt,2030,True,True
light_petrol_vkt,2031,True,True
light_petrol_vkt,2032,True,True
light_petrol_vkt,2033,True,True
light_petrol_vkt,2034,True,True
light_petrol_vkt,2035,True,True
light_petrol_vkt,2036,True,True
light_petrol_vkt,2037,True,True
light_petrol_vkt,2038,True,True
light_petrol_vkt,2039,True,True
light_petrol_vkt,2040,True,True
light_petrol_vkt,2041,True,True
light_petrol_vkt,2042,True,True
light_petrol_vkt,2043,True,True
light_petrol_vkt,2044,True,True
light_petrol_vkt,2045,True,True
light_petrol_vkt,2046,True,True
light_petrol_vkt,2047,True,True
light_petrol_vkt,2048,True,True
light_petrol_vkt,2049,True,True
light_petrol_vkt,2050,True,True
light_ruc_net_km,2026,True,True
light_ruc_net_km,2027,True,True
light_ruc_net_km,2028,True,True
light_ruc_net_km,2029,True,True
light_ruc_net_km,2030,True,True
light_ruc_net_km,2031,True,True
light_ruc_net_km,2032,True,True
light_ruc_net_km,2033,True,True
light_ruc_net_km,2034,True,True
light_ruc_net_km,2035,True,True
light_ruc_net_km,2036,True,True
light_ruc_net_km,2037,True,True
light_ruc_net_km,2038,True,True
light_ruc_net_km,2039,True,True
light_ruc_net_km,2040,True,True
light_ruc_net_km,2041,True,True
light_ruc_net_km,2042,True,True
light_ruc_net_km,2043,True,True
light_ruc_net_km,2044,True,True
light_ruc_net_km,2045,True,True
light_ruc_net_km,2046,True,True
light_ruc_net_km,2047,True,True
light_ruc_net_km,2048,True,True
light_ruc_net_km,2049,True,True
light_ruc_net_km,2050,True,True
light_ruc_net_revenue,2026,True,True
light_ruc_net_revenue,2027,True,True
light_ruc_net_revenue,2028,True,True
light_ruc_net_revenue,2029,True,True
light_ruc_net_revenue,2030,True,True
light_ruc_net_revenue,2031,True,True
light_ruc_net_revenue,2032,True,True
light_ruc_net_revenue,2033,True,True
light_ruc_net_revenue,2034,True,True
light_ruc_net_revenue,2035,True,True
light_ruc_net_revenue,2036,True,True
light_ruc_net_revenue,2037,True,True
light_ruc_net_revenue,2038,True,True
light_ruc_net_revenue,2039,True,True
light_ruc_net_revenue,2040,True,True
light_ruc_net_revenue,2041,True,True
light_ruc_net_revenue,2042,True,True
light_ruc_net_revenue,2043,True,True
light_ruc_net_revenue,2044,True,True
light_ruc_net_revenue,2045,True,True
light_ruc_net_revenue,2046,True,True
light_ruc_net_revenue,2047,True,True
light_ruc_net_revenue,2048,True,True
light_ruc_net_revenue,2049,True,True
light_ruc_net_revenue,2050,True,True
mr1_revenue,2026,True,True
mr1_revenue,2027,True,True
mr1_revenue,2028,True,True
mr1_revenue,2029,True,True
mr1_revenue,2030,True,True
mr1_revenue,2031,True,True
mr1_revenue,2032,True,True
mr1_revenue,2033,True,True
mr1_revenue,2034,True,True
mr1_revenue,2035,True,True
mr1_revenue,2036,True,True
mr1_revenue,2037,True,True
mr1_revenue,2038,True,True
mr1_revenue,2039,True,True
mr1_revenue,2040,True,True
mr1_revenue,2041,True,True
mr1_revenue,2042,True,True
mr1_revenue,2043,True,True
mr1_revenue,2044,True,True
mr1_revenue,2045,True,True
mr1_revenue,2046,True,True
mr1_revenue,2047,True,True
mr1_revenue,2048,True,True
mr1_revenue,2049,True,True
mr1_revenue,2050,True,True
mr2_revenue,2026,True,True
mr2_revenue,2027,True,True
mr2_revenue,2028,True,True
mr2_revenue,2029,True,True
mr2_revenue,2030,True,True
mr2_revenue,2031,True,True
mr2_revenue,2032,True,True
mr2_revenue,2033,True,True
mr2_revenue,2034,True,True
mr2_revenue,2035,True,True
mr2_revenue,2036,True,True
mr2_revenue,2037,True,True
mr2_revenue,2038,True,True
mr2_revenue,2039,True,True
mr2_revenue,2040,True,True
mr2_revenue,2041,True,True
mr2_revenue,2042,True,True
mr2_revenue,2043,True,True
mr2_revenue,2044,True,True
mr2_revenue,2045,True,True
mr2_revenue,2046,True,True
mr2_revenue,2047,True,True
mr2_revenue,2048,True,True
mr2_revenue,2049,True,True
mr2_revenue,2050,True,True
mvr_admin_revenue,2026,True,True
mvr_admin_revenue,2027,True,True
mvr_admin_revenue,2028,True,True
mvr_admin_revenue,2029,True,True
mvr_admin_revenue,2030,True,True
mvr_admin_revenue,2031,True,True
mvr_admin_revenue,2032,True,True
mvr_admin_revenue,2033,True,True
mvr_admin_revenue,2034,True,True
mvr_admin_revenue,2035,True,True
mvr_admin_revenue,2036,True,True
mvr_admin_revenue,2037,True,True
mvr_admin_revenue,2038,True,True
mvr_admin_revenue,2039,True,True
mvr_admin_revenue,2040,True,True
mvr_admin_revenue,2041,True,True
mvr_admin_revenue,2042,True,True
mvr_admin_revenue,2043,True,True
mvr_admin_revenue,2044,True,True
mvr_admin_revenue,2045,True,True
mvr_admin_revenue,2046,True,True
mvr_admin_revenue,2047,True,True
mvr_admin_revenue,2048,True,True
mvr_admin_revenue,2049,True,True
mvr_admin_revenue,2050,True,True
mvr_refunds,2026,True,True
mvr_refunds,2027,True,True
mvr_refunds,2028,True,True
mvr_refunds,2029,True,True
mvr_refunds,2030,True,True
mvr_refunds,2031,True,True
mvr_refunds,2032,True,True
mvr_refunds,2033,True,True
mvr_refunds,2034,True,True
mvr_refunds,2035,True,True
mvr_refunds,2036,True,True
mvr_refunds,2037,True,True
