series_id,FY,span80_pct_before,span80_pct_after,span50_pct_before,span50_pct_after,median_multiplier_before,median_multiplier_after,span80_pct_abs_change,span50_pct_abs_change,median_multiplier_abs_change
current_light_ruc_conventional_modelled_km,2034,32.187700547653435,32.187700547653435,19.915140909557536,19.915140909557536,0.9395044965180499,0.9395044965180499,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2035,32.18770054765344,32.18770054765344,19.91514090955753,19.91514090955753,0.9395044965180498,0.9395044965180498,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2036,32.18770054765343,32.18770054765343,19.91514090955753,19.91514090955753,0.9395044965180498,0.9395044965180498,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2037,32.187700547653435,32.187700547653435,19.915140909557525,19.915140909557525,0.9395044965180499,0.9395044965180499,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2038,32.18770054765344,32.18770054765344,19.915140909557532,19.915140909557532,0.9395044965180499,0.9395044965180499,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2039,32.18770054765342,32.18770054765342,19.91514090955754,19.91514090955754,0.9395044965180498,0.9395044965180498,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2040,32.18770054765342,32.18770054765342,19.915140909557532,19.915140909557532,0.9395044965180499,0.9395044965180499,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2041,32.18770054765343,32.18770054765343,19.915140909557522,19.915140909557522,0.9395044965180498,0.9395044965180498,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2042,32.187700547653435,32.187700547653435,19.915140909557522,19.915140909557522,0.9395044965180499,0.9395044965180499,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2043,32.18770054765343,32.18770054765343,19.915140909557536,19.915140909557536,0.9395044965180499,0.9395044965180499,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2044,32.187700547653435,32.187700547653435,19.915140909557532,19.915140909557532,0.9395044965180498,0.9395044965180498,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2045,32.18770054765343,32.18770054765343,19.915140909557543,19.915140909557543,0.9395044965180498,0.9395044965180498,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2046,32.18770054765343,32.18770054765343,19.915140909557543,19.915140909557543,0.9395044965180498,0.9395044965180498,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2047,32.18770054765343,32.18770054765343,19.915140909557536,19.915140909557536,0.9395044965180498,0.9395044965180498,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2048,32.187700547653414,32.187700547653414,19.915140909557522,19.915140909557522,0.9395044965180499,0.9395044965180499,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2049,32.18770054765343,32.18770054765343,19.91514090955753,19.91514090955753,0.9395044965180498,0.9395044965180498,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2050,32.187700547653435,32.187700547653435,19.915140909557532,19.915140909557532,0.9395044965180499,0.9395044965180499,0.0,0.0,0.0
fed_refunds,2026,3.1666853207341616,3.1666853207341616,1.6510719986952458,1.6510719986952458,1.0014268881824089,1.0014268881824089,0.0,0.0,0.0
fed_refunds,2027,9.569207791284311,9.569207791284311,2.0966347368446736,2.0966347368446736,1.001257959917674,1.001257959917674,0.0,0.0,0.0
fed_refunds,2028,11.692190840297497,11.692190840297497,8.315389008273671,8.315389008273671,1.0098823863828015,1.0098823863828015,0.0,0.0,0.0
fed_refunds,2029,11.647031861584649,11.647031861584649,8.41281004036051,8.41281004036051,1.0059819188018202,1.0059819188018202,0.0,0.0,0.0
fed_refunds,2030,16.84031290044931,16.84031290044931,13.237826911707074,13.237826911707074,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
fed_refunds,2031,16.840312900449305,16.840312900449305,13.237826911707067,13.237826911707067,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
fed_refunds,2032,16.8403129004493,16.8403129004493,13.23782691170706,13.23782691170706,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
fed_refunds,2033,16.8403129004493,16.8403129004493,13.23782691170708,13.23782691170708,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
fed_refunds,2034,16.8403129004493,16.8403129004493,13.237826911707064,13.237826911707064,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
