engine,policy_state,series_id,series_label,row_type,june_year,value,value_unit,official_value,movement_vs_origin_main
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,future_forecast,2026,2106.1949845912095,$m nominal ex GST,2007.89765301342,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,future_forecast,2026,2108.3520171203104,$m nominal ex GST,2007.89765301342,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,future_forecast,2026,2093.218162607564,$m nominal ex GST,2007.89765301342,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,future_forecast,2030,2657.114250993943,$m nominal ex GST,2648.68601609063,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,future_forecast,2030,2722.0621038600125,$m nominal ex GST,2648.68601609063,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,future_forecast,2030,2647.562199243789,$m nominal ex GST,2648.68601609063,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,future_forecast,2031,2752.263560753427,$m nominal ex GST,2648.68601609063,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,future_forecast,2031,2836.2684896180726,$m nominal ex GST,2648.68601609063,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,future_forecast,2050,1172.7816832470762,$m nominal ex GST,2648.68601609063,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,future_forecast,2050,1200.8815012088583,$m nominal ex GST,2648.68601609063,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,official_comparator,2026,2031.56232478189,$m nominal ex GST,2031.56232478189,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,official_comparator,2026,2007.89765301342,$m nominal ex GST,2007.89765301342,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,official_comparator,2030,2646.99523947345,$m nominal ex GST,2646.99523947345,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,official_comparator,2030,2648.68601609063,$m nominal ex GST,2648.68601609063,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,official_comparator,2031,2709.12890389427,$m nominal ex GST,2709.12890389427,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,official_comparator,2031,2710.83658552761,$m nominal ex GST,2710.83658552761,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,official_comparator,2050,1169.06013491158,$m nominal ex GST,1169.06013491158,0
ar1,cur-published__off-published,net_fed_revenue,Net FED revenue,official_comparator,2050,1169.13519062151,$m nominal ex GST,1169.13519062151,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,future_forecast,2026,6142.76079767832,km/person,5860.79487488994,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,future_forecast,2026,6142.229203785595,km/person,5860.79487488994,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,future_forecast,2026,6105.496639661895,km/person,5860.79487488994,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,future_forecast,2030,5888.384227680278,km/person,5890.93754143919,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,future_forecast,2030,5865.313229982334,km/person,5890.93754143919,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,future_forecast,2030,5867.644559816273,km/person,5890.93754143919,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,future_forecast,2031,5865.077484201897,km/person,5890.93754143919,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,future_forecast,2031,5833.847437306621,km/person,5890.93754143919,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,future_forecast,2050,1521.479603481342,km/person,5890.93754143919,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,future_forecast,2050,1270.9986498990381,km/person,5890.93754143919,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,official_comparator,2026,5935.87599744435,km/person,5935.87599744435,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,official_comparator,2026,5860.79487488994,km/person,5860.79487488994,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,official_comparator,2030,5887.16953577159,km/person,5887.16953577159,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,official_comparator,2030,5890.93754143919,km/person,5890.93754143919,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,official_comparator,2031,5783.7523211264,km/person,5783.7523211264,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,official_comparator,2031,5787.46122605502,km/person,5787.46122605502,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,official_comparator,2050,1453.07421427843,km/person,1453.07421427843,0
ar1,cur-published__off-published,ped_vkt_per_capita,PED VKT per capita,official_comparator,2050,1453.17133160906,km/person,1453.17133160906,0
ar1,cur-published__off-published,ped_volume,PED volume,future_forecast,2026,3051.1490748223814,million litres,2910.77244455591,0
ar1,cur-published__off-published,ped_volume,PED volume,future_forecast,2026,3054.229493720332,million litres,2910.77244455591,0
ar1,cur-published__off-published,ped_volume,PED volume,future_forecast,2026,3032.6171115188777,million litres,2910.77244455591,0
ar1,cur-published__off-published,ped_volume,PED volume,future_forecast,2030,2889.4008279080367,million litres,2880.43564343742,0
ar1,cur-published__off-published,ped_volume,PED volume,future_forecast,2030,2958.48640615708,million litres,2880.43564343742,0
ar1,cur-published__off-published,ped_volume,PED volume,future_forecast,2030,2879.2402299898113,million litres,2880.43564343742,0
ar1,cur-published__off-published,ped_volume,PED volume,future_forecast,2031,2871.3369471624433,million litres,2880.43564343742,0
ar1,cur-published__off-published,ped_volume,PED volume,future_forecast,2031,2957.0452431684193,million litres,2880.43564343742,0
ar1,cur-published__off-published,ped_volume,PED volume,future_forecast,2050,675.5091382257311,million litres,2880.43564343742,0
