engine,scenario,fy,light_petrol_vkt,ped_vkt_per_capita,implied_population,scenario_population_mean,implied_over_scenario,segment
ensemble,current_comparison_1,2041,26542.919627014857,3912.238420628911,6784586.411466189,6691238.858597721,1.0139507129906928,post_model_extrapolation
ensemble,current_comparison_1,2042,23797.438147829445,3455.723350398628,6886384.046073694,6791607.441476687,1.0139549591777348,post_model_extrapolation
ensemble,current_comparison_1,2043,21128.126992358502,3022.74633274577,6989712.224103953,6893481.553098836,1.0139596617853945,post_model_extrapolation
ensemble,current_comparison_1,2044,18763.966598407595,2644.854543408274,7094517.407459215,6996883.776395317,1.013953873493408,post_model_extrapolation
ensemble,current_comparison_1,2045,16846.91800118194,2339.542713292896,7200944.828004434,7101837.033041246,1.0139552336250592,post_model_extrapolation
ensemble,current_comparison_1,2046,15265.838333241873,2088.643656425264,7308972.15821368,7208364.588536865,1.013957058975181,post_model_extrapolation
ensemble,current_comparison_1,2047,13822.30668068768,1863.1989110730997,7418588.857336115,7316490.057364917,1.0139546147361225,post_model_extrapolation
ensemble,current_comparison_1,2048,12524.615407122843,1663.3240789283163,7529870.796551255,7426237.408225391,1.0139550330307348,post_model_extrapolation
ensemble,current_comparison_1,2049,11343.667198488045,1484.225545459667,7642818.999571183,7537630.969348771,1.0139550517463845,post_model_extrapolation
ensemble,current_comparison_1,2050,10268.777138403673,1323.7290618750949,7757461.4278375795,7650695.433889002,1.0139550704731566,post_model_extrapolation
ar1,current_basecase,2026,32946.371722443735,6142.76079767832,5363446.959369791,5359982.15006672,1.0006464217988165,econometric
ar1,current_basecase,2027,32242.11048256905,5961.306920442689,5408564.080470921,5395129.353543401,1.0024901584460983,econometric
ar1,current_basecase,2028,32375.58680046918,5916.055674224165,5472495.287954661,5438626.389527487,1.0062274728950662,econometric
ar1,current_basecase,2029,32682.67332088302,5902.064077713241,5537498.897088549,5482135.400643706,1.0100988925662693,econometric
ar1,current_basecase,2030,32993.321829443696,5888.384227680278,5603119.727538801,5525992.483848856,1.0139571749175138,econometric
ar1,current_basecase,2031,33116.39984458074,5865.077484201897,5646370.390465033,5568641.948767257,1.0139582401621248,post_model_extrapolation
ar1,current_basecase,2032,33109.89896657733,5825.52096871957,5683594.505000087,5605358.477656132,1.013957363771794,post_model_extrapolation
ar1,current_basecase,2033,33012.56894724652,5770.886073040316,5720537.28481496,5641793.307760897,1.0139572601757214,post_model_extrapolation
ar1,current_basecase,2034,32808.65481914041,5698.201578261929,5757720.987671295,5678464.964261343,1.013957297246486,post_model_extrapolation
ar1,current_basecase,2035,32451.00902298186,5599.687448835718,5795146.482636106,5715374.986529042,1.013957351231561,post_model_extrapolation
ar1,current_basecase,2036,31871.460377687174,5464.164898051314,5832814.523780843,5752524.923941481,1.0139572797859953,post_model_extrapolation
ar1,current_basecase,2037,31010.915411625287,5282.295459614382,5870727.158054341,5789916.3359471,1.0139571657720718,post_model_extrapolation
ar1,current_basecase,2038,29816.67849491601,5046.073708935011,5908886.832572429,5827550.792130757,1.0139571568473509,post_model_extrapolation
ar1,current_basecase,2039,28277.709462533072,4754.718135831377,5947294.593434112,5865429.872279607,1.013957156242103,post_model_extrapolation
ar1,current_basecase,2040,26430.32291487474,4415.39171672045,5985952.008467772,5903555.166449425,1.013957156271973,post_model_extrapolation
ar1,current_basecase,2041,24347.26777059283,4041.882896110227,6023743.981802101,5940818.944723143,1.0139585194988336,post_model_extrapolation
ar1,current_basecase,2042,22006.24832353741,3633.042633209116,6057250.229430694,5973863.77955193,1.0139585455838798,post_model_extrapolation
ar1,current_basecase,2043,19671.814585344364,3229.883309866362,6090565.106563646,6006720.030339465,1.0139585457288982,post_model_extrapolation
ar1,current_basecase,2044,17559.517401902725,2867.2985214553355,6124063.215081685,6039756.9905063305,1.0139585458004143,post_model_extrapolation
ar1,current_basecase,2045,15797.922645763405,2565.536767265806,6157745.563163329,6072975.653954115,1.013958545866065,post_model_extrapolation
ar1,current_basecase,2046,14315.290968613072,2312.0454377670126,6191613.1641594665,6106377.020050862,1.0139585459313638,post_model_extrapolation
ar1,current_basecase,2047,12961.642700000251,2081.9685060319844,6225667.036963876,6139962.093661142,1.0139585459967604,post_model_extrapolation
ar1,current_basecase,2048,11744.753868676848,1876.1862765471712,6259908.206071755,6173731.885176277,1.0139585460622926,post_model_extrapolation
ar1,current_basecase,2049,10637.338942851455,1689.98541977273,6294337.701612815,6207687.410544746,1.0139585461279639,post_model_extrapolation
ar1,current_basecase,2050,9629.378316419868,1521.479603481342,6328956.559382463,6241829.691302741,1.0139585461937743,post_model_extrapolation
ar1,current_comparison_1,2026,32979.6341503304,6142.229203785595,5369326.519108779,5371918.3328655455,0.9995175254729936,econometric
ar1,current_comparison_1,2027,32439.689254283883,5956.903977279486,5445729.757943667,5432277.432821801,1.0024763693107033,econometric
ar1,current_comparison_1,2028,32767.166632032568,5906.057180728164,5548061.190290181,5513761.594314128,1.0062207252506934,econometric
ar1,current_comparison_1,2029,33273.362724009916,5886.019172052589,5652948.410700935,5596468.01822884,1.0100921496000919,econometric
ar1,current_comparison_1,2030,33782.19220524205,5865.313229982334,5759656.966409584,5680415.038502273,1.0139500243151605,econometric
ar1,current_comparison_1,2031,34104.911556289306,5833.847437306621,5846041.042861914,5765621.264079806,1.013948154951337,post_model_extrapolation
ar1,current_comparison_1,2032,34304.17511942048,5781.227651049161,5933718.094148231,5852105.583041003,1.013945837092163,post_model_extrapolation
ar1,current_comparison_1,2033,34380.0693051509,5708.393154991351,6022722.747309262,5939887.166786618,1.0139456488308105,post_model_extrapolation
ar1,current_comparison_1,2034,34307.07233742273,5612.091046082612,6113064.106714729,6028985.474288417,1.0139457347815615,post_model_extrapolation
ar1,current_comparison_1,2035,34025.092867245185,5483.7076159956705,6204760.583513949,6119420.256402742,1.013945818972298,post_model_extrapolation
ar1,current_comparison_1,2036,33458.00524331942,5312.625148400159,6297829.097427464,6211211.560248783,1.0139453529055469,post_model_extrapolation
ar1,current_comparison_1,2037,32539.982977302025,5090.502940718283,6392292.34443985,6304379.7336525135,1.0139446883756165,post_model_extrapolation
ar1,current_comparison_1,2038,31230.94344895058,4813.51640049296,6488176.387173453,6398945.429657301,1.0139446348616432,post_model_extrapolation
ar1,current_comparison_1,2039,29534.006810180515,4484.702948439351,6585499.006229201,6494929.61110216,1.0139446307427606,post_model_extrapolation
ar1,current_comparison_1,2040,27502.64945689696,4114.5259212916035,6684281.490263044,6592353.555268692,1.0139446305820297,post_model_extrapolation
ar1,current_comparison_1,2041,25229.8751425441,3718.7279828281407,6784544.40847713,6691238.858597721,1.0139444356794287,post_model_extrapolation
ar1,current_comparison_1,2042,22708.41905263978,3297.6175282529357,6886310.755592874,6791607.441476687,1.0139441678471917,post_model_extrapolation
ar1,current_comparison_1,2043,20221.8941336223,2893.1382187006316,6989605.267702824,6893481.553098836,1.0139441462000836,post_model_extrapolation
ar1,current_comparison_1,2044,17999.482184609267,2537.1218164167412,7094449.3355193,6996883.776395317,1.0139441445995043,post_model_extrapolation
ar1,current_comparison_1,2045,16175.651000574742,2246.347985137745,7200866.075779821,7101837.033041246,1.0139441446315711,post_model_extrapolation
ar1,current_comparison_1,2046,14657.569597738397,2005.446999622047,7308879.0681084115,7208364.588536865,1.0139441447969197,post_model_extrapolation
ar1,current_comparison_1,2047,13271.55559693651,1788.9780511230063,7418512.2554217335,7316490.057364917,1.0139441449734656,post_model_extrapolation
ar1,current_comparison_1,2048,12025.570951780435,1597.0659270296412,7529789.94057347,7426237.408225391,1.013944145151269,post_model_extrapolation
ar1,current_comparison_1,2049,10891.67773337157,1425.1017706328573,7642736.791025675,7537630.969348771,1.013944145329522,post_model_extrapolation
ar1,current_comparison_1,2050,9859.616766808324,1270.9986498990381,7757377.84425776,7650695.433889002,1.0139441455081593,post_model_extrapolation
