engine,scenario,fy,period,quarterly_ped_vkt_per_capita,population,quarterly_light_petrol_vkt,recomputed_petrol_from_identity,identity_residual,identity_rel_residual,positive
ensemble,current_basecase,2041,2040Q3,1056.8448162112084,5927499.497058695,6264.4471165610275,6264.447116561027,9.094947017729282e-13,1.451835548852411e-16,True
ensemble,current_basecase,2041,2040Q4,1065.3765793560492,5937108.293912962,6325.2561254354205,6325.256125435421,-9.094947017729282e-13,-1.4378780617525113e-16,True
ensemble,current_basecase,2041,2041Q1,1055.0730678535076,5945255.034365186,6272.678468279188,6272.678468279188,0.0,0.0,True
ensemble,current_basecase,2041,2041Q2,1050.3873335559163,5953412.953555729,6253.3895578426545,6253.3895578426545,0.0,0.0,True
ensemble,current_basecase,2042,2041Q3,947.4931393605196,5961582.066823757,5648.558108050218,5648.558108050217,9.094947017729282e-13,1.6101360460056765e-16,True
ensemble,current_basecase,2042,2041Q4,955.1386427637792,5969762.389529482,5701.9507463574455,5701.9507463574455,0.0,0.0,True
ensemble,current_basecase,2042,2042Q1,945.908593890709,5977953.937054194,5654.59800294236,5654.59800294236,0.0,0.0,True
ensemble,current_basecase,2042,2042Q2,941.7099984143142,5986156.724800285,5637.223639819513,5637.223639819513,0.0,0.0,True
ensemble,current_basecase,2043,2042Q3,840.3842997712152,5994370.768191287,5037.575080595477,5037.575080595476,9.094947017729282e-13,1.80542163088797e-16,True
ensemble,current_basecase,2043,2042Q4,847.1621966732434,6002596.082671894,5085.172483138526,5085.172483138528,-1.8189894035458565e-12,-3.5770456352803815e-16,True
ensemble,current_basecase,2043,2043Q1,838.9820869838891,6010832.683707991,5042.9809494883,5042.980949488301,-9.094947017729282e-13,-1.8034862928943101e-16,True
ensemble,current_basecase,2043,2043Q2,835.2601671907744,6019080.5867866855,5027.49825725419,5027.498257254191,-9.094947017729282e-13,-1.809040312367321e-16,True
ensemble,current_basecase,2044,2043Q3,744.7619505949599,6027339.8074163385,4488.933351870042,4488.933351870041,9.094947017729282e-13,2.0260819898206827e-16,True
ensemble,current_basecase,2044,2043Q4,750.7656824489021,6035610.361126589,4531.329131766869,4531.329131766867,1.8189894035458565e-12,4.014251339179573e-16,True
ensemble,current_basecase,2044,2044Q1,743.5221325042677,6043892.263468384,4493.767664360058,4493.767664360058,0.0,0.0,True
ensemble,current_basecase,2044,2044Q2,740.2255237572333,6052185.530014012,4479.982203830571,4479.98220383057,9.094947017729282e-13,2.0301301665780558e-16,True
ensemble,current_basecase,2045,2044Q3,665.5113658842133,6060490.176357128,4033.3250951952887,4033.325095195289,-4.547473508864641e-13,-1.1274750736760181e-16,True
ensemble,current_basecase,2045,2044Q4,670.87360065508,6068806.218112784,4071.4018792232637,4071.4018792232628,9.094947017729282e-13,2.2338612810839504e-16,True
ensemble,current_basecase,2045,2045Q1,665.0915857166639,6077133.670917459,4041.8504698026236,4041.850469802623,4.547473508864641e-13,1.1250969185623308e-16,True
ensemble,current_basecase,2045,2045Q2,662.4484268511217,6085472.550429088,4031.311717677432,4031.3117176774326,-4.547473508864641e-13,-1.1280381740076865e-16,True
ensemble,current_basecase,2046,2045Q3,600.1429689704692,6093822.872327091,3657.1649509785325,3657.164950978533,-4.547473508864641e-13,-1.243442275593255e-16,True
ensemble,current_basecase,2046,2045Q4,604.9748169793103,6102184.652312404,3691.668043206652,3691.668043206653,-9.094947017729282e-13,-2.4636416143823273e-16,True
ensemble,current_basecase,2046,2046Q1,599.1497385147945,6110557.906107505,3661.1391716238218,3661.1391716238218,0.0,0.0,True
ensemble,current_basecase,2046,2046Q2,596.4470908407164,6118942.649456448,3649.6255422894837,3649.625542289484,-4.547473508864641e-13,-1.2460109828176837e-16,True
ensemble,current_basecase,2047,2046Q3,540.4093685421617,6127338.89812489,3311.2713447794968,3311.2713447794968,0.0,0.0,True
ensemble,current_basecase,2047,2046Q4,544.7583800301106,6135746.667900122,3342.499415080419,3342.4994150804196,-4.547473508864641e-13,-1.360500913881306e-16,True
ensemble,current_basecase,2047,2047Q1,539.5168445271362,6144165.974591096,3314.8810388623847,3314.8810388623842,4.547473508864641e-13,1.3718361098186688e-16,True
ensemble,current_basecase,2047,2047Q2,537.1293163531822,6152596.834028458,3304.7401312584584,3304.7401312584584,0.0,0.0,True
ensemble,current_basecase,2048,2047Q3,486.99443757777544,6161039.262064577,3000.3918503237314,3000.3918503237314,0.0,0.0,True
ensemble,current_basecase,2048,2047Q4,490.91165275962067,6169493.274573572,3028.6761401102767,3028.6761401102763,4.547473508864641e-13,1.5014723590416847e-16,True
ensemble,current_basecase,2048,2048Q1,486.1919970900017,6177958.887451346,3003.674169429895,3003.674169429895,0.0,0.0,True
ensemble,current_basecase,2048,2048Q2,484.04164635507675,6186436.116615614,2994.4927229571294,2994.4927229571294,0.0,0.0,True
ensemble,current_basecase,2049,2048Q3,438.6623241813473,6194924.978005931,2717.480188981163,2717.4801889811633,-4.547473508864641e-13,-1.6734155146019957e-16,True
ensemble,current_basecase,2049,2048Q4,442.18903037799964,6203425.487583726,2743.0867013768175,2743.086701376817,4.547473508864641e-13,1.6577943039795867e-16,True
ensemble,current_basecase,2049,2049Q1,437.94120325691273,6211937.661332328,2720.463453960812,2720.463453960812,0.0,0.0,True
ensemble,current_basecase,2049,2049Q2,436.0053383640808,6220461.515256999,2712.1544277403705,2712.154427740371,-4.547473508864641e-13,-1.6767015411631135e-16,True
ensemble,current_basecase,2050,2049Q3,394.92337853030307,6228997.065384963,2459.9765659171726,2459.9765659171726,0.0,0.0,True
ensemble,current_basecase,2050,2049Q4,398.096868162215,6237544.327765435,2483.1468619064085,2483.1468619064085,0.0,0.0,True
ensemble,current_basecase,2050,2050Q1,394.27567439039484,6246103.318469655,2462.6865982017066,2462.6865982017066,0.0,0.0,True
ensemble,current_basecase,2050,2050Q2,392.5338005162661,6254674.053590911,2455.17097724652,2455.1709772465206,-4.547473508864641e-13,-1.85220237246558e-16,True
ensemble,current_comparison_1,2031,2030Q3,1522.0580151215736,5733470.527230353,8726.67477043427,8726.674770434272,-1.8189894035458565e-12,-2.084401506182563e-16,True
ensemble,current_comparison_1,2031,2030Q4,1534.9983677998225,5754851.14875033,8833.68712026269,8833.687120262692,-1.8189894035458565e-12,-2.0591508152620246e-16,True
ensemble,current_comparison_1,2031,2031Q1,1524.0787523965737,5776311.500509507,8803.55362515051,8803.553625150511,-1.8189894035458565e-12,-2.0661990384760772e-16,True
ensemble,current_comparison_1,2031,2031Q2,1517.1969868806234,5797851.879829036,8796.483402456772,8796.483402456772,0.0,0.0,True
ensemble,current_comparison_1,2032,2031Q3,1518.6888937020885,5819472.585138808,8837.96838225409,8837.96838225409,0.0,0.0,True
ensemble,current_comparison_1,2032,2031Q4,1530.872231201099,5841173.915981584,8942.090945592388,8942.09094559239,-1.8189894035458565e-12,-2.034187993181223e-16,True
ensemble,current_comparison_1,2032,2032Q1,1515.9347875998203,5862956.173017149,8887.859220849807,8887.859220849808,-1.8189894035458565e-12,-2.0466001523502247e-16,True
ensemble,current_comparison_1,2032,2032Q2,1508.9853558876896,5884819.658026471,8880.106686001945,8880.106686001945,0.0,0.0,True
ensemble,current_comparison_1,2033,2032Q3,1505.4497727524079,5906764.673915889,8892.337536048624,8892.337536048626,-1.8189894035458565e-12,-2.0455694536693643e-16,True
ensemble,current_comparison_1,2033,2032Q4,1517.5209065565602,5928791.524721308,8997.06508937993,8997.06508937993,0.0,0.0,True
ensemble,current_comparison_1,2033,2033Q1,1502.7258496528757,5950900.515612406,8942.57203352339,8942.572033523387,1.8189894035458565e-12,2.034078558972671e-16,True
ensemble,current_comparison_1,2033,2033Q2,1496.1134099837054,5973091.952896868,8936.422969794763,8936.422969794763,0.0,0.0,True
ensemble,current_comparison_1,2034,2033Q3,1484.8506227121682,5995366.144024628,8902.22315234242,8902.22315234242,0.0,0.0,True
ensemble,current_comparison_1,2034,2033Q4,1496.750301052407,6017723.397592127,9007.02930699613,9007.02930699613,0.0,0.0,True
ensemble,current_comparison_1,2034,2034Q1,1482.1366464951716,6040164.023346592,8952.348449843701,8952.348449843701,0.0,0.0,True
ensemble,current_comparison_1,2034,2034Q2,1475.638035502056,6062688.332190321,8946.33350037456,8946.333500374561,-1.8189894035458565e-12,-2.0332233349781788e-16,True
ensemble,current_comparison_1,2035,2034Q3,1453.9254921998954,6085296.636184997,8847.567906947641,8847.56790694764,1.8189894035458565e-12,2.0559202513918848e-16,True
ensemble,current_comparison_1,2035,2034Q4,1465.5456593296974,6107989.248556009,8951.53713045372,8951.537130453718,1.8189894035458565e-12,2.0320413991888996e-16,True
ensemble,current_comparison_1,2035,2035Q1,1451.1774281275252,6130766.4836967895,8896.829938261539,8896.829938261537,1.8189894035458565e-12,2.0445365553444435e-16,True
ensemble,current_comparison_1,2035,2035Q2,1444.5722878159606,6153628.657173174,8889.361427662512,8889.36142766251,1.8189894035458565e-12,2.046254298858187e-16,True
ensemble,current_comparison_1,2036,2035Q3,1409.6240126773362,6176576.085727771,8706.649966570454,8706.649966570456,-1.8189894035458565e-12,-2.0891955120855234e-16,True
ensemble,current_comparison_1,2036,2035Q4,1420.8802242563,6199609.087284348,8808.90195024198,8808.90195024198,0.0,0.0,True
ensemble,current_comparison_1,2036,2036Q1,1406.8596212135892,6222727.9809522405,8754.504730197672,8754.504730197672,0.0,0.0,True
ensemble,current_comparison_1,2036,2036Q2,1400.3596789396786,6245933.087030771,8746.552852433126,8746.552852433126,0.0,0.0,True
ensemble,current_comparison_1,2037,2036Q3,1350.7210920141447,6269224.727013687,8467.974069354004,8467.974069354004,0.0,0.0,True
ensemble,current_comparison_1,2037,2036Q4,1361.4040209162533,6292603.223593612,8566.77533063092,8566.77533063092,0.0,0.0,True
ensemble,current_comparison_1,2037,2037Q1,1347.983275553568,6316068.900666524,8513.955245342484,8513.955245342484,0.0,0.0,True
ensemble,current_comparison_1,2037,2037Q2,1341.7597482613444,6339622.083336232,8506.249730609283,8506.249730609283,0.0,0.0,True
ensemble,current_comparison_1,2038,2037Q3,1275.8800366001708,6363263.097918891,8118.760354269272,8118.7603542692705,1.8189894035458565e-12,2.2404767774544987e-16,True
ensemble,current_comparison_1,2038,2037Q4,1285.9653412923428,6386992.271947516,8213.450696826543,8213.450696826543,0.0,0.0,True
ensemble,current_comparison_1,2038,2038Q1,1273.3009091165875,6410809.934176521,8162.8901173606155,8162.890117360615,9.094947017729282e-13,1.1141822181810818e-16,True
ensemble,current_comparison_1,2038,2038Q2,1267.4265792630003,6434716.414586276,8155.530613866562,8155.530613866562,0.0,0.0,True
ensemble,current_comparison_1,2039,2038Q3,1186.2593258096617,6458712.044387675,7661.707395374064,7661.7073953740655,-1.8189894035458565e-12,-2.3741306078121885e-16,True
ensemble,current_comparison_1,2039,2038Q4,1195.6310047419738,6482797.156026728,7751.033277198648,7751.033277198648,0.0,0.0,True
ensemble,current_comparison_1,2039,2039Q1,1183.8680232636614,6506972.083189168,7703.396177556989,7703.396177556989,0.0,0.0,True
ensemble,current_comparison_1,2039,2039Q2,1178.4104182343226,6531237.160805069,7696.477914251851,7696.477914251851,0.0,0.0,True
ensemble,current_comparison_1,2040,2039Q3,1085.1982745583093,6555592.725053489,7114.117913935051,7114.117913935052,-9.094947017729282e-13,-1.2784363610159183e-16,True
ensemble,current_comparison_1,2040,2039Q4,1093.7667960056322,6580039.113367129,7197.028298619306,7197.028298619306,0.0,0.0,True
ensemble,current_comparison_1,2040,2040Q1,1083.0168181029467,6604576.664437005,7152.8676040355385,7152.8676040355385,0.0,0.0,True
ensemble,current_comparison_1,2040,2040Q2,1078.027921738032,6629205.718217145,7146.468863183506,7146.468863183507,-9.094947017729282e-13,-1.2726490791254627e-16,True
ensemble,current_comparison_1,2041,2040Q3,978.0893017239398,6653926.615929291,6508.1344374966175,6508.1344374966175,0.0,0.0,True
ensemble,current_comparison_1,2041,2040Q4,985.8078237274184,6678739.700067635,6583.953848965587,6583.953848965586,9.094947017729282e-13,1.3813807366159166e-16,True
ensemble,current_comparison_1,2041,2041Q1,976.1014506858817,6703645.314403559,6543.4379162729265,6543.437916272927,-9.094947017729282e-13,-1.3899340276631934e-16,True
ensemble,current_comparison_1,2041,2041Q2,968.6640359473593,6728643.8039904,6517.795263625533,6517.795263625533,0.0,0.0,True
ensemble,current_comparison_1,2042,2041Q3,863.3275244138454,6753735.515168229,5830.685762856054,5830.685762856055,-9.094947017729282e-13,-1.5598417386284062e-16,True
ensemble,current_comparison_1,2042,2041Q4,870.0972150371771,6778920.795568649,5898.320105181886,5898.320105181886,0.0,0.0,True
ensemble,current_comparison_1,2042,2042Q1,861.5657221364198,6804199.9941196125,5862.265481494287,5862.265481494287,0.0,0.0,True
ensemble,current_comparison_1,2042,2042Q2,857.5743376814859,6829573.461050256,5856.866937507227,5856.866937507227,0.0,0.0,True
ensemble,current_comparison_1,2043,2042Q3,754.3947747019894,6855041.547895752,5171.407524097592,5171.407524097593,-9.094947017729282e-13,-1.7586985700409187e-16,True
ensemble,current_comparison_1,2043,2042Q4,760.290600744558,6880604.607502177,5231.259010523605,5231.259010523604,9.094947017729282e-13,1.7385770804758824e-16,True
ensemble,current_comparison_1,2043,2043Q1,753.7291681208196,6906262.994031405,5205.451861314892,5205.451861314892,0.0,0.0,True
