engine,scenario,fy,target_light_petrol_vkt,target_ped_vkt_per_capita,raw_petrol_sum,raw_vktpc_sum,scale_fy,petrol_sum_residual,vktpc_sum_residual,petrol_rel_residual,vktpc_rel_residual,implied_population,single_scale_closes,negative_quarter
ar1,current_basecase,2037,30490.74572133517,5266.2276027493635,32588.18190355788,5628.487562501599,0.9356381344491722,0.0,0.0,0.0,0.0,5789864.780135351,True,False
ar1,current_basecase,2038,29316.540649505416,5030.724399017497,32579.21757038817,5590.6004290112705,0.8998540430311543,3.637978807091713e-12,9.094947017729282e-13,1.2409304530795954e-16,1.807880197035944e-16,5827498.849913334,True,False
ar1,current_basecase,2039,27803.385916194755,4740.255080702382,32570.031070039156,5552.929982116287,0.8536493519581199,0.0,9.094947017729282e-13,0.0,1.9186619417918855e-16,5865377.588936632,True,False
ar1,current_basecase,2040,25986.986989365614,4401.96083564807,32560.834973504847,5515.5112975591355,0.7981056692959977,0.0,0.0,0.0,0.0,5903502.543438629,True,False
ar1,current_basecase,2041,23938.87251467942,4029.5881662269035,32545.62546579715,5478.347702424589,0.7355480858660178,-3.637978807091713e-12,4.547473508864641e-13,-1.5196951338710243e-16,1.128520662974514e-16,5940773.976685199,True,False
ar1,current_basecase,2042,21637.12076883741,3621.991526836665,32506.235970047794,5441.450020579263,0.6656298437252006,-3.637978807091713e-12,-4.547473508864641e-13,-1.6813599396881245e-16,-1.255517434309479e-16,5973818.715068779,True,False
ar1,current_basecase,2043,19341.844264749856,3220.0585465394292,32464.915487713035,5404.806653800375,0.5957768247408544,3.637978807091713e-12,4.547473508864641e-13,1.8808851717009532e-16,1.4122331762420203e-16,6006674.718860742,True,False
ar1,current_basecase,2044,17264.97824988635,2858.5766802436387,32423.654830551823,5368.411256903528,0.532480941464319,0.0,-4.547473508864641e-13,0.0,-1.5908173953469236e-16,6039711.430240465,True,False
ar1,current_basecase,2045,15532.93206355075,2557.7328347002126,32382.451677317753,5332.261776739855,0.47967128055442365,0.0,-4.547473508864641e-13,0.0,-1.7779313957931976e-16,6072929.843499991,True,False
ar1,current_basecase,2046,14075.169696128323,2305.012583311315,32341.305770178973,5296.35651792441,0.43520721754860775,-1.8189894035458565e-12,0.0,-1.2923392348485918e-16,0.0,6106330.958032488,True,False
ar1,current_basecase,2047,12744.227200347417,2075.635507015144,32300.217019412863,5260.693824413342,0.3945554666920029,0.0,0.0,0.0,0.0,6139915.7786976695,True,False
ar1,current_basecase,2048,11547.750171710422,1870.4792325595422,32259.185349108808,5225.272053652304,0.35796781743682315,0.0,0.0,0.0,0.0,6173685.315879512,True,False
ar1,current_basecase,2049,10458.910759420927,1684.8447675626285,32218.21068459074,5190.08957441076,0.3246273004361224,0.0,4.547473508864641e-13,0.0,2.6990459871524064e-16,6207640.585518898,True,False
ar1,current_basecase,2050,9467.857423855028,1516.8515177033519,32177.292951388936,5155.144766536467,0.29424033395719035,0.0,2.2737367544323206e-13,0.0,1.498984394909635e-16,6241782.609144371,True,False
ar1,current_comparison_1,2031,33532.774752887846,5816.1023362399255,33540.35137943427,5817.416466540271,0.999774104139199,-7.275957614183426e-12,-9.094947017729282e-13,-2.1698048156771816e-16,-1.56375292110302e-16,5765506.315792681,True,False
ar1,current_comparison_1,2032,33728.69551250944,5763.642606177847,33787.568138178816,5773.702905530952,0.9982575654622845,0.0,9.094947017729282e-13,0.0,1.5779859438162816e-16,5851975.533034757,True,False
ar1,current_comparison_1,2033,33803.316513386446,5691.02965439379,34009.40778180114,5725.72659070166,0.9939401688574836,7.275957614183426e-12,9.094947017729282e-13,2.1524389807438199e-16,1.5981197727036054e-16,5939754.06318405,True,False
ar1,current_comparison_1,2034,33731.54412739352,5595.020472352591,34231.25765621192,5677.90749980355,0.9854018355434944,0.0,0.0,0.0,0.0,6028850.885189004,True,False
ar1,current_comparison_1,2035,33454.295085337035,5467.027552467822,34457.811128185036,5631.019943926044,0.970876964903114,0.0,0.0,0.0,0.0,6119284.156567994,True,False
ar1,current_comparison_1,2036,32896.72080378913,5296.465474839797,34683.59893039555,5584.157927889013,0.9484806023102621,0.0,-9.094947017729282e-13,0.0,-1.717172907278203e-16,6211070.563956461,True,False
ar1,current_comparison_1,2037,31994.09908569175,5075.018907216532,34887.57706692927,5533.992776837455,0.9170627992971081,0.0,9.094947017729282e-13,0.0,1.7921011101646393e-16,6304232.490680389,True,False
ar1,current_comparison_1,2038,30707.01972838608,4798.874890592184,35084.72338794096,5483.019830612893,0.8752247919657377,0.0,-9.094947017729282e-13,0.0,-1.895224865219806e-16,6398795.640324938,True,False
ar1,current_comparison_1,2039,29038.55054077707,4471.061606609729,35282.337546041425,5432.4166274082,0.8230336355374251,-3.637978807091713e-12,-9.094947017729282e-13,-1.2528100539946445e-16,-2.0341806528194331e-16,6494777.548546491,True,False
ar1,current_comparison_1,2040,27041.270810030535,4102.010565156654,35481.017878889295,5382.273311938023,0.7621334568904718,-3.637978807091713e-12,0.0,-1.3453431359232798e-16,0.0,6592199.210729688,True,False
ar1,current_comparison_1,2041,24806.624078237757,3707.41654477564,35679.30315695441,5332.367613302237,0.6952664957920455,-3.637978807091713e-12,0.0,-1.46653522688854e-16,0.0,6691080.912716533,True,False
