FY,period,source_path,scenario_name,scenario_role,conventional_light_km,light_bev_km,phev_km,total_light_universe_km,conventional_share,light_bev_share,phev_share,share_sum,conventional_light_revenue,light_bev_revenue,phev_revenue,conventional_light_rate_nzd_per_1000km,light_bev_rate_nzd_per_1000km,phev_rate_nzd_per_1000km,conventional_light_source_cell,light_bev_source_cell,phev_source_cell,conventional_light_revenue_source_cell,light_bev_revenue_source_cell,phev_revenue_source_cell,source_formula,source_file,source_status,model_input_target_million_km,model_input_quarters,model_input_full_year,target_minus_conventional_light_km,target_minus_total_light_universe_km,target_matches_conventional_light,target_matches_total_light_universe,target_semantics_status,business_rule,current_light_total_modelled_km,current_conventional_light_km,current_light_bev_km,current_phev_km,current_allocation_sum_km,current_allocation_residual_km,current_light_ruc_net_revenue,current_light_bev_ruc_net_revenue,current_phev_ruc_net_revenue,old_light_ruc_net_revenue_no_allocation,old_light_bev_ruc_net_revenue_fixed_mbu,old_phev_ruc_net_revenue_fixed_mbu,extrapolated_model_extension,allocation_status,used_by_current_finalist,notes
2033,FY2033,Current finalist High population/comparison,current_comparison_1,comparison,13782.7022644857,5198.25079890367,2610.75237942357,21591.70544281294,0.6383331923914068,0.24075220980906678,0.1209145977995263,0.9999999999999999,1398.18623122075,527.336552294783,130.602887780664,101.44499999999985,101.44500000000004,50.02499999999996,AI10,AI12,AI14,AI33,AI35,AI37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,LT_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,15737.884393030228,12870.348097175685,4848.428958612517,2435.059009240839,20153.83606502904,-4415.951671998813,1305.6324627179856,491.84887570644696,121.81382693727288,1596.5296822509492,527.336552294783,130.602887780664,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2034,FY2034,Current finalist Base case,current_basecase,basecase,13486.5281007032,6169.96962436653,2923.8213822621,22580.31910733183,0.5972691544613347,0.27324545747288137,0.12948538806578402,1.0,1419.79424580153,649.543552205186,151.790187060137,105.27500000000003,105.2749999999999,51.91500000000002,AJ10,AJ12,AJ14,AJ33,AJ35,AJ37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,LT_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,15525.473104397175,12202.093130254834,5525.126117299767,2618.243340722186,20345.46258827679,-4819.989483879615,1284.5753542875782,581.6576519987325,135.92610303359234,1634.4441810654132,649.543552205186,151.790187060137,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2034,FY2034,Current finalist High population/comparison,current_comparison_1,comparison,13486.5281007032,6169.96962436653,2923.8213822621,22580.31910733183,0.5972691544613347,0.27324545747288137,0.12948538806578402,1.0,1419.79424580153,649.543552205186,151.790187060137,105.27500000000003,105.2749999999999,51.91500000000002,AJ10,AJ12,AJ14,AJ33,AJ35,AJ37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,LT_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,16211.338008385559,12794.217007373974,5792.339232581027,2744.870126208254,21331.426366163258,-5120.088357777699,1346.9111954512955,609.7885127099671,142.49993260210158,1706.6486088327904,649.543552205186,151.790187060137,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2035,FY2035,Current finalist Base case,current_basecase,basecase,13152.7808038663,7342.70646637953,3221.10020837769,23716.58747862352,0.5545815061176613,0.30960214967679195,0.13581634420554664,1.0,1434.96838570181,801.089275482007,173.295191210719,109.09999999999974,109.10000000000005,53.79999999999978,AK10,AK12,AK14,AK33,AK35,AK37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,LT_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,15907.569703615438,11983.806016872628,6577.470804964669,2885.406447537919,21446.683269375215,-5539.113565759777,1307.4332364408006,717.6020648216456,155.23486687753942,1735.5158546644402,801.089275482007,173.295191210719,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2035,FY2035,Current finalist High population/comparison,current_comparison_1,comparison,13152.7808038663,7342.70646637953,3221.10020837769,23716.58747862352,0.5545815061176613,0.30960214967679195,0.13581634420554664,1.0,1434.96838570181,801.089275482007,173.295191210719,109.09999999999974,109.10000000000005,53.79999999999978,AK10,AK12,AK14,AK33,AK35,AK37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,LT_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,16699.041090372455,12649.819519020526,6937.868641000332,3043.5058554427183,22631.194015463578,-5932.152925091123,1380.0953095251361,756.9214687331365,163.74061502281756,1821.8653829596306,801.089275482007,173.295191210719,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2036,FY2036,Current finalist Base case,current_basecase,basecase,12784.9358761227,8722.42544877532,3458.9885477007,24966.34987259872,0.5120867063612904,0.34936726807423424,0.13854602556447543,1.0,1443.73888381115,984.979893802953,192.613777278713,112.92499999999954,112.925,55.68499999999986,AL10,AL12,AL14,AL33,AL35,AL37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,LT_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,16294.926424368336,11707.072792303188,7824.394382485204,3102.862927365006,22634.3301021534,-6339.403677785063,1322.0211950708322,883.5697356421416,172.7829221103199,1840.1045664717867,984.979893802953,192.613777278713,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2036,FY2036,Current finalist High population/comparison,current_comparison_1,comparison,12784.9358761227,8722.42544877532,3458.9885477007,24966.34987259872,0.5120867063612904,0.34936726807423424,0.13854602556447543,1.0,1443.73888381115,984.979893802953,192.613777278713,112.92499999999954,112.925,55.68499999999986,AL10,AL12,AL14,AL33,AL35,AL37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,LT_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,17190.496810595647,12439.69119652975,8302.116449963138,3292.309678167798,24034.11732466069,-6843.620514065042,1404.7521283681162,937.5165001120873,183.33226442877339,1941.2368523365055,984.979893802953,192.613777278713,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2037,FY2037,Current finalist Base case,current_basecase,basecase,12371.4019487283,10347.7667235734,3633.92319725474,26353.09186955644,0.46944783594899403,0.39265854552449403,0.13789361852651197,1.0,1444.42303452378,1208.15350381081,209.223128081942,116.75500000000058,116.75499999999977,57.575000000000095,AM10,AM12,AM14,AM33,AM35,AM37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,LT_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,16675.021546277254,11354.383724674677,9296.155524838683,3264.618937537598,23915.158187050958,-7240.136640773704,1325.6810717743986,1085.3726383025382,187.96043532872753,1946.8921406356105,1208.15350381081,209.223128081942,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2037,FY2037,Current finalist High population/comparison,current_comparison_1,comparison,12371.4019487283,10347.7667235734,3633.92319725474,26353.09186955644,0.46944783594899403,0.39265854552449403,0.13789361852651197,1.0,1444.42303452378,1208.15350381081,209.223128081942,116.75500000000058,116.75499999999977,57.575000000000095,AM10,AM12,AM14,AM33,AM35,AM37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,LT_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,17652.342657124576,12128.504519251448,9914.484459271976,3481.7633628416706,25524.752341365096,-7872.40968424052,1416.06354514521,1157.5656330422973,200.46252561560954,2060.99926693259,1208.15350381081,209.223128081942,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2038,FY2038,Current finalist Base case,current_basecase,basecase,11896.5686763478,12209.6897667792,3757.99931032245,27864.257753449452,0.42694726633710767,0.43818464051021433,0.13486809315267798,1.0,1434.5477338374,1472.30544052707,223.469428988324,120.58500000000004,120.58500000000001,59.464999999999876,AN10,AN12,AN14,AN33,AN35,AN37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,LT_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,17062.63274556055,10938.210097846282,10997.891391143085,3385.0219827345704,25321.12347172394,-8258.490726163389,1318.9840646487944,1326.180733400989,201.2903322033108,2057.4975696234196,1472.30544052707,223.469428988324,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
