engine,series,period,lower,upper,expected_lower,expected_upper,vfm_fast,vfm_slow,lower_matches_independent,upper_matches_independent,width
ar1,Total NLTF revenue,FY2025,4277.834258709689,4280.138318132472,4277.834258709689,4280.138318132472,4277.834258709689,4280.138318132472,True,True,2.3040594227832116
ar1,Total NLTF revenue,FY2026,4586.328859562834,4591.662376418048,4586.328859562834,4591.662376418048,4586.328859562834,4591.662376418048,True,True,5.333516855213929
ar1,Total NLTF revenue,FY2027,4950.809576517774,4960.83512702919,4950.809576517774,4960.83512702919,4950.809576517774,4960.83512702919,True,True,10.025550511415531
ar1,Total NLTF revenue,FY2028,5590.403276978345,5607.653769400429,5590.403276978345,5607.653769400429,5590.403276978345,5607.653769400429,True,True,17.25049242208388
ar1,Total NLTF revenue,FY2029,6017.002840330527,6041.44268189811,6017.002840330527,6041.44268189811,6017.002840330527,6041.44268189811,True,True,24.439841567583244
ar1,Total NLTF revenue,FY2030,6391.134834034494,6422.641844708518,6391.134834034494,6422.641844708518,6391.134834034494,6422.641844708518,True,True,31.50701067402406
ar1,Total RUC+PED revenue,FY2025,3973.9459572196893,3976.250016642473,3973.9459572196893,3976.250016642473,3973.9459572196893,3976.250016642473,True,True,2.3040594227836664
ar1,Total RUC+PED revenue,FY2026,4175.048007555185,4180.381524410399,4175.048007555185,4180.381524410399,4175.048007555185,4180.381524410399,True,True,5.333516855213929
ar1,Total RUC+PED revenue,FY2027,4449.204686652943,4459.230237164358,4449.204686652943,4459.230237164358,4449.204686652943,4459.230237164358,True,True,10.025550511415531
ar1,Total RUC+PED revenue,FY2028,5082.594867008934,5099.845359431018,5082.594867008934,5099.845359431018,5082.594867008934,5099.845359431018,True,True,17.25049242208388
ar1,Total RUC+PED revenue,FY2029,5514.601830644005,5539.041672211588,5514.601830644005,5539.041672211588,5514.601830644005,5539.041672211588,True,True,24.439841567583244
ar1,Total RUC+PED revenue,FY2030,5893.693216052809,5925.200226726833,5893.693216052809,5925.200226726833,5893.693216052809,5925.200226726833,True,True,31.50701067402406
ar1,Total RUC all classes,FY2025,1976.2188106196893,1978.5228700424725,1976.2188106196893,1978.5228700424725,1976.2188106196893,1978.5228700424725,True,True,2.3040594227832116
ar1,Total RUC all classes,FY2026,2068.853022963976,2074.186539819189,2068.853022963976,2074.186539819189,2068.853022963976,2074.186539819189,True,True,5.33351685521302
ar1,Total RUC all classes,FY2027,2276.978272633629,2287.003823145045,2276.978272633629,2287.003823145045,2276.978272633629,2287.003823145045,True,True,10.025550511415986
ar1,Total RUC all classes,FY2028,2672.833140159883,2690.0836325819664,2672.833140159883,2690.0836325819664,2672.833140159883,2690.0836325819664,True,True,17.250492422083425
ar1,Total RUC all classes,FY2029,2967.2367471023913,2991.6765886699745,2967.2367471023913,2991.6765886699745,2967.2367471023913,2991.6765886699745,True,True,24.439841567583244
ar1,Total RUC all classes,FY2030,3236.578965058866,3268.0859757328903,3236.578965058866,3268.0859757328903,3236.578965058866,3268.0859757328903,True,True,31.507010674024514
ar1,Light RUC revenue,FY2025,812.0864140613921,825.8263836615536,812.0864140613921,825.8263836615536,812.0864140613921,825.8263836615536,True,True,13.73996960016143
ar1,Light RUC revenue,FY2026,855.6829132801796,882.531524416064,855.6829132801796,882.531524416064,855.6829132801796,882.531524416064,True,True,26.848611135884425
ar1,Light RUC revenue,FY2027,920.8773250946132,969.4030741356731,920.8773250946132,969.4030741356731,920.8773250946132,969.4030741356731,True,True,48.52574904105995
ar1,Light RUC revenue,FY2028,1065.3208639477073,1148.866611439396,1065.3208639477073,1148.866611439396,1065.3208639477073,1148.866611439396,True,True,83.54574749168864
ar1,Light RUC revenue,FY2029,1162.5446108480944,1285.7407390758483,1162.5446108480944,1285.7407390758483,1162.5446108480944,1285.7407390758483,True,True,123.19612822775389
ar1,Light RUC revenue,FY2030,1233.447349033885,1400.883390045365,1233.447349033885,1400.883390045365,1233.447349033885,1400.883390045365,True,True,167.43604101148003
ar1,Light RUC net km,FY2025,11994.99636874184,12197.943841580734,11994.99636874184,12197.943841580734,11994.99636874184,12197.943841580734,True,True,202.9474728388941
ar1,Light RUC net km,FY2026,12631.475314783296,13027.810877333082,12631.475314783296,13027.810877333082,12631.475314783296,13027.810877333082,True,True,396.3355625497861
