stream,stream_label,component_label,component_model,score_basis,eval_grid,origin,target_period,horizon,actual,stored_component_pred,replayed_pred,replayed_pred_log,abs_delta,abs_pct_delta,match_status,component_weight,weighted_component_pred,final_pred,ensemble_model
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q3,2018Q2,11,983918062.0,925552353.3947624,922369155.8474106,20.64245608733944,3183197.547351837,0.34392409415593095,delta_exceeds_tolerance,0.469332,434391337.12347066,923157907.5978091,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q3,2018Q3,12,987441652.0,941804988.93334,942172326.9561712,20.663698753130422,367338.02283120155,0.03900361828059942,delta_exceeds_tolerance,0.469332,442019219.06606233,926841398.3879757,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q4,2016Q1,1,920125016.0,945063346.7939508,944645927.8736013,20.66632073574928,417418.9203494787,0.044168353556990426,delta_exceeds_tolerance,0.469332,443548470.6774985,932555587.4528328,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q4,2016Q2,2,903149015.0,890277462.7024084,891845069.5540713,20.608802986617903,1567606.8516628742,0.1760807071207278,delta_exceeds_tolerance,0.469332,417835702.1250468,896609075.4217702,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q4,2016Q3,3,917814423.0,932711075.2003917,933368148.4257834,20.65431026664853,657073.2253917456,0.07044767054476911,delta_exceeds_tolerance,0.469332,437751154.34595025,917284971.3574824,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q4,2016Q4,4,977369221.0,966738797.999489,962090127.6105391,20.6846186919864,4648670.388949871,0.48086105559945974,delta_exceeds_tolerance,0.469332,453721453.5426962,948302952.0559316,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q4,2017Q1,5,987496699.0,969727548.4766512,968087934.9356934,20.690833482990694,1639613.5409578085,0.1690798145864252,delta_exceeds_tolerance,0.469332,455124169.7816437,943263382.5356998,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q4,2017Q2,6,960003244.0,914217870.198509,911508154.9032587,20.63061109872784,2709715.2952502966,0.2963971044081562,delta_exceeds_tolerance,0.469332,429071701.45600665,917280054.3788075,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q4,2017Q3,7,975147170.0,937663412.4157308,938425752.8074836,20.65971429824271,762340.3917527199,0.08130213695644571,delta_exceeds_tolerance,0.469332,440075444.6758998,922394924.5772164,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q4,2017Q4,8,1057176543.0,992759841.0925102,988414002.7739593,20.71161219909084,4345838.318550944,0.43775323483758627,delta_exceeds_tolerance,0.469332,465933961.73963004,959323428.1983554,HEAVY_RUC__RECON_STATIC_REBUILT
