component_label,component_model,origin,configured_window_quarters,repo_raw_window_start,repo_raw_window_end,repo_effective_training_start,repo_effective_training_end,repo_training_rows,repo_feature_count,source_training_fit_window_start,source_training_fit_window_end,source_training_fit_rows,trace_inferred_start,trace_inferred_end,comparison_status
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2017Q4,64,2002Q1,2017Q4,2009Q3,2017Q4,34,6,2009Q3,2017Q4,34,2002Q1,2017Q4,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2018Q1,64,2002Q2,2018Q1,2009Q3,2018Q1,35,6,2009Q3,2018Q1,35,2002Q2,2018Q1,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2018Q2,64,2002Q3,2018Q2,2009Q3,2018Q2,36,6,2009Q3,2018Q2,36,2002Q3,2018Q2,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2018Q3,64,2002Q4,2018Q3,2009Q3,2018Q3,37,6,2009Q3,2018Q3,37,2002Q4,2018Q3,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2018Q4,64,2003Q1,2018Q4,2009Q3,2018Q4,38,6,2009Q3,2018Q4,38,2003Q1,2018Q4,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2019Q1,64,2003Q2,2019Q1,2009Q3,2019Q1,39,6,2009Q3,2019Q1,39,2003Q2,2019Q1,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2019Q2,64,2003Q3,2019Q2,2009Q3,2019Q2,40,6,2009Q3,2019Q2,40,2003Q3,2019Q2,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2019Q3,64,2003Q4,2019Q3,2009Q3,2019Q3,41,6,2009Q3,2019Q3,41,2003Q4,2019Q3,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2019Q4,64,2004Q1,2019Q4,2009Q3,2019Q4,42,6,2009Q3,2019Q4,42,2004Q1,2019Q4,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2020Q1,64,2004Q2,2020Q1,2009Q3,2020Q1,43,6,2009Q3,2020Q1,43,2004Q2,2020Q1,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2020Q2,64,2004Q3,2020Q2,2009Q3,2020Q2,44,6,2009Q3,2020Q2,44,2004Q3,2020Q2,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2020Q3,64,2004Q4,2020Q3,2009Q3,2020Q3,45,6,2009Q3,2020Q3,45,2004Q4,2020Q3,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2020Q4,64,2005Q1,2020Q4,2009Q3,2020Q4,46,6,2009Q3,2020Q4,46,2005Q1,2020Q4,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2021Q1,64,2005Q2,2021Q1,2009Q3,2021Q1,47,6,2009Q3,2021Q1,47,2005Q2,2021Q1,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2021Q2,64,2005Q3,2021Q2,2009Q3,2021Q2,48,6,2009Q3,2021Q2,48,2005Q3,2021Q2,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2021Q3,64,2005Q4,2021Q3,2009Q3,2021Q3,49,6,2009Q3,2021Q3,49,2005Q4,2021Q3,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2021Q4,64,2006Q1,2021Q4,2009Q3,2021Q4,50,6,2009Q3,2021Q4,50,2006Q1,2021Q4,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2022Q1,64,2006Q2,2022Q1,2009Q3,2022Q1,51,6,2009Q3,2022Q1,51,2006Q2,2022Q1,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2022Q2,64,2006Q3,2022Q2,2009Q3,2022Q2,52,6,2009Q3,2022Q2,52,2006Q3,2022Q2,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2022Q3,64,2006Q4,2022Q3,2009Q3,2022Q3,53,6,2009Q3,2022Q3,53,2006Q4,2022Q3,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2022Q4,64,2007Q1,2022Q4,2009Q3,2022Q4,54,6,2009Q3,2022Q4,54,2007Q1,2022Q4,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2023Q1,64,2007Q2,2023Q1,2009Q3,2023Q1,55,6,2009Q3,2023Q1,55,2007Q2,2023Q1,effective_window_matches_training_fit_rows
