candidate_id,artifact_basename,container_basename,archive_entry_name,source_location_class,source_scope,repo_relative_path,artifact_role,source_stage,size_bytes,sha256,container_sha256,is_archive_entry,status,used_for_recovery,required_for_replay,vendor_repo_relative_path,notes
heavy_parent_search_0162,C4_2023q4.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2023q4.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27215,3fe8e091c48154b92319b1358d6fa6171c1b53c799865b62a124b043db7c706d,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0163,C4_2024q1.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2024q1.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27311,b0d81ced7b1ca44089c6566c9f8142cb4fbcc16df41d26bc09b84d90b4602a18,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0164,C4_2024q2.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2024q2.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27211,0c4af34a4633f7fef183ec1414889f63bae9947ed9b55c6688b3941cf1f4d54c,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0165,C4_2024q3.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2024q3.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27234,bcc81165b835d58418c29509aa4fad230a07f37ee2450dfc6ac483497187fe12,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0166,C4_2024q4.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2024q4.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27291,0cf91f3903141c54dd4b42961c15309e77a5b6ef0db82b1e51a2759901e132c6,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0167,C4_2025q1.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2025q1.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27304,50f129aea7e4690373c729b56960b538d1109937e556735c539651c7a853e2d9,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0168,C4_2025q2.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2025q2.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27361,ff78fedd30f2bddaffcc00eb2c40b41ede089ee1dd1f3dfc6e3146e597e2704b,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0169,C4_2025q3.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2025q3.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27420,93052adda6e652124d67ea6bfeb739d03b2d1ba13bb5ac019d408ca1ce118b83,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0170,feature_column_order.parquet,,,repo_source_refit_feature_matrices,heavy_ruc_forward_feature_matrices,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_feature_matrices/feature_column_order.parquet,source_refit_feature_matrix_not_parent,source_refit_forward_feature_export,11358,a3a3f090406b377620a1cb80b593329813e5994ddced37c7849103d9c5c9413c,,False,not_exact_parent_feature_matrix,False,False,,"Feature matrix belongs to the source-refit forward audit, not to the original parent component run."
heavy_parent_search_0171,prediction_feature_rows.parquet,,,repo_source_refit_feature_matrices,heavy_ruc_forward_feature_matrices,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_feature_matrices/prediction_feature_rows.parquet,source_refit_feature_matrix_not_parent,source_refit_forward_feature_export,677440,7fbd70032ba375ff18a0adc4937d3bd8d4837303536d91be9d7287b332630a02,,False,not_exact_parent_feature_matrix,False,False,,"Feature matrix belongs to the source-refit forward audit, not to the original parent component run."
heavy_parent_search_0172,target_lag_state.parquet,,,repo_source_refit_feature_matrices,heavy_ruc_forward_feature_matrices,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_feature_matrices/target_lag_state.parquet,source_refit_feature_matrix_not_parent,source_refit_forward_feature_export,82760,5c83b7793463397c9418e12ecf7eaabacb52d9d8fc438e1d00038bab3b561804,,False,not_exact_parent_feature_matrix,False,False,,"Feature matrix belongs to the source-refit forward audit, not to the original parent component run."
heavy_parent_search_0173,training_feature_matrix.parquet,,,repo_source_refit_feature_matrices,heavy_ruc_forward_feature_matrices,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_feature_matrices/training_feature_matrix.parquet,source_refit_feature_matrix_not_parent,source_refit_forward_feature_export,832310,58df3c60c8a23907aee93b9114257cfbb46e443230081f962c9a86769a8508f0,,False,not_exact_parent_feature_matrix,False,False,,"Feature matrix belongs to the source-refit forward audit, not to the original parent component run."
heavy_parent_search_0174,c3_c4_fitted_state_audit.csv,,,repo_parity_debug,heavy_ruc_forward_parity_debug,artifacts/heavy_ruc_forward_parity_debug/c3_c4_fitted_state_audit.csv,parity_debug_evidence,parity_debug,1790,304969996cbb92ae68a273f27f31ac06e9d3f4a9f4d40d24ef7b5e6d74848baa,,False,diagnostic_evidence_not_parent_state,False,False,,Debug artifact documents parity status but is not a parent fitted estimator or exact parent feature matrix.
