engine,lever,series_id,FY,forecast_segment,baseline,adjusted_effective,ratio,current_code_exponent,owner_contract_expected_factor,audit_row_exists,first_divergent_layer
ar1,fleet_efficiency_Custom10,gross_ped_revenue,2050,post_model_extrapolation,1155.5197216171653,1155.5197216171653,1.0,25,0.0717897987691853,False,revenue_sensitivity_impact_audit_frame (no adjusted row: ped bridge litres/rate end FY2030)
ar1,fleet_efficiency_Custom10,light_petrol_vkt,2026,,32942.237730580084,32942.237730580084,1.0,1,,True,
ar1,fleet_efficiency_Custom10,light_petrol_vkt,2030,,32439.89972726253,32439.89972726253,1.0,5,,True,
ar1,fleet_efficiency_Custom10,light_petrol_vkt,2031,post_model_extrapolation,32560.913261162386,32560.913261162386,1.0,6,,True,
ar1,fleet_efficiency_Custom10,light_petrol_vkt,2040,post_model_extrapolation,25986.986989365614,25986.986989365614,1.0,15,,True,
ar1,fleet_efficiency_Custom10,light_petrol_vkt,2050,post_model_extrapolation,9467.857423855028,9467.857423855028,1.0,25,,True,
ar1,fleet_efficiency_Custom10,total_nltf_net_revenue,2026,,4591.040099101557,4377.413244777011,0.9534687457061524,1,,True,
ar1,fleet_efficiency_Custom10,total_nltf_net_revenue,2030,,6304.203781964763,5210.491308146492,0.8265106091672999,5,,True,
ar1,fleet_efficiency_Custom10,total_nltf_net_revenue,2031,post_model_extrapolation,6617.004692316132,6617.004692316132,1.0,6,,True,
ar1,fleet_efficiency_Custom10,total_nltf_net_revenue,2040,post_model_extrapolation,9301.01999140351,9301.01999140351,1.0,15,,True,
ar1,fleet_efficiency_Custom10,total_nltf_net_revenue,2050,post_model_extrapolation,12772.233577658586,12772.233577658586,1.0,25,,True,
ar1,pt_mode_shift_Med,light_petrol_vkt,2026,,32942.237730580084,32942.237730580084,1.0,0,0.995,True,
ar1,pt_mode_shift_Med,light_petrol_vkt,2030,,32439.89972726253,32277.700228626218,0.995,1,0.975248753121875,True,
ar1,pt_mode_shift_Med,light_petrol_vkt,2031,post_model_extrapolation,32560.913261162386,32236.118151382292,0.990025,2,0.9703725093562656,True,
ar1,pt_mode_shift_Med,light_petrol_vkt,2040,post_model_extrapolation,25986.986989365614,24592.904152938503,0.9463545798134428,11,0.9275689688183278,True,
ar1,pt_mode_shift_Med,light_petrol_vkt,2050,post_model_extrapolation,9467.857423855028,8521.899436108275,0.9000874278732445,21,0.8822202429488012,True,
ar1,pt_mode_shift_Med,light_ruc_net_km,2026,,12805.016492073193,12805.016492073193,1.0,0,0.995,True,
ar1,pt_mode_shift_Med,light_ruc_net_km,2030,,14129.750867690174,14059.102113351724,0.9950000000000001,1,0.975248753121875,True,
ar1,pt_mode_shift_Med,light_ruc_net_km,2031,post_model_extrapolation,13975.040162956282,13835.639137330794,0.990025,2,0.9703725093562656,True,
ar1,pt_mode_shift_Med,light_ruc_net_km,2040,post_model_extrapolation,10324.17350200051,9770.328876406775,0.946354579813443,11,0.9275689688183278,True,
ar1,pt_mode_shift_Med,light_ruc_net_km,2050,post_model_extrapolation,6027.296699807985,5425.093983559063,0.9000874278732444,21,0.8822202429488012,True,
ar1,pt_mode_shift_Med,ped_volume,2026,,3050.766227644052,3050.766227644052,1.0,0,0.995,True,
ar1,pt_mode_shift_Med,ped_volume,2030,,2840.934708355387,2826.7300348136105,0.9950000000000001,1,0.975248753121875,True,
ar1,pt_mode_shift_Med,ped_volume,2031,post_model_extrapolation,2823.1738268321046,2823.1738268321046,1.0,2,0.9703725093562656,False,revenue_sensitivity_impact_audit_frame (no adjusted row: ped bridge litres/rate end FY2030)
ar1,pt_mode_shift_Med,ped_volume,2040,post_model_extrapolation,2049.4374373331057,2049.4374373331057,1.0,11,0.9275689688183278,False,revenue_sensitivity_impact_audit_frame (no adjusted row: ped bridge litres/rate end FY2030)
ar1,pt_mode_shift_Med,ped_volume,2050,post_model_extrapolation,664.1783092400348,664.1783092400348,1.0,21,0.8822202429488012,False,revenue_sensitivity_impact_audit_frame (no adjusted row: ped bridge litres/rate end FY2030)
ar1,pt_mode_shift_Med,ped_vkt_per_capita,2026,,6144.321779043229,6144.321779043229,1.0,0,0.995,True,
ar1,pt_mode_shift_Med,ped_vkt_per_capita,2030,,5870.472750433319,5841.120386681152,0.995,1,0.975248753121875,True,
ar1,pt_mode_shift_Med,ped_vkt_per_capita,2031,post_model_extrapolation,5847.236902159696,5788.910714060653,0.9900249999999999,2,0.9703725093562656,True,
ar1,pt_mode_shift_Med,ped_vkt_per_capita,2040,post_model_extrapolation,4401.96083564807,4165.815796974962,0.946354579813443,11,0.9275689688183278,True,
ar1,pt_mode_shift_Med,ped_vkt_per_capita,2050,post_model_extrapolation,1516.8515177033519,1365.2989810352371,0.9000874278732445,21,0.8822202429488012,True,
ar1,pt_mode_shift_Med,total_nltf_net_revenue,2026,,4591.040099101557,4591.040099101557,1.0,0,,True,
ar1,pt_mode_shift_Med,total_nltf_net_revenue,2030,,6304.203781964763,6282.588768688471,0.9965713333477371,1,,True,
ar1,pt_mode_shift_Med,total_nltf_net_revenue,2031,post_model_extrapolation,6617.004692316132,6599.183641804178,0.9973067798285457,2,,True,
ar1,pt_mode_shift_Med,total_nltf_net_revenue,2040,post_model_extrapolation,9301.01999140351,9094.925105652757,0.9778416898424865,11,,True,
ar1,pt_mode_shift_Med,total_nltf_net_revenue,2050,post_model_extrapolation,12772.233577658586,11960.0986894148,0.9364140278749375,21,,True,
