source_sheet,release_round,release_family,release_year,FY,horizon,series,metric,unit,forecast,raw_actual,crown_top_up,benchmark_actual,error,pct_error,source_cell,source_workbook_sheet,source_workbook_row,value_status,revenue_basis
HYEFU 2017,HYEFU17,HYEFU,2017,2024,7,Heavy RUC net km,Volume,million km,4274.406056404296,3903.861766,0,3903.861766,370.5442904042957,0.0949173696751986,J92,Forecast archive,92,forecast_archive,activity
MBU 2017,MBU17,MBU,2017,2017,0,Heavy RUC net km,Volume,million km,3821.376979647455,3842.683587,0,3842.683587,-21.306607352545143,-0.00554472073230971,J93,Forecast archive,93,forecast_archive,activity
MBU 2017,MBU17,MBU,2017,2018,1,Heavy RUC net km,Volume,million km,3948.810739293109,4022.092402,0,4022.092402,-73.28166270689144,-0.018219785967734572,J94,Forecast archive,94,forecast_archive,activity
MBU 2017,MBU17,MBU,2017,2019,2,Heavy RUC net km,Volume,million km,4051.401567323289,4071.164816,0,4071.164816,-19.7632486767111,-0.004854445734802966,J95,Forecast archive,95,forecast_archive,activity
MBU 2017,MBU17,MBU,2017,2020,3,Heavy RUC net km,Volume,million km,4130.529118622809,3867.517432,0,3867.517432,263.0116866228086,0.06800530088025951,J96,Forecast archive,96,forecast_archive,activity
MBU 2017,MBU17,MBU,2017,2021,4,Heavy RUC net km,Volume,million km,4207.944731380973,4141.235503,0,4141.235503,66.7092283809734,0.016108532908270443,J97,Forecast archive,97,forecast_archive,activity
MBU 2017,MBU17,MBU,2017,2022,5,Heavy RUC net km,Volume,million km,4296.593758024893,4170.928916,0,4170.928916,125.664842024893,0.03012874219525371,J98,Forecast archive,98,forecast_archive,activity
MBU 2017,MBU17,MBU,2017,2023,6,Heavy RUC net km,Volume,million km,4387.854692913545,4152.746925,0,4152.746925,235.1077679135442,0.05661500018172771,J99,Forecast archive,99,forecast_archive,activity
MBU 2017,MBU17,MBU,2017,2024,7,Heavy RUC net km,Volume,million km,4480.060500474251,3903.861766,0,3903.861766,576.1987344742511,0.14759711511625564,J100,Forecast archive,100,forecast_archive,activity
OBU 2017,OBU17,OBU,2017,2018,1,Heavy RUC net km,Volume,million km,3900.240917360528,4022.092402,0,4022.092402,-121.85148463947235,-0.03029554581562603,J101,Forecast archive,101,forecast_archive,activity
OBU 2017,OBU17,OBU,2017,2019,2,Heavy RUC net km,Volume,million km,3957.158971976669,4071.164816,0,4071.164816,-114.00584402333106,-0.02800324948164198,J102,Forecast archive,102,forecast_archive,activity
OBU 2017,OBU17,OBU,2017,2020,3,Heavy RUC net km,Volume,million km,4017.675358160635,3867.517432,0,3867.517432,150.15792616063482,0.038825403841291545,J103,Forecast archive,103,forecast_archive,activity
OBU 2017,OBU17,OBU,2017,2021,4,Heavy RUC net km,Volume,million km,4079.067956320785,4141.235503,0,4141.235503,-62.167546679214865,-0.015011835630738546,J104,Forecast archive,104,forecast_archive,activity
OBU 2017,OBU17,OBU,2017,2022,5,Heavy RUC net km,Volume,million km,4139.270165429954,4170.928916,0,4170.928916,-31.658750570045413,-0.007590335680044808,J105,Forecast archive,105,forecast_archive,activity
OBU 2017,OBU17,OBU,2017,2023,6,Heavy RUC net km,Volume,million km,4201.271783713288,4152.746925,0,4152.746925,48.52485871328736,0.011685002623483336,J106,Forecast archive,106,forecast_archive,activity
