Sheet,Cell,Cached error,Formula
Dashboard data,B13,#N/A,"IF(B$12<$U$4,NA(),IF(COUNTIFS('MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,B$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,B$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",B117,0),NA()))"
Dashboard data,C13,#N/A,"IF(C$12<$U$4,NA(),IF(COUNTIFS('MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,C$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,C$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",C117,0),NA()))"
Dashboard data,D13,#N/A,"IF(D$12<$U$4,NA(),IF(COUNTIFS('MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,D$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,D$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",D117,0),NA()))"
Dashboard data,E13,#N/A,"IF(E$12<$U$4,NA(),IF(COUNTIFS('MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,E$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,E$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",E117,0),NA()))"
Dashboard data,F13,#N/A,"IF(F$12<$U$4,NA(),IF(COUNTIFS('MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,F$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,F$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",F117,0),NA()))"
Dashboard data,G13,#N/A,"IF(G$12<$U$4,NA(),IF(COUNTIFS('MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,G$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,G$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",G117,0),NA()))"
Dashboard data,H13,#N/A,"IF(H$12<$U$4,NA(),IF(COUNTIFS('MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,H$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,H$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",H117,0),NA()))"
Dashboard data,I13,#N/A,"IF(I$12<$U$4,NA(),IF(COUNTIFS('MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,I$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,I$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",I117,0),NA()))"
Dashboard data,J13,#N/A,"IF(J$12<$U$4,NA(),IF(COUNTIFS('MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,J$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,J$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",J117,0),NA()))"
Dashboard data,K13,#N/A,"IF(K$12<$U$4,NA(),IF(COUNTIFS('MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,K$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,K$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",K117,0),NA()))"
Dashboard data,L13,#N/A,"IF(L$12<$U$4,NA(),IF(COUNTIFS('MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,L$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,L$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",L117,0),NA()))"
Dashboard data,M13,#N/A,"IF(M$12<$U$4,NA(),IF(COUNTIFS('MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,M$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,Dashboard!$B$5,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,M$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",M117,0),NA()))"
Dashboard data,N14,#N/A,"IF(N$12>MAX('Official actuals'!$B$5:$B$500),NA(),IFERROR(IF(COUNTIFS('Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,N$12)>0,IF(Dashboard!$U$5=""Include"",SUMIFS('Official actuals'!$E$5:$E$500,'Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,N$12),SUMIFS('Official actuals'!$C$5:$C$500,'Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,N$12)),IF(Dashboard!$E$5=""Total RUC+PED revenue"",N89,IF(Dashboard!$E$5=""Total RUC forecast incl EV/PHEV"",N80,IF(Dashboard!$E$5=""Total NLTF revenue"",N81,IF(Dashboard!$E$5=""Net MVR revenue"",N82,IF(Dashboard!$E$5=""TUC net revenue"",N83,IF(Dashboard!$E$5=""Light BEV RUC net revenue"",N84,IF(Dashboard!$E$5=""PHEV RUC net revenue"",N85,IF(Dashboard!$E$5=""Heavy BEV RUC net revenue"",N86,IF(Dashboard!$E$5=""Light conventional RUC revenue"",N87,IF(Dashboard!$E$5=""Heavy conventional RUC revenue"",N88,NA()))))))))))),NA()))"
Dashboard data,O14,#N/A,"IF(O$12>MAX('Official actuals'!$B$5:$B$500),NA(),IFERROR(IF(COUNTIFS('Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,O$12)>0,IF(Dashboard!$U$5=""Include"",SUMIFS('Official actuals'!$E$5:$E$500,'Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,O$12),SUMIFS('Official actuals'!$C$5:$C$500,'Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,O$12)),IF(Dashboard!$E$5=""Total RUC+PED revenue"",O89,IF(Dashboard!$E$5=""Total RUC forecast incl EV/PHEV"",O80,IF(Dashboard!$E$5=""Total NLTF revenue"",O81,IF(Dashboard!$E$5=""Net MVR revenue"",O82,IF(Dashboard!$E$5=""TUC net revenue"",O83,IF(Dashboard!$E$5=""Light BEV RUC net revenue"",O84,IF(Dashboard!$E$5=""PHEV RUC net revenue"",O85,IF(Dashboard!$E$5=""Heavy BEV RUC net revenue"",O86,IF(Dashboard!$E$5=""Light conventional RUC revenue"",O87,IF(Dashboard!$E$5=""Heavy conventional RUC revenue"",O88,NA()))))))))))),NA()))"
Dashboard data,P14,#N/A,"IF(P$12>MAX('Official actuals'!$B$5:$B$500),NA(),IFERROR(IF(COUNTIFS('Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,P$12)>0,IF(Dashboard!$U$5=""Include"",SUMIFS('Official actuals'!$E$5:$E$500,'Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,P$12),SUMIFS('Official actuals'!$C$5:$C$500,'Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,P$12)),IF(Dashboard!$E$5=""Total RUC+PED revenue"",P89,IF(Dashboard!$E$5=""Total RUC forecast incl EV/PHEV"",P80,IF(Dashboard!$E$5=""Total NLTF revenue"",P81,IF(Dashboard!$E$5=""Net MVR revenue"",P82,IF(Dashboard!$E$5=""TUC net revenue"",P83,IF(Dashboard!$E$5=""Light BEV RUC net revenue"",P84,IF(Dashboard!$E$5=""PHEV RUC net revenue"",P85,IF(Dashboard!$E$5=""Heavy BEV RUC net revenue"",P86,IF(Dashboard!$E$5=""Light conventional RUC revenue"",P87,IF(Dashboard!$E$5=""Heavy conventional RUC revenue"",P88,NA()))))))))))),NA()))"
Dashboard data,Q14,#N/A,"IF(Q$12>MAX('Official actuals'!$B$5:$B$500),NA(),IFERROR(IF(COUNTIFS('Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,Q$12)>0,IF(Dashboard!$U$5=""Include"",SUMIFS('Official actuals'!$E$5:$E$500,'Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,Q$12),SUMIFS('Official actuals'!$C$5:$C$500,'Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,Q$12)),IF(Dashboard!$E$5=""Total RUC+PED revenue"",Q89,IF(Dashboard!$E$5=""Total RUC forecast incl EV/PHEV"",Q80,IF(Dashboard!$E$5=""Total NLTF revenue"",Q81,IF(Dashboard!$E$5=""Net MVR revenue"",Q82,IF(Dashboard!$E$5=""TUC net revenue"",Q83,IF(Dashboard!$E$5=""Light BEV RUC net revenue"",Q84,IF(Dashboard!$E$5=""PHEV RUC net revenue"",Q85,IF(Dashboard!$E$5=""Heavy BEV RUC net revenue"",Q86,IF(Dashboard!$E$5=""Light conventional RUC revenue"",Q87,IF(Dashboard!$E$5=""Heavy conventional RUC revenue"",Q88,NA()))))))))))),NA()))"
Dashboard data,R14,#N/A,"IF(R$12>MAX('Official actuals'!$B$5:$B$500),NA(),IFERROR(IF(COUNTIFS('Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,R$12)>0,IF(Dashboard!$U$5=""Include"",SUMIFS('Official actuals'!$E$5:$E$500,'Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,R$12),SUMIFS('Official actuals'!$C$5:$C$500,'Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,R$12)),IF(Dashboard!$E$5=""Total RUC+PED revenue"",R89,IF(Dashboard!$E$5=""Total RUC forecast incl EV/PHEV"",R80,IF(Dashboard!$E$5=""Total NLTF revenue"",R81,IF(Dashboard!$E$5=""Net MVR revenue"",R82,IF(Dashboard!$E$5=""TUC net revenue"",R83,IF(Dashboard!$E$5=""Light BEV RUC net revenue"",R84,IF(Dashboard!$E$5=""PHEV RUC net revenue"",R85,IF(Dashboard!$E$5=""Heavy BEV RUC net revenue"",R86,IF(Dashboard!$E$5=""Light conventional RUC revenue"",R87,IF(Dashboard!$E$5=""Heavy conventional RUC revenue"",R88,NA()))))))))))),NA()))"
Dashboard data,S14,#N/A,"IF(S$12>MAX('Official actuals'!$B$5:$B$500),NA(),IFERROR(IF(COUNTIFS('Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,S$12)>0,IF(Dashboard!$U$5=""Include"",SUMIFS('Official actuals'!$E$5:$E$500,'Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,S$12),SUMIFS('Official actuals'!$C$5:$C$500,'Official actuals'!$A$5:$A$500,Dashboard!$E$5,'Official actuals'!$B$5:$B$500,S$12)),IF(Dashboard!$E$5=""Total RUC+PED revenue"",S89,IF(Dashboard!$E$5=""Total RUC forecast incl EV/PHEV"",S80,IF(Dashboard!$E$5=""Total NLTF revenue"",S81,IF(Dashboard!$E$5=""Net MVR revenue"",S82,IF(Dashboard!$E$5=""TUC net revenue"",S83,IF(Dashboard!$E$5=""Light BEV RUC net revenue"",S84,IF(Dashboard!$E$5=""PHEV RUC net revenue"",S85,IF(Dashboard!$E$5=""Heavy BEV RUC net revenue"",S86,IF(Dashboard!$E$5=""Light conventional RUC revenue"",S87,IF(Dashboard!$E$5=""Heavy conventional RUC revenue"",S88,NA()))))))))))),NA()))"
Dashboard data,B16,#N/A,"IF(B$12<$U$4,NA(),IFERROR(B18/(1+INDEX('Error bands'!$H$5:$H$93,MATCH(Dashboard!$E$5&(B$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,C16,#N/A,"IF(C$12<$U$4,NA(),IFERROR(C18/(1+INDEX('Error bands'!$H$5:$H$93,MATCH(Dashboard!$E$5&(C$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,D16,#N/A,"IF(D$12<$U$4,NA(),IFERROR(D18/(1+INDEX('Error bands'!$H$5:$H$93,MATCH(Dashboard!$E$5&(D$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,E16,#N/A,"IF(E$12<$U$4,NA(),IFERROR(E18/(1+INDEX('Error bands'!$H$5:$H$93,MATCH(Dashboard!$E$5&(E$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,F16,#N/A,"IF(F$12<$U$4,NA(),IFERROR(F18/(1+INDEX('Error bands'!$H$5:$H$93,MATCH(Dashboard!$E$5&(F$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,G16,#N/A,"IF(G$12<$U$4,NA(),IFERROR(G18/(1+INDEX('Error bands'!$H$5:$H$93,MATCH(Dashboard!$E$5&(G$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,H16,#N/A,"IF(H$12<$U$4,NA(),IFERROR(H18/(1+INDEX('Error bands'!$H$5:$H$93,MATCH(Dashboard!$E$5&(H$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,I16,#N/A,"IF(I$12<$U$4,NA(),IFERROR(I18/(1+INDEX('Error bands'!$H$5:$H$93,MATCH(Dashboard!$E$5&(I$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,J16,#N/A,"IF(J$12<$U$4,NA(),IFERROR(J18/(1+INDEX('Error bands'!$H$5:$H$93,MATCH(Dashboard!$E$5&(J$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,K16,#N/A,"IF(K$12<$U$4,NA(),IFERROR(K18/(1+INDEX('Error bands'!$H$5:$H$93,MATCH(Dashboard!$E$5&(K$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,L16,#N/A,"IF(L$12<$U$4,NA(),IFERROR(L18/(1+INDEX('Error bands'!$H$5:$H$93,MATCH(Dashboard!$E$5&(L$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,M16,#N/A,"IF(M$12<$U$4,NA(),IFERROR(M18/(1+INDEX('Error bands'!$H$5:$H$93,MATCH(Dashboard!$E$5&(M$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,B17,#N/A,"IF(B$12<$U$4,NA(),IFERROR(B18/(1+INDEX('Error bands'!$D$5:$D$93,MATCH(Dashboard!$E$5&(B$12-$N$6),'Error bands'!$L$5:$L$93,0)))-B16,NA()))"
Dashboard data,C17,#N/A,"IF(C$12<$U$4,NA(),IFERROR(C18/(1+INDEX('Error bands'!$D$5:$D$93,MATCH(Dashboard!$E$5&(C$12-$N$6),'Error bands'!$L$5:$L$93,0)))-C16,NA()))"
Dashboard data,D17,#N/A,"IF(D$12<$U$4,NA(),IFERROR(D18/(1+INDEX('Error bands'!$D$5:$D$93,MATCH(Dashboard!$E$5&(D$12-$N$6),'Error bands'!$L$5:$L$93,0)))-D16,NA()))"
Dashboard data,E17,#N/A,"IF(E$12<$U$4,NA(),IFERROR(E18/(1+INDEX('Error bands'!$D$5:$D$93,MATCH(Dashboard!$E$5&(E$12-$N$6),'Error bands'!$L$5:$L$93,0)))-E16,NA()))"
Dashboard data,F17,#N/A,"IF(F$12<$U$4,NA(),IFERROR(F18/(1+INDEX('Error bands'!$D$5:$D$93,MATCH(Dashboard!$E$5&(F$12-$N$6),'Error bands'!$L$5:$L$93,0)))-F16,NA()))"
Dashboard data,G17,#N/A,"IF(G$12<$U$4,NA(),IFERROR(G18/(1+INDEX('Error bands'!$D$5:$D$93,MATCH(Dashboard!$E$5&(G$12-$N$6),'Error bands'!$L$5:$L$93,0)))-G16,NA()))"
Dashboard data,H17,#N/A,"IF(H$12<$U$4,NA(),IFERROR(H18/(1+INDEX('Error bands'!$D$5:$D$93,MATCH(Dashboard!$E$5&(H$12-$N$6),'Error bands'!$L$5:$L$93,0)))-H16,NA()))"
Dashboard data,I17,#N/A,"IF(I$12<$U$4,NA(),IFERROR(I18/(1+INDEX('Error bands'!$D$5:$D$93,MATCH(Dashboard!$E$5&(I$12-$N$6),'Error bands'!$L$5:$L$93,0)))-I16,NA()))"
Dashboard data,J17,#N/A,"IF(J$12<$U$4,NA(),IFERROR(J18/(1+INDEX('Error bands'!$D$5:$D$93,MATCH(Dashboard!$E$5&(J$12-$N$6),'Error bands'!$L$5:$L$93,0)))-J16,NA()))"
Dashboard data,K17,#N/A,"IF(K$12<$U$4,NA(),IFERROR(K18/(1+INDEX('Error bands'!$D$5:$D$93,MATCH(Dashboard!$E$5&(K$12-$N$6),'Error bands'!$L$5:$L$93,0)))-K16,NA()))"
Dashboard data,L17,#N/A,"IF(L$12<$U$4,NA(),IFERROR(L18/(1+INDEX('Error bands'!$D$5:$D$93,MATCH(Dashboard!$E$5&(L$12-$N$6),'Error bands'!$L$5:$L$93,0)))-L16,NA()))"
Dashboard data,M17,#N/A,"IF(M$12<$U$4,NA(),IFERROR(M18/(1+INDEX('Error bands'!$D$5:$D$93,MATCH(Dashboard!$E$5&(M$12-$N$6),'Error bands'!$L$5:$L$93,0)))-M16,NA()))"
Dashboard data,B19,#N/A,"IF(B$12<$U$4,NA(),IFERROR(B18/(1+INDEX('Error bands'!$G$5:$G$93,MATCH(Dashboard!$E$5&(B$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,C19,#N/A,"IF(C$12<$U$4,NA(),IFERROR(C18/(1+INDEX('Error bands'!$G$5:$G$93,MATCH(Dashboard!$E$5&(C$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,D19,#N/A,"IF(D$12<$U$4,NA(),IFERROR(D18/(1+INDEX('Error bands'!$G$5:$G$93,MATCH(Dashboard!$E$5&(D$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,E19,#N/A,"IF(E$12<$U$4,NA(),IFERROR(E18/(1+INDEX('Error bands'!$G$5:$G$93,MATCH(Dashboard!$E$5&(E$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,F19,#N/A,"IF(F$12<$U$4,NA(),IFERROR(F18/(1+INDEX('Error bands'!$G$5:$G$93,MATCH(Dashboard!$E$5&(F$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,G19,#N/A,"IF(G$12<$U$4,NA(),IFERROR(G18/(1+INDEX('Error bands'!$G$5:$G$93,MATCH(Dashboard!$E$5&(G$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,H19,#N/A,"IF(H$12<$U$4,NA(),IFERROR(H18/(1+INDEX('Error bands'!$G$5:$G$93,MATCH(Dashboard!$E$5&(H$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,I19,#N/A,"IF(I$12<$U$4,NA(),IFERROR(I18/(1+INDEX('Error bands'!$G$5:$G$93,MATCH(Dashboard!$E$5&(I$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,J19,#N/A,"IF(J$12<$U$4,NA(),IFERROR(J18/(1+INDEX('Error bands'!$G$5:$G$93,MATCH(Dashboard!$E$5&(J$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,K19,#N/A,"IF(K$12<$U$4,NA(),IFERROR(K18/(1+INDEX('Error bands'!$G$5:$G$93,MATCH(Dashboard!$E$5&(K$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,L19,#N/A,"IF(L$12<$U$4,NA(),IFERROR(L18/(1+INDEX('Error bands'!$G$5:$G$93,MATCH(Dashboard!$E$5&(L$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,M19,#N/A,"IF(M$12<$U$4,NA(),IFERROR(M18/(1+INDEX('Error bands'!$G$5:$G$93,MATCH(Dashboard!$E$5&(M$12-$N$6),'Error bands'!$L$5:$L$93,0))),NA()))"
Dashboard data,B20,#N/A,"IF(B$12<$U$4,NA(),IFERROR(B18/(1+INDEX('Error bands'!$E$5:$E$93,MATCH(Dashboard!$E$5&(B$12-$N$6),'Error bands'!$L$5:$L$93,0)))-B19,NA()))"
Dashboard data,C20,#N/A,"IF(C$12<$U$4,NA(),IFERROR(C18/(1+INDEX('Error bands'!$E$5:$E$93,MATCH(Dashboard!$E$5&(C$12-$N$6),'Error bands'!$L$5:$L$93,0)))-C19,NA()))"
Dashboard data,D20,#N/A,"IF(D$12<$U$4,NA(),IFERROR(D18/(1+INDEX('Error bands'!$E$5:$E$93,MATCH(Dashboard!$E$5&(D$12-$N$6),'Error bands'!$L$5:$L$93,0)))-D19,NA()))"
Dashboard data,E20,#N/A,"IF(E$12<$U$4,NA(),IFERROR(E18/(1+INDEX('Error bands'!$E$5:$E$93,MATCH(Dashboard!$E$5&(E$12-$N$6),'Error bands'!$L$5:$L$93,0)))-E19,NA()))"
