scenario_name,scenario_role,series_id,stream,annual_period,value_status,forecast_quarter,committed_forecast_value,scenario_input_status,mismatch_status,mismatch_reason,workbook_sha256,manifest_workbook_sha256,required_feature_count,missing_required_feature_count,replay_forecast_value,promoted_forecast_value,replay_abs_delta,replay_tolerance,replay_status,replay_reason,source_artifact
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2028,current_finalist_forecast,2027Q3,13372.423680284688,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3169316022.0669727,3169316022.0669727,0.0,0.0031693160220669725,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2028,current_finalist_forecast,2027Q4,13372.423680284688,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3389166782.9990306,3389166782.9990306,0.0,0.0033891667829990305,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2028,current_finalist_forecast,2028Q1,13372.423680284688,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3394003072.696928,3394003072.696928,0.0,0.003394003072696928,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2028,current_finalist_forecast,2028Q2,13372.423680284688,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3419937802.5217576,3419937802.5217576,0.0,0.0034199378025217574,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2029,current_finalist_forecast,2028Q3,13833.483861200531,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3282577017.994457,3282577017.994457,0.0,0.0032825770179944567,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2029,current_finalist_forecast,2028Q4,13833.483861200531,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3506911512.904078,3506911512.904078,0.0,0.003506911512904078,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2029,current_finalist_forecast,2029Q1,13833.483861200531,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3509702078.6991105,3509702078.6991105,0.0,0.0035097020786991106,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2029,current_finalist_forecast,2029Q2,13833.483861200531,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3534293251.602885,3534293251.602885,0.0,0.0035342932516028848,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2030,current_finalist_forecast,2029Q3,14129.750867690173,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3390204148.1028075,3390204148.1028075,0.0,0.0033902041481028073,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2030,current_finalist_forecast,2029Q4,14129.750867690173,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3572810734.6569395,3572810734.6569395,0.0,0.0035728107346569395,pass,,scenario_inputs/scenario_input_long.parquet
