metric_type,time_grain,row_type,scenario_name,scenario_role,stream,stream_label,period,target_period,june_year,horizon,horizon_scope,value,value_unit,forecast_available,bridge_status,bridge_method,rate_value,rate_unit,gap_code,gap_reason,source,quarter_count,aggregation_method,canonical_stream_key,canonical_period_key,canonical_scenario_key,canonical_join_key
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2032Q3,2032Q3,2033,27,H13+,3607377504.7973056,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2032Q3,current_basecase,LIGHT_RUC|2032Q3|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2032Q3,2032Q3,2033,27,H13+,3739120101.9614143,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2032Q3,current_comparison_1,LIGHT_RUC|2032Q3|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2032Q4,2032Q4,2033,28,H13+,3844390452.8249617,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2032Q4,current_basecase,LIGHT_RUC|2032Q4|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2032Q4,2032Q4,2033,28,H13+,3990099562.9241276,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2032Q4,current_comparison_1,LIGHT_RUC|2032Q4|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2033Q1,2033Q1,2033,29,H13+,3840467975.554609,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2033Q1,current_basecase,LIGHT_RUC|2033Q1|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2033Q1,2033Q1,2033,29,H13+,3991340792.118285,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2033Q1,current_comparison_1,LIGHT_RUC|2033Q1|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2033Q2,2033Q2,2033,30,H13+,3860324112.825086,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2033Q2,current_basecase,LIGHT_RUC|2033Q2|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2033Q2,2033Q2,2033,30,H13+,4017323936.0264006,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2033Q2,current_comparison_1,LIGHT_RUC|2033Q2|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2033Q3,2033Q3,2034,31,H13+,3696156576.7097754,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2033Q3,current_basecase,LIGHT_RUC|2033Q3|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2033Q3,2033Q3,2034,31,H13+,3851606079.218396,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2033Q3,current_comparison_1,LIGHT_RUC|2033Q3|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2033Q4,2033Q4,2034,32,H13+,3939002879.671238,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2033Q4,current_basecase,LIGHT_RUC|2033Q4|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2033Q4,2033Q4,2034,32,H13+,4110136274.2941833,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2033Q4,current_comparison_1,LIGHT_RUC|2033Q4|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2034Q1,2034Q1,2034,33,H13+,3934984235.057535,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2034Q1,current_basecase,LIGHT_RUC|2034Q1|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2034Q1,2034Q1,2034,33,H13+,4111415227.466347,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2034Q1,current_comparison_1,LIGHT_RUC|2034Q1|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2034Q2,2034Q2,2034,34,H13+,3955329412.958626,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2034Q2,current_basecase,LIGHT_RUC|2034Q2|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2034Q2,2034Q2,2034,34,H13+,4138180427.406633,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2034Q2,current_comparison_1,LIGHT_RUC|2034Q2|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2034Q3,2034Q3,2035,35,H13+,3787121951.470692,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2034Q3,current_basecase,LIGHT_RUC|2034Q3|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2034Q3,2034Q3,2035,35,H13+,3967477513.0820603,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2034Q3,current_comparison_1,LIGHT_RUC|2034Q3|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2034Q4,2034Q4,2035,36,H13+,4035945273.5182657,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2034Q4,current_basecase,LIGHT_RUC|2034Q4|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2034Q4,2034Q4,2035,36,H13+,4233785707.0013633,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2034Q4,current_comparison_1,LIGHT_RUC|2034Q4|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2035Q1,2035Q1,2035,37,H13+,4031828103.31927,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2035Q1,current_basecase,LIGHT_RUC|2035Q1|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2035Q1,2035Q1,2035,37,H13+,4235103532.093301,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2035Q1,current_comparison_1,LIGHT_RUC|2035Q1|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2035Q2,2035Q2,2035,38,H13+,4052674375.30721,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2035Q2,current_basecase,LIGHT_RUC|2035Q2|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2035Q2,2035Q2,2035,38,H13+,4262674338.19573,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2035Q2,current_comparison_1,LIGHT_RUC|2035Q2|current_comparison_1
