series_id,series_label,trace_name,trace_type,trace_role,trace_source,scenario_name,fed_path,period,june_year,value,value_unit,row_type,data_scope,source_file,source_cell,source_status,formula,model_id,replacement_only,value_status,actual_quarters,forecast_quarters,quarters_present,anchor_flag,nowcast_flag,plot_allowed
gross_ped_revenue,PED revenue,BEFU26 official,BEFU26 official,official_external_comparator,befu26_official,befu26_official,BEFU26,FY2027,2027,2161.50124126958,$m nominal ex GST,official_comparator,befu26_official_forecast,annual_spine.csv,AB40,ST_FORECAST,,,False,official_forecast,,,,False,False,True
gross_ped_revenue,PED revenue,Current finalist Base case,current finalist base,in_house_current_finalist,current_finalist_forecast,current_basecase,Current planned path,FY2027,2027,2271.1971624757975,$m nominal ex GST,future_forecast,current_forecast,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q2; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2); VFM 202405 Base uptake shares; BEFU26 rate cells AB5; AB7; AB9,source_backed,raw PED/light-petrol VKT * BEFU26 litres intensity / 100 * BEFU26 PED rate,PED__VNEXT_SOLVED_CONVEX_TOP2,True,current_finalist_forecast,,2026Q3; 2026Q4; 2027Q1; 2027Q2,2026Q3; 2026Q4; 2027Q1; 2027Q2,False,False,True
gross_ped_revenue,PED revenue,Current finalist High population/comparison,current finalist comparison,in_house_current_finalist,current_finalist_forecast,current_comparison_1,Current planned path,FY2027,2027,2285.99497956726,$m nominal ex GST,future_forecast,current_forecast,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q2; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2); VFM 202405 Base uptake shares; BEFU26 rate cells AB5; AB7; AB9,source_backed,raw PED/light-petrol VKT * BEFU26 litres intensity / 100 * BEFU26 PED rate,PED__VNEXT_SOLVED_CONVEX_TOP2,True,current_finalist_forecast,,2026Q3; 2026Q4; 2027Q1; 2027Q2,2026Q3; 2026Q4; 2027Q1; 2027Q2,False,False,True
gross_ped_revenue,PED revenue,MBU26 official,MBU26 official,official_external_comparator,mbu26_official,mbu26_official,MBU26,FY2027,2027,2200.87789552971,$m nominal ex GST,official_comparator,mbu26_official_forecast,mbu26_annual_spine.csv,AC45,ST_FORECAST,,,False,official_forecast,,,,False,False,True
heavy_ruc_net_km,Heavy RUC net km,Actual,Actual,source_actual,actual_benchmark,actual,,FY2024,2024,3903.861766,million km,historical_actual,befu26_complete_actual_line,annual_spine.csv,Y6,ACTUAL,,,False,actual,2023Q3; 2023Q4; 2024Q1; 2024Q2,,2023Q3; 2023Q4; 2024Q1; 2024Q2,False,False,True
heavy_ruc_net_km,Heavy RUC net km,Actual,Actual,source_actual,actual_benchmark,actual,,FY2025,2025,3981.873439,million km,historical_actual,befu26_complete_actual_line,annual_spine.csv,Z6,ACTUAL,,,False,actual,2024Q3; 2024Q4; 2025Q1; 2025Q2,,2024Q3; 2024Q4; 2025Q1; 2025Q2,True,False,True
heavy_ruc_net_km,Heavy RUC net km,Current finalist Base case,current finalist base,in_house_current_finalist,current_finalist_forecast,current_basecase,Current planned path,FY2025,2025,3981.873439,million km,future_forecast,actual_anchor,annual_spine.csv,Z6,ACTUAL,,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,False,Actual anchor,2024Q3; 2024Q4; 2025Q1; 2025Q2,,2024Q3; 2024Q4; 2025Q1; 2025Q2,True,False,True
heavy_ruc_net_km,Heavy RUC net km,Current finalist High population/comparison,current finalist comparison,in_house_current_finalist,current_finalist_forecast,current_comparison_1,Current planned path,FY2025,2025,3981.873439,million km,future_forecast,actual_anchor,annual_spine.csv,Z6,ACTUAL,,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,False,Actual anchor,2024Q3; 2024Q4; 2025Q1; 2025Q2,,2024Q3; 2024Q4; 2025Q1; 2025Q2,True,False,True
heavy_ruc_net_km,Heavy RUC net km,BEFU26 official,BEFU26 official,official_external_comparator,befu26_official,befu26_official,BEFU26,FY2026,2026,4099.61725114751,million km,official_comparator,befu26_official_forecast,annual_spine.csv,AA6,ST_FORECAST,,,False,official_forecast,,,,False,False,True
heavy_ruc_net_km,Heavy RUC net km,Current finalist Base case,current finalist base,in_house_current_finalist,current_finalist_forecast,current_basecase,Current planned path,FY2026,2026,4064.8582976485013,million km,future_forecast,current_nowcast,forecast_scenario_comparison.parquet,data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2,source_backed,sum quarterly current finalist Heavy RUC net km,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,False,Current-finalist FY nowcast (3 actual + 1 forecast),2025Q3; 2025Q4; 2026Q1,2026Q2,2025Q3; 2025Q4; 2026Q1; 2026Q2,False,True,True
heavy_ruc_net_km,Heavy RUC net km,Current finalist High population/comparison,current finalist comparison,in_house_current_finalist,current_finalist_forecast,current_comparison_1,Current planned path,FY2026,2026,4066.201179575919,million km,future_forecast,current_nowcast,forecast_scenario_comparison.parquet,data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q2,source_backed,sum quarterly current finalist Heavy RUC net km,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,False,Current-finalist FY nowcast (3 actual + 1 forecast),2025Q3; 2025Q4; 2026Q1,2026Q2,2025Q3; 2025Q4; 2026Q1; 2026Q2,False,True,True
heavy_ruc_net_km,Heavy RUC net km,MBU26 official,MBU26 official,official_external_comparator,mbu26_official,mbu26_official,MBU26,FY2026,2026,4106.65708028096,million km,official_comparator,mbu26_official_forecast,mbu26_annual_spine.csv,AB11,ST_FORECAST,,,False,official_forecast,,,,False,False,True
heavy_ruc_net_km,Heavy RUC net km,BEFU26 official,BEFU26 official,official_external_comparator,befu26_official,befu26_official,BEFU26,FY2027,2027,4234.60357706342,million km,official_comparator,befu26_official_forecast,annual_spine.csv,AB6,ST_FORECAST,,,False,official_forecast,,,,False,False,True
heavy_ruc_net_km,Heavy RUC net km,Current finalist Base case,current finalist base,in_house_current_finalist,current_finalist_forecast,current_basecase,Current planned path,FY2027,2027,4102.648453941279,million km,future_forecast,current_forecast,forecast_scenario_comparison.parquet,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q2,source_backed,sum quarterly current finalist Heavy RUC net km,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,False,current_finalist_forecast,,2026Q3; 2026Q4; 2027Q1; 2027Q2,2026Q3; 2026Q4; 2027Q1; 2027Q2,False,False,True
