FY,period,source_path,scenario_name,scenario_role,fed_path,lambda_mode,ped_vkt_per_capita,population_million,adjusted_light_petrol_vkt_million_km,base_litres_per_100km,ped_volume_million_litres,ped_rate_nzd_per_litre,gross_ped_revenue_million_nzd,total_nltf_net_revenue_million_nzd,vktpc_unit,population_unit,light_petrol_vkt_unit,litres_intensity_unit,ped_volume_unit,ped_rate_unit,gross_ped_revenue_unit,source_file,vktpc_source_cell,population_source_cell,migration_source_cells,formula,availability_status,notes
2040,FY2040,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,5920.470864209891,4.241524339664254,25111.821272819318,7.886398872548973,1980.418389736136,1.3399128408042527,2653.58803057233,9545.45616909087,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2039Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2039Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2040Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2040Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2039Q3; 2039Q4; 2040Q1; 2040Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2039Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2039Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2040Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2040Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2039Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2039Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2040Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2040Q2; AP16; AP10; AP12; AP14; scenario_inputs/scenario_input_wide.parquet:PED:population (2039Q3; 2039Q4; 2040Q1; 2040Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2041,FY2041,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,5894.450599080435,4.015594668797587,23669.724401158135,7.799322541185269,1846.0781506559565,1.3798528544506345,2547.31620572157,9983.61929690768,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2040Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2040Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2041Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2041Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2040Q3; 2040Q4; 2041Q1; 2041Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2040Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2040Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2041Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2041Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2040Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2040Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2041Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2041Q2; AQ16; AQ10; AQ12; AQ14; scenario_inputs/scenario_input_wide.parquet:PED:population (2040Q3; 2040Q4; 2041Q1; 2041Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2042,FY2042,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,5849.92527450901,3.7573322143543155,21980.112685478216,7.712254584034743,1695.1622481617958,1.4198075992979604,2406.8042419831327,10433.974177935048,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2041Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2041Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2042Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2042Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2041Q3; 2041Q4; 2042Q1; 2042Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2041Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2041Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2042Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2042Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2041Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2041Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2042Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2042Q2; AR16; AR10; AR12; AR14; scenario_inputs/scenario_input_wide.parquet:PED:population (2041Q3; 2041Q4; 2042Q1; 2042Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2043,FY2043,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,5828.278356441811,3.4938248138112615,20362.983543535516,7.625135432509178,1552.7050732941395,1.4598249947423272,2266.677675458002,10924.661087241417,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2042Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2042Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2043Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2043Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2042Q3; 2042Q4; 2043Q1; 2043Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2042Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2042Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2043Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2043Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2042Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2042Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2043Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2043Q2; AS16; AS10; AS12; AS14; scenario_inputs/scenario_input_wide.parquet:PED:population (2042Q3; 2042Q4; 2043Q1; 2043Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2044,FY2044,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,5818.204020668767,3.242312998218983,18864.438522504293,7.538000256491559,1422.001424212066,1.4998160102952343,2132.740502695882,11446.087159805644,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2043Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2043Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2044Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2044Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2043Q3; 2043Q4; 2044Q1; 2044Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2043Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2043Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2044Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2044Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2043Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2043Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2044Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2044Q2; AT16; AT10; AT12; AT14; scenario_inputs/scenario_input_wide.parquet:PED:population (2043Q3; 2043Q4; 2044Q1; 2044Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2045,FY2045,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,5791.247330374383,2.998712739156866,17366.287145201855,7.450855176983784,1293.936904808142,1.5397850358388132,1992.3846833431678,11974.940495128509,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2044Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2044Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2045Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2045Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2044Q3; 2044Q4; 2045Q1; 2045Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2044Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2044Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2045Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2045Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2044Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2044Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2045Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2045Q2; AU16; AU10; AU12; AU14; scenario_inputs/scenario_input_wide.parquet:PED:population (2044Q3; 2044Q4; 2045Q1; 2045Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2046,FY2046,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,5777.644359149913,2.7668448444911826,15985.8455084175,7.3637059302644055,1177.1506537062455,1.579745035410907,1859.5979011231452,12537.992780259265,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2045Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2045Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2046Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2046Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2045Q3; 2045Q4; 2046Q1; 2046Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2045Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2045Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2046Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2046Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2045Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2045Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2046Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2046Q2; AV16; AV10; AV12; AV14; scenario_inputs/scenario_input_wide.parquet:PED:population (2045Q3; 2045Q4; 2046Q1; 2046Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2047,FY2047,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,5758.332773873047,2.5536155967416505,14704.568382590824,7.276550267891755,1069.9853100357388,1.619719190351213,1733.0757400587784,13116.0107275657,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2046Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2046Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2047Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2047Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2046Q3; 2046Q4; 2047Q1; 2047Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2046Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2046Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2047Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2047Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2046Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2046Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2047Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2047Q2; AW16; AW10; AW12; AW14; scenario_inputs/scenario_input_wide.parquet:PED:population (2046Q3; 2046Q4; 2047Q1; 2047Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2048,FY2048,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,5736.206182362954,2.3634155211778114,13557.038724072725,7.189391807545562,974.6686313742638,1.6597352391364104,1617.6918739727216,13710.213704118563,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2047Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2047Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2048Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2048Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2047Q3; 2047Q4; 2048Q1; 2048Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2047Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2047Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2048Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2048Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2047Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2047Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2048Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2048Q2; AX16; AX10; AX12; AX14; scenario_inputs/scenario_input_wide.parquet:PED:population (2047Q3; 2047Q4; 2048Q1; 2048Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2049,FY2049,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,5715.203587590004,2.2118797272523807,12641.342952510404,7.102242223984312,897.8187968518591,1.6997375991319723,1526.056366216535,14320.146184588382,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2048Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2048Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2049Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2049Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2048Q3; 2048Q4; 2049Q1; 2049Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2048Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2048Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2049Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2049Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2048Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2048Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2049Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2049Q2; AY16; AY10; AY12; AY14; scenario_inputs/scenario_input_wide.parquet:PED:population (2048Q3; 2048Q4; 2049Q1; 2049Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2050,FY2050,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,5694.341415389591,2.103598779804545,11978.609653204028,7.015085168223659,840.3096691413233,1.7397737172505494,1461.9486767235794,14941.273325981852,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2049Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2049Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2050Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2050Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2049Q3; 2049Q4; 2050Q1; 2050Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2049Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2049Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2050Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2050Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2049Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2049Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2050Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2050Q2; AZ16; AZ10; AZ12; AZ14; scenario_inputs/scenario_input_wide.parquet:PED:population (2049Q3; 2049Q4; 2050Q1; 2050Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
