scenario_name,fy,series_id,transition_schedule_id,long_run_shape_vintage_id,anchor_fy,current_fy2030_anchor_level,current_growth_index,structural_growth_index,transition_weight_w,model_weight,hybrid_growth_index,hybrid_level,recomputed_hybrid_index,official_level_same_fy,official_level_anchor_fy,hybrid_over_official_ratio,anchor_over_official_anchor_ratio,official_level_substituted,construction
current_basecase,2038,light_petrol_vkt,balanced_structural,BEFU26,2030,33786.86651454969,1.0352326352841619,0.8289463400131609,0.5499259259259259,0.45007407407407407,0.9161440357848355,30953.636245163074,0.9161440357848356,27264.8332050923,32890.9507033464,1.1352952725704484,1.027238975829061,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2038,light_ruc_total_pool,balanced_structural,BEFU26,2030,19291.158087465952,1.5019838671261125,1.4526781122593968,0.5499259259259259,0.45007407407407407,1.474665807255807,28448.011213952366,1.474665807255807,27894.52902709765,19202.14037211065,1.0198419620677963,1.004635822550521,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2038,heavy_ruc_net_km,balanced_structural,BEFU26,2030,4205.391223564057,1.0537772258170428,0.9680088180182673,0.5499259259259259,0.45007407407407407,1.0057112709647384,4229.409352354564,1.0057112709647384,4341.17808389753,4484.64725020264,0.9742538247952687,0.9377306595014883,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2039,light_petrol_vkt,balanced_structural,BEFU26,2030,33786.86651454969,1.038849601575455,0.7864815491237538,0.6480000000000001,0.35199999999999987,0.8674265592955481,29307.625370093807,0.8674265592955481,25868.1258613209,32890.9507033464,1.1329628411123431,1.027238975829061,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2039,light_ruc_total_pool,balanced_structural,BEFU26,2030,19291.158087465952,1.6016083148547446,1.5429705058626748,0.6480000000000001,0.35199999999999987,1.563362043118122,30159.064321735455,1.563362043118122,29628.33624360166,19202.14037211065,1.0179128545649743,1.004635822550521,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2039,heavy_ruc_net_km,balanced_structural,BEFU26,2030,4205.391223564057,1.059784240562835,0.9592051078489545,0.6480000000000001,0.35199999999999987,0.9934709803189995,4177.9341414991,0.9934709803189996,4301.69654929514,4484.64725020264,0.971229396035311,0.9377306595014883,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2040,light_petrol_vkt,balanced_structural,BEFU26,2030,33786.86651454969,1.0424863876545112,0.7402826388437084,0.7407407407407408,0.2592592592592592,0.808988544218117,27333.1879552974,0.8089885442181171,24348.5997807516,32890.9507033464,1.1225774049194082,1.027238975829061,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2040,light_ruc_total_pool,balanced_structural,BEFU26,2030,19291.158087465952,1.7114542719745078,1.6429742639720404,0.7407407407407408,0.2592592592592592,1.66046071130773,32032.210079863584,1.6604607113077303,31548.6224445563,19202.14037211065,1.0153283280801608,1.004635822550521,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2040,heavy_ruc_net_km,balanced_structural,BEFU26,2030,4205.391223564057,1.065895404896386,0.9497998134050459,0.7407407407407408,0.2592592592592592,0.9786252891200574,4115.502202023327,0.9786252891200574,4259.51712142992,4484.64725020264,0.9661898484497119,0.9377306595014883,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2041,light_petrol_vkt,balanced_structural,BEFU26,2030,33786.86651454969,1.045948975270411,0.691273142710947,0.8245925925925925,0.17540740740740746,0.7433589988968832,25115.771268118286,0.7433589988968831,22736.6308594531,32890.9507033464,1.1046390920172775,1.027238975829061,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
