workbook_role,workbook,sheet,cell,formula,cached_value,cached_value_available
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AI14,=AI5/10^6,11144.406714540004,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AJ14,=AJ5/10^6,10845.970468470001,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AK14,=AK5/10^6,10524.081956969998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AL14,=AL5/10^6,10174.361684719997,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AM14,=AM5/10^6,9798.139764369997,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AN14,=AN5/10^6,9406.27317465,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AO14,=AO5/10^6,8998.794599259998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AP14,=AP5/10^6,8591.121904820002,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AQ14,=AQ5/10^6,8184.952246089999,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AR14,=AR5/10^6,7791.250054060001,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AS14,=AS5/10^6,7420.168231249995,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AT14,=AT5/10^6,7069.725539990001,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AU14,=AU5/10^6,6737.660830680005,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AV14,=AV5/10^6,6424.005182869999,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AW14,=AW5/10^6,6127.977176120001,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AX14,=AX5/10^6,5843.9653898800025,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AY14,=AY5/10^6,5577.533939259998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,B15,=B6/10^6,9891.759999969998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,C15,=C6/10^6,10418.60999998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,D15,=D6/10^6,10802.609999960005,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,E15,=E6/10^6,11095.980000070005,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,F15,=F6/10^6,11217.19999998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,G15,=G6/10^6,11402.13000003,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,H15,=H6/10^6,11690.529999999999,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,I15,=I6/10^6,11680.889999970002,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,J15,=J6/10^6,11531.429999979995,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,K15,=K6/10^6,11888.339999980008,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,L15,=L6/10^6,11822.589999970005,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,M15,=M6/10^6,11662.760000010003,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,N15,=N6/10^6,11604.390000019997,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,O15,=O6/10^6,11936.799999999992,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,P15,=P6/10^6,12328.589999980004,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,Q15,=Q6/10^6,12525.4,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,R15,=R6/10^6,13368.389999989999,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,S15,=S6/10^6,13604.94999998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,T15,=T6/10^6,13108.119999980006,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,U15,=U6/10^6,12041.26000001,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,V15,=V6/10^6,12647.430000049997,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,W15,=W6/10^6,12441.470000039999,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,X15,=X6/10^6,12834.319633080013,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,Y15,=Y6/10^6,12803.982874610005,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,Z15,=Z6/10^6,12765.38050355,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AA15,=AA6/10^6,12671.605210980006,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AB15,=AB6/10^6,12521.15266565,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AC15,=AC6/10^6,12317.642512539998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AD15,=AD6/10^6,12108.997185150001,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AE15,=AE6/10^6,11880.129604230005,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AF15,=AF6/10^6,11637.92216275,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AG15,=AG6/10^6,11359.165404790001,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AH15,=AH6/10^6,11050.2222027,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AI15,=AI6/10^6,10702.530641490004,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AJ15,=AJ6/10^6,10321.599006040002,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AK15,=AK6/10^6,9914.629117940009,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AL15,=AL6/10^6,9485.91184459999,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AM15,=AM6/10^6,9039.022027799996,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AN15,=AN6/10^6,8590.24261145,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AO15,=AO6/10^6,8132.853806589998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AP15,=AP6/10^6,7681.304319099997,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AQ15,=AQ6/10^6,7236.3275866400045,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AR15,=AR6/10^6,6809.719366020004,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AS15,=AS6/10^6,6410.492858760002,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AT15,=AT6/10^6,6035.657901399997,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AU15,=AU6/10^6,5682.149222699997,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AV15,=AV6/10^6,5349.287705619998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AW15,=AW6/10^6,5035.460449079999,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AX15,=AX6/10^6,4737.26269102,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AY15,=AY6/10^6,4459.92635622,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,B16,=B7/10^6,9891.759999970001,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,C16,=C7/10^6,10418.609999979999,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,D16,=D7/10^6,10802.609999960003,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,E16,=E7/10^6,11095.980000069992,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,F16,=F7/10^6,11217.199999980001,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,G16,=G7/10^6,11402.130000030005,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,H16,=H7/10^6,11690.529999999993,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,I16,=I7/10^6,11680.889999969999,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,J16,=J7/10^6,11531.429999979995,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,K16,=K7/10^6,11888.339999979993,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,L16,=L7/10^6,11822.589999969996,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,M16,=M7/10^6,11662.760000010003,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,N16,=N7/10^6,11604.390000020008,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,O16,=O7/10^6,11936.8,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,P16,=P7/10^6,12328.589999980002,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,Q16,=Q7/10^6,12525.399999999996,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,R16,=R7/10^6,13368.389999990004,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,S16,=S7/10^6,13604.949999980001,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,T16,=T7/10^6,13108.119999980001,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,U16,=U7/10^6,12041.260000010006,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,V16,=V7/10^6,12647.43000005,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,W16,=W7/10^6,12441.470000039997,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,X16,=X7/10^6,12843.524486669992,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,Y16,=Y7/10^6,12831.609050790004,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,Z16,=Z7/10^6,12819.560289029994,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AA16,=AA7/10^6,12767.713179139997,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AB16,=AB7/10^6,12675.741242260003,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AC16,=AC7/10^6,12541.110817709998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AD16,=AD7/10^6,12412.534087210004,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AE16,=AE7/10^6,12273.144400409994,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AF16,=AF7/10^6,12133.488929570001,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AG16,=AG7/10^6,11972.878617579998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AH16,=AH7/10^6,11798.852283940003,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AI16,=AI7/10^6,11604.791752770003,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AJ16,=AJ7/10^6,11389.9232677,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AK16,=AK7/10^6,11155.485048669996,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AL16,=AL7/10^6,10895.660046289999,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AM16,=AM7/10^6,10606.363498040002,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AN16,=AN7/10^6,10294.775983810003,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AO16,=AO7/10^6,9950.901662630005,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AP16,=AP7/10^6,9593.19908344,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AQ16,=AQ7/10^6,9226.75909147,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AR16,=AR7/10^6,8864.578378310001,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AS16,=AS7/10^6,8518.130742219997,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AT16,=AT7/10^6,8190.283834829998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AU16,=AU7/10^6,7878.6924375100025,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AV16,=AV7/10^6,7583.56076166,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AW16,=AW7/10^6,7305.356417420002,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AX16,=AX7/10^6,7034.464851839997,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AY16,=AY7/10^6,6779.097800579996,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,B21,=B14/VKT!B6*10^9,270.69534281611453,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,C21,=C14/VKT!C6*10^9,276.09324292730264,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,D21,=D14/VKT!D6*10^9,277.7287844290845,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,E21,=E14/VKT!E6*10^9,277.2035704128212,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,F21,=F14/VKT!F6*10^9,277.4893199661501,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,G21,=G14/VKT!G6*10^9,282.2003875891635,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,H21,=H14/VKT!H6*10^9,284.75894346458716,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,I21,=I14/VKT!I6*10^9,288.5254305224414,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,J21,=J14/VKT!J6*10^9,285.1012562175858,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,K21,=K14/VKT!K6*10^9,294.138249918442,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,L21,=L14/VKT!L6*10^9,295.9215320968258,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,M21,=M14/VKT!M6*10^9,291.4385602353947,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,N21,=N14/VKT!N6*10^9,285.5748315673794,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,O21,=O14/VKT!O6*10^9,286.5389186532374,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,P21,=P14/VKT!P6*10^9,285.5592299617079,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,Q21,=Q14/VKT!Q6*10^9,277.3758077364432,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,R21,=R14/VKT!R6*10^9,286.17544210125254,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,S21,=S14/VKT!S6*10^9,284.0768087092386,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,T21,=T14/VKT!T6*10^9,276.02820388683426,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,U21,=U14/VKT!U6*10^9,263.4030636145049,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,V21,=V14/VKT!V6*10^9,273.1890635323501,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,W21,=W14/VKT!W6*10^9,262.99150379288955,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,X21,=X14/VKT!X6*10^9,261.07385501313166,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,Y21,=Y14/VKT!Y6*10^9,257.4601943215961,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,Z21,=Z14/VKT!Z6*10^9,253.37896390200683,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AA21,=AA14/VKT!AA6*10^9,248.86158139459278,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AB21,=AB14/VKT!AB6*10^9,243.8831010794652,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AC21,=AC14/VKT!AC6*10^9,238.62532645137543,True
