engine,source_path,series_id,FY,value,unit,formula,value_status,forecast_segment
ar1,Current finalist Base case,fed_refunds,2042,90.5422688383918,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2043,84.3336057989786,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2044,78.1830347453577,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2045,72.2614752287827,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2046,66.6787339973973,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2047,61.4417326492604,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2048,56.625431852433,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2049,52.1359432142043,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2050,47.9565731676092,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2031,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2032,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2033,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2034,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2035,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2036,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2037,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2038,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2039,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2040,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2041,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2042,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2043,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2044,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2045,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2046,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2047,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2048,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2049,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_cng_revenue,2050,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2031,2810.904795431963,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2032,2897.3689416781303,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2033,2979.406729947532,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2034,3058.8381720322886,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2035,3136.2676447693443,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2036,3211.5589229907005,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2037,3283.7085627158276,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2038,3353.2874197588358,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2039,3420.5057668929776,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2040,3485.3486378261405,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2041,3547.253932746338,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2042,3604.2262974541586,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2043,3658.7042796897376,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2044,3710.7024449519604,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2045,3760.2453973835222,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2046,3807.377693416691,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2047,3852.1623999377525,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2048,3894.6732443547658,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2049,3934.794434983031,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_fed_revenue,2050,3972.6343692987366,$m nominal ex GST,gross_ped_revenue + BEFU26 LPG + BEFU26 CNG,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2031,43.4201183252799,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2032,43.5842216228547,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2033,43.7384421166535,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
