candidate_id,series_id,fy2030_anchor,fy2031,fy2035,fy2040,fy2045,fy2050,fy2031_seam_growth,max_annual_growth,min_annual_growth,growth_sign_changes,ratio_to_official_fy2040,ratio_to_official_fy2050,anchor_ratio_to_official
balanced_structural,total_nltf_net_revenue,6415.09982192275,6744.128670966149,8071.04571695735,9542.283723262826,10857.970340074635,12898.249470755367,0.05128974734251002,0.04860114428049722,0.02388212641200349,0,1.021982795575167,0.9955810397353794,0.9934985189563946
early_structural,total_nltf_net_revenue,6415.09982192275,6745.216464546615,7994.968584307416,9221.966628292905,10857.970340074635,12898.249470755367,0.05145931502043566,0.04846658971970208,0.025714634046847706,0,0.9876766934216732,0.9955810397353794,0.9934985189563946
gradual_structural,total_nltf_net_revenue,6415.09982192275,6743.737351212234,8104.035522362928,9859.845380001749,11208.126483215121,12898.249470755367,0.051228747550647435,0.04864935720524399,0.020596511133176287,0,1.0559937890787803,0.9955810397353794,0.9934985189563946
growth_handover_fy2035,total_nltf_net_revenue,6415.09982192275,6750.640471440696,7850.59328930364,9197.59789015305,10777.429559948258,12759.713272939967,0.05230482125489,0.04497288108353836,0.030229916444285854,0,0.985066790818579,0.9848878047987502,0.9934985189563946
growth_handover_fy2040,total_nltf_net_revenue,6415.09982192275,6745.216464546615,8024.693477606791,9489.906583814156,11046.773074271081,13015.40754736879,0.05145931502043566,0.047605004140436336,0.028877118111671818,0,1.016373180838237,1.0046241552366457,0.9934985189563946
unblended_current,total_nltf_net_revenue,6415.09982192275,6743.220732718314,8154.583621780351,10588.083439645223,13799.510271142628,17264.68793494828,0.051148215913064066,0.057444124737822566,0.04079807569929961,0,1.1339884064704533,1.3326146314625482,0.9934985189563946
balanced_structural,total_ruc_net_revenue,3195.2112632783583,3420.1765315773314,4448.0555292356075,6209.78103754763,8548.042618932392,11248.009578717756,0.07040700904019537,0.0713646834036663,0.04891937893232057,0,0.9863593164941271,0.9928792877789665,0.9725874350135552
early_structural,total_ruc_net_revenue,3195.2112632783583,3421.218687078551,4436.88203319164,6126.2629625172995,8548.042618932392,11248.009578717756,0.07073317072884366,0.0754696696384638,0.04891937893232057,0,0.9730933364372273,0.9928792877789665,0.9725874350135552
gradual_structural,total_ruc_net_revenue,3195.2112632783583,3419.801633601768,4452.866814495676,6288.811993445256,8654.8336702641,11248.009578717756,0.07028967783900941,0.07326625230662431,0.048242114499133626,0,0.9989125642124791,0.9928792877789665,0.9725874350135552
growth_handover_fy2035,total_ruc_net_revenue,3195.2112632783583,3426.4153790301475,4365.853013260507,6050.860285069426,8431.765304752636,11086.599497829731,0.07235957083932187,0.07513753754031072,0.048812776332195495,0,0.961116403121929,0.9786313690666928,0.9725874350135552
growth_handover_fy2040,total_ruc_net_revenue,3195.2112632783583,3421.218687078551,4419.486723367162,6158.437035361389,8571.750210383441,11259.49520860269,0.07073317072884366,0.07486564287513353,0.04862408603291635,0,0.9782038542328533,0.9938931421804975,0.9725874350135552
unblended_current,total_ruc_net_revenue,3195.2112632783583,3419.3066983587264,4460.199681583746,6457.642073519177,9272.937913906948,12401.091879942142,0.07013477877216823,0.0812183965853972,0.05213616139097299,0,1.0257294715041292,1.0946636546909934,0.9725874350135552
balanced_structural,tuc_net_revenue,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,0.0,0.0,0.0,0,1.012555277665221,1.012555277665221,1.012555277665221
early_structural,tuc_net_revenue,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,0.0,0.0,0.0,0,1.012555277665221,1.012555277665221,1.012555277665221
gradual_structural,tuc_net_revenue,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,0.0,0.0,0.0,0,1.012555277665221,1.012555277665221,1.012555277665221
growth_handover_fy2035,tuc_net_revenue,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,0.0,0.0,0.0,0,1.012555277665221,1.012555277665221,1.012555277665221
growth_handover_fy2040,tuc_net_revenue,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,0.0,0.0,0.0,0,1.012555277665221,1.012555277665221,1.012555277665221
unblended_current,tuc_net_revenue,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,17.5578996928248,0.0,0.0,0.0,0,1.012555277665221,1.012555277665221,1.012555277665221
