candidate_id,scenario_name,fy,pool_anchor_fy2030,hybrid_pool_index,expected_pool_million_km,emitted_class_sum_million_km,class_sum_residual,scenario_population_from_input_path,emitted_light_petrol_vkt,expected_light_petrol_vkt,ped_identity_residual
balanced_structural,current_basecase,2040,19291.158087465952,1.66046071130773,32032.210079863584,32032.21007986358,-3.637978807091713e-12,5903521.547417235,27333.1879552974,27333.1879552974,0.0
balanced_structural,current_basecase,2041,19291.158087465952,1.7614564627086413,33980.53508630097,33980.53508630097,0.0,5940790.360825924,25115.771268118286,25115.771268118286,0.0
balanced_structural,current_basecase,2042,19291.158087465952,1.865852565068415,35994.45680063865,35994.45680063865,0.0,5973835.040008055,22642.330497169532,22642.330497169532,0.0
balanced_structural,current_basecase,2043,19291.158087465952,1.9693224896346864,37990.511472744765,37990.51147274477,7.275957614183426e-12,6006691.160102674,20193.226770476493,20193.226770476493,0.0
balanced_structural,current_basecase,2044,19291.158087465952,2.0639980216992933,39816.91212881805,39816.91212881805,0.0,6039727.989024792,17994.01235182754,17994.01235182754,0.0
balanced_structural,current_basecase,2045,19291.158087465952,2.154792840672799,41568.449335158795,41568.449335158795,0.0,6072952.237311606,16177.889161898609,16177.889161898609,0.0
balanced_structural,current_basecase,2046,19291.158087465952,2.2504453398228947,43413.6968177245,43413.6968177245,0.0,6106347.507795831,14659.59770809849,14659.59770809849,0.0
balanced_structural,current_basecase,2047,19291.158087465952,2.345126276916079,45240.20174305853,45240.20174305853,0.0,6139932.707409499,13273.39192998076,13273.39192998076,0.0
balanced_structural,current_basecase,2048,19291.158087465952,2.4441565970178205,47150.611303593585,47150.611303593585,0.0,6173702.365522396,12027.23488282103,12027.234882821032,-1.8189894035458565e-12
balanced_structural,current_basecase,2049,19291.158087465952,2.5337340676382296,48878.66445040724,48878.66445040724,0.0,6207657.756924774,10893.184772059163,10893.184772059163,0.0
balanced_structural,current_basecase,2050,19291.158087465952,2.608129816269767,50313.8445982936,50313.84459829361,7.275957614183426e-12,6241799.9031503545,9860.981003271809,9860.981003271809,0.0
balanced_structural,current_comparison_1,2031,19718.636295565673,1.0437590442401588,20581.504973578933,20581.504973578933,0.0,5765576.261469356,35160.39891830424,35160.39891830424,0.0
balanced_structural,current_comparison_1,2032,19718.636295565673,1.0896737522431927,21486.88040130786,21486.88040130786,0.0,5852026.479969032,35548.02523469823,35548.02523469822,7.275957614183426e-12
balanced_structural,current_comparison_1,2033,19718.636295565673,1.138653875621785,22452.701639922252,22452.701639922252,0.0,5939808.461475612,35768.39762874671,35768.39762874671,0.0
balanced_structural,current_comparison_1,2034,19718.636295565673,1.1937216765989147,23538.56357898687,23538.56357898687,0.0,6028905.525829928,35807.93440955681,35807.93440955681,0.0
balanced_structural,current_comparison_1,2035,19718.636295565673,1.2556357932082134,24759.42552596687,24759.42552596687,0.0,6119337.031954986,35585.29640332541,35585.29640332541,0.0
balanced_structural,current_comparison_1,2036,19718.636295565673,1.3228618133216479,26085.03096618207,26085.03096618207,0.0,6211125.690909072,35016.609499443235,35016.609499443235,0.0
balanced_structural,current_comparison_1,2037,19718.636295565673,1.395940403492782,27526.041106759363,27526.041106759363,0.0,6304292.054869596,34054.95437593669,34054.9543759367,-7.275957614183426e-12
balanced_structural,current_comparison_1,2038,19718.636295565673,1.474665807255807,29078.398710784008,29078.398710784008,0.0,6398856.545125103,32650.631782322995,32650.631782322995,0.0
balanced_structural,current_comparison_1,2039,19718.636295565673,1.563362043118122,30827.36752653871,30827.36752653871,0.0,6494839.506114282,30812.61476438155,30812.614764381546,3.637978807091713e-12
balanced_structural,current_comparison_1,2040,19718.636295565673,1.66046071130773,32742.0208493534,32742.0208493534,0.0,6592262.2135971775,28610.482679773402,28610.4826797734,3.637978807091713e-12
balanced_structural,current_comparison_1,2041,19718.636295565673,1.7614564627086413,34733.51933862534,34733.51933862534,0.0,6691117.669123242,26153.321466360663,26153.321466360663,0.0
balanced_structural,current_comparison_1,2042,19718.636295565673,1.865852565068415,36792.06811173236,36792.06811173236,0.0,6791512.875299122,23448.138287039452,23448.138287039452,0.0
balanced_structural,current_comparison_1,2043,19718.636295565673,1.9693224896346864,38832.353921784284,38832.353921784284,0.0,6893417.539166047,20818.007400016697,20818.007400016697,0.0
balanced_structural,current_comparison_1,2044,19718.636295565673,2.0639980216992933,40699.22630465543,40699.22630465543,0.0,6996778.860200877,18488.548257997296,18488.548257997296,0.0
balanced_structural,current_comparison_1,2045,19718.636295565673,2.154792840672799,42489.57631751571,42489.57631751572,7.275957614183426e-12,7101740.069462773,16599.6381857666,16599.6381857666,0.0
balanced_structural,current_comparison_1,2046,19718.636295565673,2.2504453398228947,44375.713159018356,44375.71315901836,7.275957614183426e-12,7208279.147023891,15041.76567586088,15041.765675860881,-1.8189894035458565e-12
balanced_structural,current_comparison_1,2047,19718.636295565673,2.345126276916079,46242.692121682194,46242.69212168219,-7.275957614183426e-12,7316385.697349424,13619.422245423324,13619.422245423324,0.0
balanced_structural,current_comparison_1,2048,19718.636295565673,2.4441565970178205,48195.43498600188,48195.43498600188,0.0,7426134.546369655,12340.7785423738,12340.7785423738,0.0
balanced_structural,current_comparison_1,2049,19718.636295565673,2.5337340676382296,49961.78054944245,49961.78054944244,-7.275957614183426e-12,7537526.703693367,11177.164344329296,11177.164344329296,0.0
balanced_structural,current_comparison_1,2050,19718.636295565673,2.608129816269767,51428.76325864405,51428.76325864406,7.275957614183426e-12,7650589.745547779,10118.051568590394,10118.051568590394,0.0
gradual_structural,current_basecase,2031,19291.158087465952,1.0437817938218683,20135.759593436454,20135.759593436454,0.0,5568625.239104366,34039.379627721086,34039.379627721086,0.0
gradual_structural,current_basecase,2032,19291.158087465952,1.0898492506591517,21024.454185972,21024.454185972,0.0,5605327.138383648,34192.090240815225,34192.09024081522,7.275957614183426e-12
gradual_structural,current_basecase,2033,19291.158087465952,1.1392551267206557,21977.550751524224,21977.550751524224,0.0,5641762.518548759,34244.662092297025,34244.662092297025,0.0
gradual_structural,current_basecase,2034,19291.158087465952,1.1951180611555126,23055.211450936793,23055.211450936793,0.0,5678433.158728389,34219.87753829467,34219.87753829467,0.0
gradual_structural,current_basecase,2035,19291.158087465952,1.2582715185473283,24273.514781252357,24273.514781252357,0.0,5715342.660674074,34066.94116523158,34066.94116523158,0.0
gradual_structural,current_basecase,2036,19291.158087465952,1.3273081654940784,25605.311651330685,25605.311651330685,0.0,5752492.148624376,33738.65978014784,33738.65978014784,0.0
