calendar_year,light_bev_million_km,phev_million_km,light_ruc_conventional_million_km,light_petrol_million_km,heavy_conventional_million_km,heavy_bev_million_km,conventional_diesel_plus_hybrid,light_ruc_pool_million_km,bev_share_of_pool_base,share_points_added_vs_prior_year,growth_vs_prior_year,headroom_left,taper_law_steepness_x_headroom,bev_share_fast,bev_share_slow,dashboard_dial_curve,midpoint_share_base,growth_on_midpoint_basis,source_row,reconstructed_dial_curve,reconstruction_abs_error,dial_curve_year_offset,dial_peak_uptake_speed_share_points_per_year,dial_curve_ceiling_saturation_share,dial_steepness,dial_midpoint_year_of_fastest_uptake
2025,1147.07510538,581.11573936,13090.89519077,32151.461190890004,3632.5246634399996,37.935336549999995,45242.35638166001,14819.08603551,0.07740525310611865,1.0546633503927052,0.15774530743649007,0.9159083690414762,0.16915439624573836,0.08070331977403176,0.06835521160268192,0.08322717138031925,0.07213193635415513,0.14621309279907496,120,0.08322717138031925,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2026,1395.92233604,751.2455807200001,13159.75714133,32404.90230346,3664.255967360001,47.67403263999999,45564.65944479,15306.925058089999,0.09119547725898276,1.3790224152864115,0.1781561793223312,0.9009269253569222,0.16638755062339478,0.09673279459224457,0.07654792003796265,0.09830597993913649,0.08430036518255071,0.16358439400590574,121,0.09830597993913649,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2027,1755.4498088899998,977.18955455,13159.346458770004,32550.156075410006,3682.1754486399996,58.92455136,45709.50253418001,15891.985822210003,0.11046132487965434,1.9265847620671572,0.21125880580633605,0.8799968659202636,0.1625220858159266,0.1197913105587158,0.08894371899380633,0.11573906516947484,0.10082840106931855,0.1910756038611233,122,0.11573906516947484,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2028,2220.1686047599997,1237.9241332399997,13077.926686090004,32566.025572960007,3692.0236604000006,71.97633959000001,45643.95225905001,16536.019424090002,0.13426257842474557,2.380125354509123,0.2154713748999686,0.8541396256277975,0.15774664537003302,0.1486261415035184,0.10675198675513196,0.13575319792381177,0.12236195165219996,0.1945151513498543,123,0.13575319792381177,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2029,2763.8184823299985,1526.6810808099997,12983.543766090006,32650.94440516999,3698.77853563,87.22146437,45634.488171259996,17274.043329230004,0.15999835300014825,2.5735774575402686,0.19168240977755113,0.826180757577078,0.15258306612489178,0.18020752750013627,0.12707714478668214,0.15854641475893966,0.14713046571244692,0.17491805283686732,124,0.15854641475893966,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2030,3353.0566041399998,1816.3907817500003,12859.716884179996,32691.387416379996,3703.57496342,104.42503662,45551.10430055999,18029.164270069996,0.1859795913949472,2.598123839479896,0.1623844115118791,0.7979552221867912,0.14737023746316297,0.2121242377184518,0.14748303554333453,0.18426800926481773,0.17298897219754772,0.15019014255503663,125,0.18426800926481773,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2031,4007.6447800000005,2112.12568127,12700.971109309998,32728.43131997,3706.9346673899995,124.90533259,45429.40242928,18820.741570579998,0.21293766587096796,2.695807447602075,0.1449517889238312,0.7686684702000485,0.1419614181775606,0.24462210316879313,0.16845392725736105,0.21299600364552856,0.1994586286329576,0.1351562209205239,126,0.21299600364552856,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2032,4742.9233019,2429.0588861299993,12490.876498069998,32624.645821809998,3704.68882246,149.15117751999998,45115.522319879994,19662.858686099997,0.24121229662566065,2.8274630754692693,0.13278360424888858,0.7379514358968018,0.13628844742234958,0.2786610328963374,0.1903932191458413,0.24471406919483435,0.22707498124831432,0.12451671513636903,127,0.24471406919483435,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2033,5609.0003369900005,2735.6242889999994,12241.71054708,32406.696432940007,3697.9551468399995,176.04485316,44648.40698002001,20586.33517307,0.2724623052056109,3.125000857995022,0.12955396145681308,0.7040020063231628,0.13001850224385317,0.3156910271763983,0.21476276529927676,0.27929082988874326,0.2568373009156358,0.12167239130976158,128,0.27929082988874326,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2034,6672.413177439999,3044.72359207,11959.929739390001,32106.6323227,3675.8871900199983,204.13280998000002,44066.56206209,21677.066508900003,0.30780978481108096,3.5347479605470076,0.12973346745633485,0.6656011602433485,0.12292644789265818,0.35637250821125566,0.24311073057091703,0.31646520943998147,0.2901360450083459,0.1218307073995349,129,0.31646520943998147,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2035,7929.629602930001,3311.449740360001,11644.390346940001,31604.578657470003,3652.0133575600007,234.21664242000003,43248.969004410006,22885.469690230006,0.34649188809593123,3.868210328485028,0.12566885522691074,0.6235776408619229,0.11516534068001709,0.39971614174764064,0.27467925565776585,0.35584162620402454,0.32715083645350607,0.11823935315032487,130,0.35584162620402454,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2036,9411.399446989997,3513.892819049999,11297.864965069999,30894.46500660001,3624.8541114400005,267.77588853000003,42192.32997167001,24223.157231109995,0.38852901614752605,4.203712805159482,0.1213221131455644,0.5779092848160527,0.10673108736867437,0.4454003660665116,0.30950548732738103,0.3968980983031519,0.3675104521217286,0.114383489799825,131,0.3968980983031519,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2037,11140.753936820001,3659.78918647,10899.30823944,29961.082260379997,3596.3713273000003,302.84867275,40860.39049982,25699.85136273,0.4334948782223836,4.496586207485754,0.11573360085359452,0.5290592064609456,0.09770921816208242,0.49260507965158984,0.3479951431203924,0.4390085872488734,0.4110119471849548,0.10940281026581195,132,0.4390085872488734,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
