composition_source,composition_role,fy,hybrid_pool_million_km,conventional_share,bev_share,phev_share,conventional_million_km,light_bev_million_km,phev_million_km,raw_share_sum,class_sum_million_km,class_sum_minus_pool
exact_VFM_Fast_EV,governed_alternative,2036,25718.707199756078,0.4129,0.422558,0.164542,10619.254202779284,10867.64547691453,4231.807520062264,1.0,25718.707199756078,0.0
exact_VFM_Fast_EV,governed_alternative,2037,27169.46631759025,0.36923863076136926,0.469002530997469,0.16175883824116175,10032.016541624165,12742.548468800313,4394.901307165774,1.000001,27169.466317590253,3.637978807091713e-12
exact_VFM_Fast_EV,governed_alternative,2038,28722.090543516646,0.328226,0.515715,0.156059,9427.336890736295,14812.412924649689,4482.3407281306645,1.0,28722.09054351665,3.637978807091713e-12
exact_VFM_Fast_EV,governed_alternative,2039,30456.870040401518,0.290069,0.562581,0.14735,8834.593835749229,17134.456404199125,4487.819800453164,1.0,30456.870040401518,0.0
exact_VFM_Fast_EV,governed_alternative,2040,32343.321405427385,0.255155,0.608517,0.136328,8252.560173201826,19681.460911666454,4409.300320559105,1.0,32343.321405427385,0.0
exact_VFM_Fast_EV,governed_alternative,2041,34296.56249060911,0.2241272241272241,0.6506616506616506,0.12521112521112518,7686.793348126095,22315.457962160177,4294.311180322838,0.9999990000000001,34296.56249060911,0.0
exact_VFM_Fast_EV,governed_alternative,2042,36397.930282454894,0.197506,0.688024,0.11447,7188.809618366536,25042.649584655745,4166.471079432612,1.0,36397.930282454894,0.0
exact_VFM_Fast_EV,governed_alternative,2043,38373.41374887874,0.17492617492617493,0.7204247204247204,0.10464910464910465,6712.514485950848,27645.155871778086,4015.743391149803,0.999999,38373.41374887874,0.0
exact_VFM_Fast_EV,governed_alternative,2044,40176.851237332696,0.156098,0.747887,0.096015,6271.5261244451585,30047.74474133504,3857.580371552499,1.0,40176.851237332696,0.0
exact_VFM_Fast_EV,governed_alternative,2045,41904.54450962943,0.140132,0.771549,0.088319,5872.167631223391,32331.409411860077,3700.967466545961,1.0,41904.54450962943,0.0
exact_VFM_Fast_EV,governed_alternative,2046,43729.34359895682,0.12592112592112592,0.7928517928517929,0.08122708122708122,5506.448181772424,34670.888472664985,3552.0069445194094,0.999999,43729.34359895682,0.0
exact_VFM_Fast_EV,governed_alternative,2047,45542.70301892691,0.113211,0.812002,0.074787,5155.934951475735,36980.76593677469,3406.0021306764875,1.0,45542.70301892691,0.0
exact_VFM_Fast_EV,governed_alternative,2048,47447.02924651576,0.10169389830610169,0.8293341706658293,0.06897193102806896,4825.073367121806,39349.4426507165,3272.513228677456,1.0000010000000001,47447.029246515754,-7.275957614183426e-12
exact_VFM_Fast_EV,governed_alternative,2049,49175.19969073982,0.091507,0.844675,0.063818,4499.874998100529,41537.061798775656,3138.262893863634,1.0,49175.19969073982,0.0
exact_VFM_Fast_EV,governed_alternative,2050,50615.706685708654,0.082622,0.857992,0.059386,4181.970917786621,43427.87141068454,3005.864357237494,1.0,50615.706685708654,0.0
exact_VFM_Slow_EV,governed_alternative,2031,20144.142612856624,0.753142,0.157968,0.08889,15171.399855732063,3182.129920267735,1790.6128368568252,1.0,20144.142612856624,0.0
exact_VFM_Slow_EV,governed_alternative,2032,21053.78259611388,0.722167,0.179424,0.098409,15204.347016087773,3777.5538885251367,2071.8816915009706,1.0,21053.78259611388,0.0
exact_VFM_Slow_EV,governed_alternative,2033,22033.617813398785,0.690293,0.202578,0.107129,15209.652141264489,4463.526229402699,2360.4394427315983,1.0,22033.617813398785,0.0
exact_VFM_Slow_EV,governed_alternative,2034,23137.86711382702,0.656578,0.228937,0.114485,15191.814513862317,5297.113883438216,2648.938716526486,1.0,23137.86711382702,0.0
exact_VFM_Slow_EV,governed_alternative,2035,24377.174605817723,0.621051,0.258895,0.120054,15139.468666117704,6311.128619573179,2926.5773201268407,1.0,24377.174605817727,3.637978807091713e-12
exact_VFM_Slow_EV,governed_alternative,2036,25718.707199756078,0.584361,0.292092,0.123547,15029.009457956661,7512.228623391153,3177.4691184082644,1.0,25718.70719975608,3.637978807091713e-12
exact_VFM_Slow_EV,governed_alternative,2037,27169.46631759025,0.546232,0.32875,0.125018,14840.831925589959,8931.962051907794,3396.6723400924975,1.0,27169.46631759025,0.0
