candidate_id,scenario_name,fy,series_id,governed_expression,published_value,registry_recomputed,residual
unblended_current,current_comparison_1,2047,gross_ruc_revenue,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,11080.31822796316,11080.31822796316,0.0
unblended_current,current_comparison_1,2048,gross_ruc_revenue,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,11762.10809511691,11762.10809511691,0.0
unblended_current,current_comparison_1,2049,gross_ruc_revenue,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,12435.242977002441,12435.242977002441,0.0
unblended_current,current_comparison_1,2050,gross_ruc_revenue,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,13080.76337105003,13080.76337105003,0.0
unblended_current,current_basecase,2031,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,3537.4388444992605,3537.4388444992605,0.0
unblended_current,current_basecase,2032,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,3775.6551527707948,3775.6551527707948,0.0
unblended_current,current_basecase,2033,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,4027.9396796229494,4027.9396796229494,0.0
unblended_current,current_basecase,2034,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,4304.252597263441,4304.252597263441,0.0
unblended_current,current_basecase,2035,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,4607.914447450002,4607.914447450002,0.0
unblended_current,current_basecase,2036,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,4940.811410723102,4940.811410723102,0.0
unblended_current,current_basecase,2037,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,5307.335715140707,5307.335715140707,0.0
unblended_current,current_basecase,2038,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,5711.143535356347,5711.143535356347,0.0
unblended_current,current_basecase,2039,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,6161.456972965972,6161.456972965972,0.0
unblended_current,current_basecase,2040,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,6659.660778059426,6659.660778059426,0.0
unblended_current,current_basecase,2041,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,7198.222116386305,7198.222116386305,0.0
unblended_current,current_basecase,2042,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,7773.998401594689,7773.998401594689,0.0
unblended_current,current_basecase,2043,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,8366.966091591728,8366.966091591728,0.0
unblended_current,current_basecase,2044,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,8956.626044748986,8956.626044748986,0.0
