scenario_name,fed_path,series_id,FY,value_before,value_after,abs_change,pct_change
current_basecase_12c_no_uplift,Current planned path,total_nltf_net_revenue,2026,4508.837555214962,4509.459370844171,0.6218156292088679,0.013791040852418167
current_basecase_12c_no_uplift,Current planned path,total_nltf_net_revenue,2027,4513.2063595166255,4515.535492836537,2.329133319911307,0.05160706456508588
current_basecase_12c_no_uplift,Current planned path,total_nltf_net_revenue,2028,4758.319167923196,4760.499022173396,2.179854250200151,0.04581143410671135
current_basecase_12c_no_uplift,Current planned path,total_nltf_net_revenue,2029,5100.407710607095,5102.812899778102,2.4051891710068958,0.04715680211221014
current_basecase_12c_no_uplift,Current planned path,total_nltf_net_revenue,2030,5370.1335241514325,5373.879818045955,3.7462938945227506,0.06976165262324134
current_basecase_12c_no_uplift,Current planned path,total_ruc_net_revenue,2026,2040.8849755915462,2040.7795490561653,-0.10542653538095692,-0.00516572646875404
current_basecase_12c_no_uplift,Current planned path,total_ruc_net_revenue,2027,2043.9089169560525,2045.4375575289168,1.528640572864333,0.07479005351867161
current_basecase_12c_no_uplift,Current planned path,total_ruc_net_revenue,2028,2235.0902757721246,2236.280728541351,1.19045276922634,0.053261954657070454
current_basecase_12c_no_uplift,Current planned path,total_ruc_net_revenue,2029,2474.2524718428485,2475.46073577282,1.2082639299715083,0.04883349390256771
current_basecase_12c_no_uplift,Current planned path,total_ruc_net_revenue,2030,2676.4380964425904,2678.882102607667,2.444006165076644,0.0913156246103773
middle_east_high,Current planned path,light_ruc_net_km,2026,12312.334209676526,12314.095623917608,1.7614142410820932,0.014306095100129432
middle_east_high,Current planned path,light_ruc_net_km,2027,11194.988967139476,11217.753232763149,22.764265623673055,0.20334335023011407
middle_east_high,Current planned path,light_ruc_net_km,2028,11806.406892838257,11821.620705945543,15.213813107286114,0.1288606537566885
middle_east_high,Current planned path,light_ruc_net_km,2029,12697.163629937351,12710.854639756111,13.691009818759994,0.10782730866348257
middle_east_high,Current planned path,light_ruc_net_km,2030,13047.29841058547,13074.22159332342,26.9231827379499,0.20635063206729995
middle_east_high,Current planned path,light_ruc_net_revenue,2026,834.0654530601561,834.1847752570683,0.1193221969122078,0.014306095100140998
middle_east_high,Current planned path,light_ruc_net_revenue,2027,816.4758805050042,818.1361299142437,1.6602494092395546,0.20334335023009645
middle_east_high,Current planned path,light_ruc_net_revenue,2028,960.0043052799341,961.2413731038099,1.2370678238758046,0.12886065375665995
middle_east_high,Current planned path,light_ruc_net_revenue,2029,1093.5288585736064,1094.7079813112648,1.1791227376584175,0.10782730866348231
middle_east_high,Current planned path,light_ruc_net_revenue,2030,1173.6585831603627,1176.0804350650264,2.421851904663754,0.20635063206731938
middle_east_high,Current planned path,net_fed_revenue,2026,2010.2119936694244,2010.9258711991297,0.7138775297053144,0.03551254951982494
middle_east_high,Current planned path,net_fed_revenue,2027,2025.059866297947,2025.8739446561083,0.8140783581611686,0.0402002119398772
middle_east_high,Current planned path,net_fed_revenue,2028,2258.523493547171,2259.614674087456,1.0911805402852224,0.04831388929107158
middle_east_high,Current planned path,net_fed_revenue,2029,2417.544101468511,2418.896937863231,1.3528363947198159,0.0559591195833015
middle_east_high,Current planned path,net_fed_revenue,2030,2504.4366575108907,2505.916292151574,1.4796346406833436,0.05908053758300771
middle_east_high,Current planned path,net_mvr_revenue,2026,425.1291935285918,425.1291935285918,0.0,0.0
middle_east_high,Current planned path,net_mvr_revenue,2027,496.14975215044956,496.14975215044956,0.0,0.0
middle_east_high,Current planned path,net_mvr_revenue,2028,490.25051027658566,490.25051027658566,0.0,0.0
middle_east_high,Current planned path,net_mvr_revenue,2029,484.84310999369575,484.84310999369575,0.0,0.0
middle_east_high,Current planned path,net_mvr_revenue,2030,479.8837182888595,479.8837182888595,0.0,0.0
middle_east_high,Current planned path,total_nltf_net_revenue,2026,4472.24165548972,4473.096443900036,0.8547884103163597,0.01911319817137114
middle_east_high,Current planned path,total_nltf_net_revenue,2027,4637.66391580356,4640.247954228387,2.5840384248276678,0.055718535705490776
middle_east_high,Current planned path,total_nltf_net_revenue,2028,5248.744043784808,5251.2087639260435,2.464720141235375,0.04695828412806532
middle_east_high,Current planned path,total_nltf_net_revenue,2029,5726.942120063382,5729.657688035426,2.715567972043573,0.04741741605053132
middle_east_high,Current planned path,total_nltf_net_revenue,2030,6053.275821930541,6057.513028613269,4.237206682728356,0.06999857279553148
middle_east_high,Current planned path,total_ruc_net_revenue,2026,2019.4943908052915,2019.6353016859025,0.14091088061104529,0.006977532656322744
middle_east_high,Current planned path,total_ruc_net_revenue,2027,2098.896397662339,2100.6663577290055,1.7699600666664992,0.08432812923200045
middle_east_high,Current planned path,total_ruc_net_revenue,2028,2482.412140268227,2483.7856798691773,1.3735396009501528,0.05533084449070333
middle_east_high,Current planned path,total_ruc_net_revenue,2029,2806.997008908351,2808.359740485675,1.3627315773242117,0.048547667596346385
middle_east_high,Current planned path,total_ruc_net_revenue,2030,3051.397546437966,3054.155118480011,2.7575720420450125,0.09037078912461115
middle_east_high__12c_delay_6m,Current planned path,light_ruc_net_km,2026,12312.334209676526,12314.095623917608,1.7614142410820932,0.014306095100129432
middle_east_high__12c_delay_6m,Current planned path,light_ruc_net_km,2027,11220.208747267794,11243.049853998753,22.841106730958927,0.20357113887494216
middle_east_high__12c_delay_6m,Current planned path,light_ruc_net_km,2028,11806.406892838257,11821.620705945543,15.213813107286114,0.1288606537566885
middle_east_high__12c_delay_6m,Current planned path,light_ruc_net_km,2029,12697.163629937351,12710.854639756111,13.691009818759994,0.10782730866348257
middle_east_high__12c_delay_6m,Current planned path,light_ruc_net_km,2030,13047.29841058547,13074.22159332342,26.9231827379499,0.20635063206729995
middle_east_high__12c_delay_6m,Current planned path,light_ruc_net_revenue,2026,834.0654530601561,834.1847752570683,0.1193221969122078,0.014306095100140998
middle_east_high__12c_delay_6m,Current planned path,light_ruc_net_revenue,2027,754.1253534150061,755.6605349854976,1.5351815704915452,0.20357113887493353
middle_east_high__12c_delay_6m,Current planned path,light_ruc_net_revenue,2028,960.0043052799341,961.2413731038099,1.2370678238758046,0.12886065375665995
middle_east_high__12c_delay_6m,Current planned path,light_ruc_net_revenue,2029,1093.5288585736064,1094.7079813112648,1.1791227376584175,0.10782730866348231
middle_east_high__12c_delay_6m,Current planned path,light_ruc_net_revenue,2030,1173.6585831603627,1176.0804350650264,2.421851904663754,0.20635063206731938
middle_east_high__12c_delay_6m,Current planned path,net_fed_revenue,2026,2010.2119936694244,2010.9258711991297,0.7138775297053144,0.03551254951982494
middle_east_high__12c_delay_6m,Current planned path,net_fed_revenue,2027,1867.3654504347803,1868.117337571058,0.7518871362776736,0.04026459502625001
middle_east_high__12c_delay_6m,Current planned path,net_fed_revenue,2028,2258.523493547171,2259.614674087456,1.0911805402852224,0.04831388929107158
middle_east_high__12c_delay_6m,Current planned path,net_fed_revenue,2029,2417.544101468511,2418.896937863231,1.3528363947198159,0.0559591195833015
middle_east_high__12c_delay_6m,Current planned path,net_fed_revenue,2030,2504.4366575108907,2505.916292151574,1.4796346406833436,0.05908053758300771
middle_east_high__12c_delay_6m,Current planned path,net_mvr_revenue,2026,425.1291935285918,425.1291935285918,0.0,0.0
middle_east_high__12c_delay_6m,Current planned path,net_mvr_revenue,2027,496.14975215044956,496.14975215044956,0.0,0.0
middle_east_high__12c_delay_6m,Current planned path,net_mvr_revenue,2028,490.25051027658566,490.25051027658566,0.0,0.0
middle_east_high__12c_delay_6m,Current planned path,net_mvr_revenue,2029,484.84310999369575,484.84310999369575,0.0,0.0
middle_east_high__12c_delay_6m,Current planned path,net_mvr_revenue,2030,479.8837182888595,479.8837182888595,0.0,0.0
middle_east_high__12c_delay_6m,Current planned path,total_nltf_net_revenue,2026,4472.24165548972,4473.096443900036,0.8547884103163597,0.01911319817137114
middle_east_high__12c_delay_6m,Current planned path,total_nltf_net_revenue,2027,4315.422402266814,4317.810575763857,2.3881734970427715,0.05534043424783416
middle_east_high__12c_delay_6m,Current planned path,total_nltf_net_revenue,2028,5248.744043784808,5251.2087639260435,2.464720141235375,0.04695828412806532
middle_east_high__12c_delay_6m,Current planned path,total_nltf_net_revenue,2029,5726.942120063382,5729.657688035426,2.715567972043573,0.04741741605053132
middle_east_high__12c_delay_6m,Current planned path,total_nltf_net_revenue,2030,6053.275821930541,6057.513028613269,4.237206682728356,0.06999857279553148
middle_east_high__12c_delay_6m,Current planned path,total_ruc_net_revenue,2026,2019.4943908052915,2019.6353016859025,0.14091088061104529,0.006977532656322744
middle_east_high__12c_delay_6m,Current planned path,total_ruc_net_revenue,2027,1934.3492999887596,1935.9855863495247,1.636286360765098,0.08459104882321958
middle_east_high__12c_delay_6m,Current planned path,total_ruc_net_revenue,2028,2482.412140268227,2483.7856798691773,1.3735396009501528,0.05533084449070333
middle_east_high__12c_delay_6m,Current planned path,total_ruc_net_revenue,2029,2806.997008908351,2808.359740485675,1.3627315773242117,0.048547667596346385
middle_east_high__12c_delay_6m,Current planned path,total_ruc_net_revenue,2030,3051.397546437966,3054.155118480011,2.7575720420450125,0.09037078912461115
middle_east_high__12c_no_uplift,Current planned path,light_ruc_net_km,2026,12312.334209676526,12314.095623917608,1.7614142410820932,0.014306095100129432
middle_east_high__12c_no_uplift,Current planned path,light_ruc_net_km,2027,11220.208747267794,11243.049853998753,22.841106730958927,0.20357113887494216
middle_east_high__12c_no_uplift,Current planned path,light_ruc_net_km,2028,11865.108061914007,11880.471804625,15.363742710993392,0.12948674913724306
middle_east_high__12c_no_uplift,Current planned path,light_ruc_net_km,2029,12770.147794377806,12784.015971654448,13.86817727664129,0.10859840856929552
middle_east_high__12c_no_uplift,Current planned path,light_ruc_net_km,2030,13127.301703492285,13154.499167404296,27.19746391201079,0.20718243951668597
middle_east_high__12c_no_uplift,Current planned path,light_ruc_net_revenue,2026,834.0654530601561,834.1847752570683,0.1193221969122078,0.014306095100140998
middle_east_high__12c_no_uplift,Current planned path,light_ruc_net_revenue,2027,754.1253534150061,755.6605349854976,1.5351815704915452,0.20357113887493353
middle_east_high__12c_no_uplift,Current planned path,light_ruc_net_revenue,2028,828.75877998401,829.8319127864005,1.0731328023905462,0.12948674913721592
middle_east_high__12c_no_uplift,Current planned path,light_ruc_net_revenue,2029,953.3486179904429,954.383939417698,1.0353214272550986,0.10859840856930654
middle_east_high__12c_no_uplift,Current planned path,light_ruc_net_revenue,2030,1030.300430595162,1032.43503216162,2.134601566458059,0.207182439516694
middle_east_high__12c_no_uplift,Current planned path,net_fed_revenue,2026,2010.2119936694244,2010.9258711991297,0.7138775297053144,0.03551254951982494
middle_east_high__12c_no_uplift,Current planned path,net_fed_revenue,2027,1867.3654504347803,1868.117337571058,0.7518871362776736,0.04026459502625001
