engine,series_id,FY,reference_policy_state,central_changes_under_policy,rate_changes_under_policy,activity_changes_under_policy,band_should_change,reason,central_published,central_delayed_6m,central_off
ar1,gross_lpg_revenue,2037,published,False,False,False,False,not priced by the fuel rate and no activity response,44.2764560365186,44.2764560365186,44.2764560365186
ar1,gross_lpg_revenue,2038,published,False,False,False,False,not priced by the fuel rate and no activity response,44.3949902416884,44.3949902416884,44.3949902416884
ar1,gross_lpg_revenue,2039,published,False,False,False,False,not priced by the fuel rate and no activity response,44.5082819804597,44.5082819804597,44.5082819804597
ar1,gross_lpg_revenue,2040,published,False,False,False,False,not priced by the fuel rate and no activity response,44.6167754628172,44.6167754628172,44.6167754628172
ar1,gross_lpg_revenue,2041,published,False,False,False,False,not priced by the fuel rate and no activity response,44.7208607201694,44.7208607201694,44.7208607201694
ar1,gross_lpg_revenue,2042,published,False,False,False,False,not priced by the fuel rate and no activity response,44.8208820738309,44.8208820738309,44.8208820738309
ar1,gross_lpg_revenue,2043,published,False,False,False,False,not priced by the fuel rate and no activity response,44.9171450107643,44.9171450107643,44.9171450107643
ar1,gross_lpg_revenue,2044,published,False,False,False,False,not priced by the fuel rate and no activity response,45.0099218130958,45.0099218130958,45.0099218130958
ar1,gross_lpg_revenue,2045,published,False,False,False,False,not priced by the fuel rate and no activity response,45.0994562030281,45.0994562030281,45.0994562030281
ar1,gross_lpg_revenue,2046,published,False,False,False,False,not priced by the fuel rate and no activity response,45.1859672028516,45.1859672028516,45.1859672028516
ar1,gross_lpg_revenue,2047,published,False,False,False,False,not priced by the fuel rate and no activity response,45.2696523640375,45.2696523640375,45.2696523640375
ar1,gross_lpg_revenue,2048,published,False,False,False,False,not priced by the fuel rate and no activity response,45.350690485262,45.350690485262,45.350690485262
ar1,gross_lpg_revenue,2049,published,False,False,False,False,not priced by the fuel rate and no activity response,45.429243913464,45.429243913464,45.429243913464
ar1,gross_lpg_revenue,2050,published,False,False,False,False,not priced by the fuel rate and no activity response,45.5054605024188,45.5054605024188,45.5054605024188
