engine,series_id,FY,reference_policy_state,central_changes_under_policy,rate_changes_under_policy,activity_changes_under_policy,band_should_change,reason,central_published,central_delayed_6m,central_delayed_12m,central_delayed_18m,central_delayed_24m,central_delayed_30m,central_delayed_36m,central_off,central_option1_12c_10c_4c,central_option2_9c_9c_4c,central_option3_4c_semiannual,central_option4_labour_4c,central_mcert
ensemble,current_light_ruc_conventional_modelled_km,2045,published,False,False,False,False,not priced by the fuel rate and no activity response,7751.775261600689,7751.775261600689,7751.775261600689,7751.775261600689,7751.775261600689,7751.775261600689,7751.775261600689,7751.775261600689,7751.775261600689,7751.775261600689,7751.775261600689,7751.775261600689,7751.775261600689
ensemble,current_light_ruc_conventional_modelled_km,2046,published,False,False,False,False,not priced by the fuel rate and no activity response,7362.075456663161,7362.075456663161,7362.075456663161,7362.075456663161,7362.075456663161,7362.075456663161,7362.075456663161,7362.075456663161,7362.075456663161,7362.075456663161,7362.075456663161,7362.075456663161,7362.075456663161
ensemble,current_light_ruc_conventional_modelled_km,2047,published,False,False,False,False,not priced by the fuel rate and no activity response,6986.181036802422,6986.181036802422,6986.181036802422,6986.181036802422,6986.181036802422,6986.181036802422,6986.181036802422,6986.181036802422,6986.181036802422,6986.181036802422,6986.181036802422,6986.181036802422,6986.181036802422
ensemble,current_light_ruc_conventional_modelled_km,2048,published,False,False,False,False,not priced by the fuel rate and no activity response,6632.575464468687,6632.575464468687,6632.575464468687,6632.575464468687,6632.575464468687,6632.575464468687,6632.575464468687,6632.575464468687,6632.575464468687,6632.575464468687,6632.575464468687,6632.575464468687,6632.575464468687
ensemble,current_light_ruc_conventional_modelled_km,2049,published,False,False,False,False,not priced by the fuel rate and no activity response,6284.239233450291,6284.239233450291,6284.239233450291,6284.239233450291,6284.239233450291,6284.239233450291,6284.239233450291,6284.239233450291,6284.239233450291,6284.239233450291,6284.239233450291,6284.239233450291,6284.239233450291
ensemble,current_light_ruc_conventional_modelled_km,2050,published,False,False,False,False,not priced by the fuel rate and no activity response,5942.68435724846,5942.68435724846,5942.68435724846,5942.68435724846,5942.68435724846,5942.68435724846,5942.68435724846,5942.68435724846,5942.68435724846,5942.68435724846,5942.68435724846,5942.68435724846,5942.68435724846
ensemble,fed_refunds,2025,published,False,False,False,False,not priced by the fuel rate and no activity response,69.90077731,69.90077731,69.90077731,69.90077731,69.90077731,69.90077731,69.90077731,69.90077731,69.90077731,69.90077731,69.90077731,69.90077731,69.90077731
ensemble,fed_refunds,2026,published,False,False,False,False,not priced by the fuel rate and no activity response,72.3868062026043,72.3868062026043,72.3868062026043,72.3868062026043,72.3868062026043,72.3868062026043,72.3868062026043,72.3868062026043,72.3868062026043,72.3868062026043,72.3868062026043,72.3868062026043,72.3868062026043
ensemble,fed_refunds,2027,published,False,False,False,False,not priced by the fuel rate and no activity response,80.6529606896518,80.6529606896518,80.6529606896518,80.6529606896518,80.6529606896518,80.6529606896518,80.6529606896518,80.6529606896518,80.6529606896518,80.6529606896518,80.6529606896518,80.6529606896518,80.6529606896518
ensemble,fed_refunds,2028,published,False,False,False,False,not priced by the fuel rate and no activity response,91.4673022517422,91.4673022517422,91.4673022517422,91.4673022517422,91.4673022517422,91.4673022517422,91.4673022517422,91.4673022517422,91.4673022517422,91.4673022517422,91.4673022517422,91.4673022517422,91.4673022517422
ensemble,fed_refunds,2029,published,False,False,False,False,not priced by the fuel rate and no activity response,97.6737041163894,97.6737041163894,97.6737041163894,97.6737041163894,97.6737041163894,97.6737041163894,97.6737041163894,97.6737041163894,97.6737041163894,97.6737041163894,97.6737041163894,97.6737041163894,97.6737041163894
ensemble,fed_refunds,2030,published,False,False,False,False,not priced by the fuel rate and no activity response,102.477188461442,102.477188461442,102.477188461442,102.477188461442,102.477188461442,102.477188461442,102.477188461442,102.477188461442,102.477188461442,102.477188461442,102.477188461442,102.477188461442,102.477188461442
ensemble,fed_refunds,2031,published,False,False,False,False,not priced by the fuel rate and no activity response,105.428538617792,105.428538617792,105.428538617792,105.428538617792,105.428538617792,105.428538617792,105.428538617792,105.428538617792,105.428538617792,105.428538617792,105.428538617792,105.428538617792,105.428538617792
ensemble,fed_refunds,2032,published,False,False,False,False,not priced by the fuel rate and no activity response,107.880660403128,107.880660403128,107.880660403128,107.880660403128,107.880660403128,107.880660403128,107.880660403128,107.880660403128,107.880660403128,107.880660403128,107.880660403128,107.880660403128,107.880660403128
ensemble,fed_refunds,2033,published,False,False,False,False,not priced by the fuel rate and no activity response,109.618818619908,109.618818619908,109.618818619908,109.618818619908,109.618818619908,109.618818619908,109.618818619908,109.618818619908,109.618818619908,109.618818619908,109.618818619908,109.618818619908,109.618818619908
ensemble,fed_refunds,2034,published,False,False,False,False,not priced by the fuel rate and no activity response,110.874936585782,110.874936585782,110.874936585782,110.874936585782,110.874936585782,110.874936585782,110.874936585782,110.874936585782,110.874936585782,110.874936585782,110.874936585782,110.874936585782,110.874936585782
ensemble,fed_refunds,2035,published,False,False,False,False,not priced by the fuel rate and no activity response,111.445970529907,111.445970529907,111.445970529907,111.445970529907,111.445970529907,111.445970529907,111.445970529907,111.445970529907,111.445970529907,111.445970529907,111.445970529907,111.445970529907,111.445970529907
ensemble,fed_refunds,2036,published,False,False,False,False,not priced by the fuel rate and no activity response,111.176191918272,111.176191918272,111.176191918272,111.176191918272,111.176191918272,111.176191918272,111.176191918272,111.176191918272,111.176191918272,111.176191918272,111.176191918272,111.176191918272,111.176191918272
ensemble,fed_refunds,2037,published,False,False,False,False,not priced by the fuel rate and no activity response,110.042913972117,110.042913972117,110.042913972117,110.042913972117,110.042913972117,110.042913972117,110.042913972117,110.042913972117,110.042913972117,110.042913972117,110.042913972117,110.042913972117,110.042913972117
ensemble,fed_refunds,2038,published,False,False,False,False,not priced by the fuel rate and no activity response,107.913508675593,107.913508675593,107.913508675593,107.913508675593,107.913508675593,107.913508675593,107.913508675593,107.913508675593,107.913508675593,107.913508675593,107.913508675593,107.913508675593,107.913508675593
ensemble,fed_refunds,2039,published,False,False,False,False,not priced by the fuel rate and no activity response,104.840874026332,104.840874026332,104.840874026332,104.840874026332,104.840874026332,104.840874026332,104.840874026332,104.840874026332,104.840874026332,104.840874026332,104.840874026332,104.840874026332,104.840874026332
ensemble,fed_refunds,2040,published,False,False,False,False,not priced by the fuel rate and no activity response,100.944261351029,100.944261351029,100.944261351029,100.944261351029,100.944261351029,100.944261351029,100.944261351029,100.944261351029,100.944261351029,100.944261351029,100.944261351029,100.944261351029,100.944261351029
ensemble,fed_refunds,2041,published,False,False,False,False,not priced by the fuel rate and no activity response,96.3322291474112,96.3322291474112,96.3322291474112,96.3322291474112,96.3322291474112,96.3322291474112,96.3322291474112,96.3322291474112,96.3322291474112,96.3322291474112,96.3322291474112,96.3322291474112,96.3322291474112
ensemble,fed_refunds,2042,published,False,False,False,False,not priced by the fuel rate and no activity response,90.5422688383918,90.5422688383918,90.5422688383918,90.5422688383918,90.5422688383918,90.5422688383918,90.5422688383918,90.5422688383918,90.5422688383918,90.5422688383918,90.5422688383918,90.5422688383918,90.5422688383918
ensemble,fed_refunds,2043,published,False,False,False,False,not priced by the fuel rate and no activity response,84.3336057989786,84.3336057989786,84.3336057989786,84.3336057989786,84.3336057989786,84.3336057989786,84.3336057989786,84.3336057989786,84.3336057989786,84.3336057989786,84.3336057989786,84.3336057989786,84.3336057989786
