page,stream_label,scenario,horizon,mape,source_column,source
Scenario Comparison,PED VKT per capita,Finalist,6,2.437783988722561,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Finalist,6,2.437783988722561,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Finalist,7,2.66267025362429,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Finalist,7,2.66267025362429,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Finalist,8,2.833864544610459,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Finalist,8,2.833864544610459,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Finalist,9,3.166722452092752,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Finalist,9,3.166722452092752,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Finalist,10,3.3913348814628055,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Finalist,10,3.3913348814628055,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Finalist,11,3.649766544861214,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Finalist,11,3.649766544861214,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Finalist,12,3.8417141968702215,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Finalist,12,3.8417141968702215,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Schiff,1,1.5925282842021744,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Schiff,1,1.5925282842021744,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Schiff,2,2.0563426541424943,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Schiff,2,2.0563426541424943,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Schiff,3,2.4081301999212936,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Schiff,3,2.4081301999212936,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Schiff,4,2.7776925661866585,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Schiff,4,2.7776925661866585,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Schiff,5,3.1155010775990473,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Schiff,5,3.1155010775990473,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Schiff,6,3.332552577987949,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Schiff,6,3.332552577987949,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Schiff,7,3.54890327905346,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Schiff,7,3.54890327905346,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Schiff,8,3.8027207914742367,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Schiff,8,3.8027207914742367,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Schiff,9,4.248378988819482,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Schiff,9,4.248378988819482,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Schiff,10,4.573489478203258,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Schiff,10,4.573489478203258,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Schiff,11,4.719210786630715,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Schiff,11,4.719210786630715,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Schiff,12,4.899097599707147,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Schiff,12,4.899097599707147,ape,quarterly_predictions_selected.csv grouped mean APE
