series_id,source_label,source_row,source_cell,FY,period_status,published_pct_change,recomputed_pct_change,detected_workbook_unit,residual,relative_residual,status
light_ruc_net_km,Light RUC net km (m km),16,BB16,2053,LT_FORECAST,-0.0584852623544999,-0.0584852623545008,fraction,9.020562075079397e-16,1.5423649842591857e-14,reconciled
light_ruc_net_km,Light RUC net km (m km),16,BC16,2054,LT_FORECAST,-0.0588339844801005,-0.05883398448010102,fraction,5.204170427930421e-16,8.845517559142351e-15,reconciled
light_ruc_net_km,Light RUC net km (m km),16,BD16,2055,LT_FORECAST,-0.0651630411888129,-0.06516304118881178,fraction,-1.124100812432971e-15,1.7250588553346624e-14,reconciled
heavy_ruc_net_km,Heavy RUC net km (m km),17,B17,2001,ACTUAL,,,fraction,,,not_computable
heavy_ruc_net_km,Heavy RUC net km (m km),17,C17,2002,ACTUAL,0.0483422319142417,0.048342231914241696,fraction,6.938893903907228e-18,1.4353689577710663e-16,reconciled
heavy_ruc_net_km,Heavy RUC net km (m km),17,D17,2003,ACTUAL,0.0463751256473484,0.04637512564734836,fraction,4.163336342344337e-17,8.97752035003357e-16,reconciled
heavy_ruc_net_km,Heavy RUC net km (m km),17,E17,2004,ACTUAL,0.0571113504334397,0.057111350433439734,fraction,-3.469446951953614e-17,6.074881657713683e-16,reconciled
heavy_ruc_net_km,Heavy RUC net km (m km),17,F17,2005,ACTUAL,0.0377737575581325,0.03777375755813228,fraction,2.1510571102112408e-16,5.694580706991755e-15,reconciled
heavy_ruc_net_km,Heavy RUC net km (m km),17,G17,2006,ACTUAL,-0.00292037921610178,-0.002920379216101776,fraction,-3.903127820947816e-18,1.3365140388027576e-15,reconciled
heavy_ruc_net_km,Heavy RUC net km (m km),17,H17,2007,ACTUAL,0.0419993033007333,0.041999303300733315,fraction,-1.3877787807814457e-17,3.304290004156366e-16,reconciled
heavy_ruc_net_km,Heavy RUC net km (m km),17,I17,2008,ACTUAL,0.00603755317575061,0.00603755317575061,fraction,0.0,0.0,reconciled
heavy_ruc_net_km,Heavy RUC net km (m km),17,J17,2009,ACTUAL,-0.0503273273276235,-0.05032732732762335,fraction,-1.5265566588595902e-16,3.0332559663300525e-15,reconciled
heavy_ruc_net_km,Heavy RUC net km (m km),17,K17,2010,ACTUAL,-0.00173326727181244,-0.0017332672718125552,fraction,1.1514227071796057e-16,6.643076494345337e-14,reconciled
heavy_ruc_net_km,Heavy RUC net km (m km),17,L17,2011,ACTUAL,0.0519941105796042,0.051994110579604236,fraction,-3.469446951953614e-17,6.672769114189976e-16,reconciled
heavy_ruc_net_km,Heavy RUC net km (m km),17,M17,2012,ACTUAL,0.0122728928165712,0.01227289281657118,fraction,2.0816681711721685e-17,1.6961511864272505e-15,reconciled
heavy_ruc_net_km,Heavy RUC net km (m km),17,N17,2013,ACTUAL,0.0356500856045341,0.035650085604533865,fraction,2.3592239273284576e-16,6.6177230357854144e-15,reconciled
heavy_ruc_net_km,Heavy RUC net km (m km),17,O17,2014,ACTUAL,0.0265170378005326,0.026517037800532828,fraction,-2.2898349882893854e-16,8.635334781788386e-15,reconciled
heavy_ruc_net_km,Heavy RUC net km (m km),17,P17,2015,ACTUAL,0.014338898978856,0.014338898978855985,fraction,1.5612511283791264e-17,1.0888221827082634e-15,reconciled
heavy_ruc_net_km,Heavy RUC net km (m km),17,Q17,2016,ACTUAL,0.00484385497138717,0.004843854971387174,fraction,-3.469446951953614e-18,7.162573967320992e-16,reconciled
