series_id,section,unit,FY,official_vintage,comparison_vintage,prebu26_value,befu26_value,prebu26_period_status,befu26_period_status,delta,pct_delta,note
fed_refunds,FED,$m nominal ex GST,2006,PREBU26,BEFU26,32.36,32.36,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2007,PREBU26,BEFU26,33.288,33.288,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2008,PREBU26,BEFU26,34.525,34.525,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2009,PREBU26,BEFU26,34.681,34.681,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2010,PREBU26,BEFU26,32.516,32.516,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2011,PREBU26,BEFU26,35.636,35.636,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2012,PREBU26,BEFU26,35.092298,35.092298,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2013,PREBU26,BEFU26,36.25090689,36.25090689,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2014,PREBU26,BEFU26,42.32392003,42.32392003,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2015,PREBU26,BEFU26,50.75234515,50.75234515,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2016,PREBU26,BEFU26,58.67643187,58.67643187,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2017,PREBU26,BEFU26,56.24315484,56.24315484,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2018,PREBU26,BEFU26,65.16975787,65.16975787,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2019,PREBU26,BEFU26,66.08742835,66.08742835,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2020,PREBU26,BEFU26,67.88041851,67.88041851,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2021,PREBU26,BEFU26,67.59249122,67.59249122,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2022,PREBU26,BEFU26,59.9764789,59.9764789,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2023,PREBU26,BEFU26,68.05107856,68.05107856,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2024,PREBU26,BEFU26,67.00276261,67.00276261,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2025,PREBU26,BEFU26,69.90077731,69.90077731,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2026,PREBU26,BEFU26,65.76478886,72.3868062026043,ACTUAL,ST_FORECAST,-6.622017342604309,-9.148099895538786,
fed_refunds,FED,$m nominal ex GST,2027,PREBU26,BEFU26,81.441655468046,80.6529606896518,ST_FORECAST,ST_FORECAST,0.7886947783941878,0.977886951266479,
fed_refunds,FED,$m nominal ex GST,2028,PREBU26,BEFU26,91.4094804117824,91.4673022517422,ST_FORECAST,ST_FORECAST,-0.05782183995980006,-0.06321585805675023,
fed_refunds,FED,$m nominal ex GST,2029,PREBU26,BEFU26,97.3503103129089,97.6737041163894,ST_FORECAST,ST_FORECAST,-0.3233938034804993,-0.3310960779117566,
fed_refunds,FED,$m nominal ex GST,2030,PREBU26,BEFU26,102.022108949842,102.477188461442,ST_FORECAST,ST_FORECAST,-0.4550795115999904,-0.4440788417719113,
fed_refunds,FED,$m nominal ex GST,2031,PREBU26,BEFU26,106.593261558951,105.428538617792,ST_FORECAST,LT_FORECAST,1.164722941158999,1.1047511010101791,
fed_refunds,FED,$m nominal ex GST,2032,PREBU26,BEFU26,109.114546735986,107.880660403128,LT_FORECAST,LT_FORECAST,1.2338863328579919,1.1437511860302028,
fed_refunds,FED,$m nominal ex GST,2033,PREBU26,BEFU26,110.832925170466,109.618818619908,LT_FORECAST,LT_FORECAST,1.2141065505580002,1.1075712782198375,
fed_refunds,FED,$m nominal ex GST,2034,PREBU26,BEFU26,112.061008488464,110.874936585782,LT_FORECAST,LT_FORECAST,1.1860719026820021,1.069738517292733,
fed_refunds,FED,$m nominal ex GST,2035,PREBU26,BEFU26,112.596411402852,111.445970529907,LT_FORECAST,LT_FORECAST,1.1504408729449977,1.0322857501934286,
fed_refunds,FED,$m nominal ex GST,2036,PREBU26,BEFU26,112.282209586386,111.176191918272,LT_FORECAST,LT_FORECAST,1.1060176681140064,0.9948332003735689,
fed_refunds,FED,$m nominal ex GST,2037,PREBU26,BEFU26,111.096620531821,110.042913972117,LT_FORECAST,LT_FORECAST,1.053706559703997,0.9575414914684903,
fed_refunds,FED,$m nominal ex GST,2038,PREBU26,BEFU26,108.906799857356,107.913508675593,LT_FORECAST,LT_FORECAST,0.9932911817630128,0.9204511964753375,
fed_refunds,FED,$m nominal ex GST,2039,PREBU26,BEFU26,105.767358683128,104.840874026332,LT_FORECAST,LT_FORECAST,0.9264846567959921,0.8837055827704133,
fed_refunds,FED,$m nominal ex GST,2040,PREBU26,BEFU26,101.799259685884,100.944261351029,LT_FORECAST,LT_FORECAST,0.8549983348549972,0.847000437084561,
fed_refunds,FED,$m nominal ex GST,2041,PREBU26,BEFU26,97.1143517564045,96.3322291474112,LT_FORECAST,LT_FORECAST,0.7821226089933049,0.8119012877782279,
fed_refunds,FED,$m nominal ex GST,2042,PREBU26,BEFU26,91.6554462958942,90.5422688383918,LT_FORECAST,LT_FORECAST,1.1131774575023883,1.229456111254833,
fed_refunds,FED,$m nominal ex GST,2043,PREBU26,BEFU26,85.1354882910878,84.3336057989786,LT_FORECAST,LT_FORECAST,0.8018824921092005,0.9508457328631292,
fed_refunds,FED,$m nominal ex GST,2044,PREBU26,BEFU26,78.7094469078129,78.1830347453577,LT_FORECAST,LT_FORECAST,0.5264121624552018,0.6733074050780036,
fed_refunds,FED,$m nominal ex GST,2045,PREBU26,BEFU26,72.5467570745981,72.2614752287827,LT_FORECAST,LT_FORECAST,0.2852818458154047,0.3947910624744251,
fed_refunds,FED,$m nominal ex GST,2046,PREBU26,BEFU26,66.7560843668006,66.6787339973973,LT_FORECAST,LT_FORECAST,0.0773503694032911,0.11600455612476138,
fed_refunds,FED,$m nominal ex GST,2047,PREBU26,BEFU26,61.3416011282051,61.4417326492604,LT_FORECAST,LT_FORECAST,-0.1001315210553031,-0.1629698850240813,
fed_refunds,FED,$m nominal ex GST,2048,PREBU26,BEFU26,56.3751523252121,56.625431852433,LT_FORECAST,LT_FORECAST,-0.2502795272209042,-0.4419913791971381,
fed_refunds,FED,$m nominal ex GST,2049,PREBU26,BEFU26,51.7601990233199,52.1359432142043,LT_FORECAST,LT_FORECAST,-0.37574419088440436,-0.7207008595598474,
fed_refunds,FED,$m nominal ex GST,2050,PREBU26,BEFU26,47.4777142442936,47.9565731676092,LT_FORECAST,LT_FORECAST,-0.4788589233155989,-0.9985261491516026,
fed_refunds,FED,$m nominal ex GST,2051,PREBU26,BEFU26,43.6313524152093,44.1955622094394,LT_FORECAST,LT_FORECAST,-0.5642097942301021,-1.2766209230609056,
fed_refunds,FED,$m nominal ex GST,2052,PREBU26,BEFU26,40.1947414078375,41.0165274155865,LT_FORECAST,LT_FORECAST,-0.8217860077490045,-2.0035484706506903,
fed_refunds,FED,$m nominal ex GST,2053,PREBU26,BEFU26,37.4176130761201,38.1896060240801,LT_FORECAST,LT_FORECAST,-0.7719929479600012,-2.0214739776923287,
fed_refunds,FED,$m nominal ex GST,2054,PREBU26,BEFU26,34.6377525750924,35.3579907166122,LT_FORECAST,LT_FORECAST,-0.7202381415198005,-2.036988321232326,
fed_refunds,FED,$m nominal ex GST,2055,PREBU26,BEFU26,31.6356697863712,32.2963495079857,LT_FORECAST,LT_FORECAST,-0.6606797216145033,-2.045679253784213,
gross_cng_revenue,FED,$m nominal ex GST,2001,PREBU26,BEFU26,0.525,0.525,ACTUAL,ACTUAL,0.0,0.0,
gross_cng_revenue,FED,$m nominal ex GST,2002,PREBU26,BEFU26,0.389,0.389,ACTUAL,ACTUAL,0.0,0.0,
gross_cng_revenue,FED,$m nominal ex GST,2003,PREBU26,BEFU26,0.328,0.328,ACTUAL,ACTUAL,0.0,0.0,
gross_cng_revenue,FED,$m nominal ex GST,2004,PREBU26,BEFU26,0.268,0.268,ACTUAL,ACTUAL,0.0,0.0,
gross_cng_revenue,FED,$m nominal ex GST,2005,PREBU26,BEFU26,0.218,0.218,ACTUAL,ACTUAL,0.0,0.0,
gross_cng_revenue,FED,$m nominal ex GST,2006,PREBU26,BEFU26,0.165,0.165,ACTUAL,ACTUAL,0.0,0.0,
