FY,metric,unit,official_vintage,comparison_vintage,prebu26_value,befu26_value,delta_prebu26_minus_befu26
2015,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,10.200876958858522,10.202291310386821,-0.0014143515282984964
2015,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.051409944233344794,0.051409944233344794,0.0
2015,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.22088300230536706,0.22088300230536706,0.0
2015,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2015,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2015,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2016,ped_effective_rate,$/L,PREBU26,BEFU26,0.5952400000000008,0.5952400000000008,0.0
2016,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,10.091488912195192,10.092596792807237,-0.0011078806120448093
2016,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.05482046496475009,0.05482046496475009,0.0
2016,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.23055268144016125,0.23055268144016125,0.0
2016,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2016,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2016,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2017,ped_effective_rate,$/L,PREBU26,BEFU26,0.5952399999999994,0.5952399999999994,0.0
2017,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,9.961980885626826,9.962947609390852,-0.0009667237640265114
2017,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.05479654349238202,0.05479654349238202,0.0
2017,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.2340557877039107,0.2340557877039107,0.0
2017,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2017,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2017,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2018,ped_effective_rate,$/L,PREBU26,BEFU26,0.5952400000000002,0.5952400000000002,0.0
2018,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,9.792611601719711,9.793059651881876,-0.0004480501621646482
2018,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.05470477152422107,0.05470477152422107,0.0
2018,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.23565979235259274,0.23565979235259274,0.0
2018,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2018,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2018,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2019,ped_effective_rate,$/L,PREBU26,BEFU26,0.6216491521914482,0.6216491521914482,0.0
2019,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,9.782237161989421,9.78186466621593,0.0003724957734920764
2019,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.05845891032717095,0.05845891032717095,0.0
2019,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.2411950729661086,0.2411950729661086,0.0
2019,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2019,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2019,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2020,ped_effective_rate,$/L,PREBU26,BEFU26,0.6652400000000007,0.6652400000000007,0.0
2020,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,9.243908727099331,9.243135625608177,0.0007731014911538381
2020,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.06327574022736765,0.06327574022736765,0.0
