engine,series_id,FY,current_value,official_value,gap_current_minus_official,pct_gap,official_vintage,bridge_vintage
ensemble,gross_ped_revenue,2050,1203.4991142835852,1173.81303528753,29.68607899605513,2.5290295902007434,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2026,867.4389604921547,845.970361095652,21.46859939650267,2.5377484110315374,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2027,940.1600224373842,927.349804249879,12.810218187505257,1.3813792949325387,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2028,1087.4867913007602,1081.86693452579,5.619856774970231,0.5194591493300013,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2029,1191.438708351885,1195.76211378227,-4.323405430385037,-0.3615606633254031,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2030,1271.0591011588097,1298.42006406894,-27.36096291013041,-2.107250470574804,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2031,1310.719016883673,1405.24773189441,-94.52871501073696,-6.726836333925485,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2032,1344.1357973231457,1441.61314322734,-97.47734590419441,-6.761685432887482,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2033,1370.3210456910915,1470.61880351895,-100.2977578278585,-6.8201057668963845,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2034,1389.5902257790883,1493.34621410249,-103.75598832340165,-6.947885717563467,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2035,1401.3461782444524,1509.30644526934,-107.96026702488757,-7.152971973535949,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2036,1405.19139896096,1518.53129611383,-113.33989715286998,-7.463784081561264,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2037,1399.937010825852,1519.25088902639,-119.31387820053806,-7.853467722964454,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2038,1383.3719313103231,1508.86400167512,-125.49207036479697,-8.31699014791773,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2039,1357.4908614054643,1488.46788720319,-130.97702579772567,-8.799452572929178,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2040,1323.9203890290348,1459.71578461389,-135.7953955848552,-9.302865463003437,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2041,1287.4543701218176,1427.84456493736,-140.39019481554237,-9.832316364330689,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2042,1252.8590754971092,1397.19374190598,-144.33466640887082,-10.330325858171744,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2043,1219.653608833593,1349.4551893146,-129.80158048100702,-9.61881368931816,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2044,1186.8103014345006,1301.52345735757,-114.71315592306928,-8.813760157344127,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2045,1156.2863495692743,1254.77040268586,-98.48405311658576,-7.848770811439188,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2046,1127.5701592566531,1208.06152033504,-80.49136107838694,-6.6628528202821755,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2047,1097.7034098679635,1161.2384372336,-63.53502736563655,-5.471316254135976,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2048,1068.3144404517377,1114.07171819838,-45.75727774664233,-4.107211142621829,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2049,1036.8385303500654,1066.03794772491,-29.199417374844643,-2.739059846524293,PREBU26,BEFU26
ensemble,light_ruc_net_revenue,2050,1003.6051734850272,1017.55980838417,-13.954634899142775,-1.3713822798585158,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2026,1134.8364690215053,1137.31817426957,-2.4817052480646,-0.2182067695927261,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2027,1232.1435318108831,1257.72423891485,-25.580707103966915,-2.0338883765202502,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2028,1380.360386338277,1420.35531208263,-39.99492574435294,-2.815839487776437,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2029,1474.7667479653394,1536.68208302464,-61.91533505930056,-4.02915708742,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2030,1552.696507641898,1638.00399077145,-85.30748312955188,-5.208014364444536,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2031,1633.2789827734118,1737.74735928711,-104.4683765136981,-6.011712574637719,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2032,1711.4067764834583,1809.27730724118,-97.87053075772178,-5.409371485842411,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2033,1786.978507060167,1878.52358101138,-91.545073951213,-4.873245929759688,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2034,1860.477453788476,1941.74613557168,-81.2686817832041,-4.185340209742575,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2035,1928.7772795520905,1999.25821826078,-70.48093870868956,-3.525354457214798,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2036,1990.5868393754324,2055.23890704073,-64.65206766529741,-3.1457203074453166,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2037,2045.3528143313988,2108.70636264181,-63.35354831041104,-3.0043798146955387,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2038,2093.2404237140777,2159.93723314657,-66.6968094324925,-3.087904982096605,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2039,2133.399400344389,2208.2309236404,-74.8315232960108,-3.3887544321065204,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2040,2166.174006523967,2253.84999038202,-87.67598385805331,-3.890054095534216,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2041,2192.8110961070947,2297.26799067823,-104.45689457113531,-4.547005181589465,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2042,2214.9951148853866,2338.47407305887,-123.47895817348353,-5.2803218815235935,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2043,2233.9997445628405,2374.61975648902,-140.62001192617936,-5.921790701097015,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2044,2253.5471751065625,2407.79530099004,-154.24812588347731,-6.406197645624336,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2045,2277.7493296816506,2438.07017128915,-160.32084160749946,-6.5757271261281405,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2046,2302.814476116794,2463.5989530015,-160.78447688470578,-6.526406284140351,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2047,2324.1748742764235,2485.13803027839,-160.96315600196658,-6.477030814418593,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2048,2341.753977693091,2502.61187418864,-160.85789649554863,-6.427600626153811,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2049,2355.416200990437,2515.88206838458,-160.46586739414306,-6.378115628336125,PREBU26,BEFU26
ensemble,heavy_ruc_net_revenue,2050,2366.517744279803,2526.40307619564,-159.885331915837,-6.328575729752467,PREBU26,BEFU26
