pair_id,severity,policy_state,time_grain,period,june_year,stream,series_id,numerator_scenario_name,denominator_scenario_name,base_value,scenario_value,factor,delta,transformation_basis
baseline_delayed_6m,baseline,delay_6m,quarterly,2026Q3,2027,LIGHT_RUC,light_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,3040912069.613429,3040912069.613429,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2026Q4,2027,LIGHT_RUC,light_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,3260167746.318089,3260167746.318089,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2027Q1,2027,LIGHT_RUC,light_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,3279030169.5973287,3299456674.54637,1.0062294348915826,20426504.949041367,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2027Q2,2027,LIGHT_RUC,light_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,3317842381.032331,3338591983.2019906,1.0062539445177632,20749602.169659615,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2027Q3,2028,LIGHT_RUC,light_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,3196898489.827317,3196898489.827317,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2027Q4,2028,LIGHT_RUC,light_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,3426911185.398824,3426911185.398824,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2028Q1,2028,LIGHT_RUC,light_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,3441864725.292429,3441864725.292429,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2028Q2,2028,LIGHT_RUC,light_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,3476520855.4145393,3476520855.4145393,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2028Q3,2029,LIGHT_RUC,light_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,3342858765.2790956,3342858765.2790956,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2028Q4,2029,LIGHT_RUC,light_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,3577182034.591584,3577182034.591584,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2029Q1,2029,LIGHT_RUC,light_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,3588922602.7420716,3588922602.7420716,1.0,0.0,fixed_finalist_quarterly_replay_pair
