stream,period,period_label,year,quarter,period_index,trend_index,target,log_target,target_lag_1,target_lag_4,log_trend,nominal_gdp_sa_nzd,population,nominal_gdp_per_capita_nzd,gdp_deflator_sa,gdp_rebasing_factor,real_gdp_per_capita_nzd,log_real_gdp_per_capita,petrol_price_nominal_cents_per_litre,cpi_rebasing_factor,real_petrol_price_cents_per_litre,log_real_petrol_price,light_petrol_vkt_total_km,log_total_vkt,unemployment_percent,unemployment_rate,log_unemployment_rate,post_2011_dummy,dummy_2020,post_2020_dummy,q2_dummy,q3_dummy,q4_dummy,post_2011_x_log_trend,data_status,notes,log_target_lag_1,log_target_lag_4,diff_log_target_lag_1_lag_4,real_gdp_sa_nzd,log_real_gdp,diesel_price_nominal_cents_per_litre,real_diesel_price_cents_per_litre,log_real_diesel_price,light_ruc_revenue_nzd,light_ruc_price_nominal_nzd_per_1000km,real_light_ruc_price_nzd_per_1000km,log_real_light_ruc_price,lagged_real_light_ruc_price_nzd_per_1000km,log_lagged_real_light_ruc_price,diesel_x_ruc_price,gdp_x_post2020,ruc_x_post2020,diesel_x_post2020,time_trend,log_real_diesel_price_diff1,log_real_diesel_price_lag1,log_real_diesel_price_lag4,log_real_light_ruc_price_diff1,log_real_light_ruc_price_lag1,log_real_light_ruc_price_lag4,log_real_gdp_diff1,log_real_gdp_lag1,log_real_gdp_lag4,heavy_ruc_revenue_nzd,heavy_ruc_price_nominal_nzd_per_1000km,real_heavy_ruc_price_nzd_per_1000km,log_real_heavy_ruc_price,lead_real_heavy_ruc_price_nzd_per_1000km,log_lead_real_heavy_ruc_price
LIGHT_RUC,2020Q3,Sep 2020,2020,3,75,75,2778045013.0,21.74501328453102,2631289175.0,2839219834.0,4.31748811353631,84045000000.0,,,1250.0,1.2488,,,,1.2703984819734346,,,,,,,,,,0.0,0,1,0,,Historical official/source data,No special note,21.69073974364518,21.7667951450428,-0.07605540139761757,104955396000.0,25.376801296850854,114.3000000350327,145.20654653406905,4.978157187697128,212541056.7,76.50742004013742,97.19491027869451,4.576718346707467,93.11162894157124,4.533799084555389,22.78362333372709,0.0,0.0,0.0,75.0,-0.02314979199999989,5.0013069796971275,5.210898871697127,0.0429192621520782,4.533799084555389,4.536944270087894,0.13140384604708188,25.24539745080377,25.351601029986742,,,,,,
LIGHT_RUC,2020Q4,Dec 2020,2020,4,76,76,3098962585.0,21.854333242429703,2778045013.0,3102749444.0,4.330733340286331,84539000000.0,,,1252.0,1.2468051118210863,,,,1.2644003777148254,,,,,,,,,,0.0,0,0,1,,Historical official/source data,No special note,21.74501328453102,21.855554472778014,-0.11054118824699444,105403657348.24281,25.381063172150352,113.69999998304404,143.7623229247365,4.968161400697127,238134190.3,76.84319631758316,97.16056644876663,4.576364934178387,97.19491027869451,4.576718346707467,22.73611962148891,0.0,0.0,0.0,76.0,-0.009995787000000256,4.978157187697128,5.204690634697127,-0.0003534125290798329,4.576718346707467,4.53784303739493,0.004261875299498286,25.376801296850854,25.3585037858309,,,,,,
LIGHT_RUC,2021Q1,Mar 2021,2021,1,77,77,3057690721.0,21.84092580166684,3098962585.0,2812678357.0,4.343805421853684,86716000000.0,,,1258.0,1.240858505564388,,,,1.25374531835206,,,,,,,,,,1.0,0,0,0,,Historical official/source data,No special note,21.854333242429703,21.757403018288475,0.09693022414122865,107602286168.52147,25.401707731367726,127.99999994962913,160.47940068591143,5.078165589697127,235198247.1,76.92022135681525,96.43836741271126,4.568904124641179,97.16056644876663,4.576364934178387,23.201651708378108,25.401707731367726,4.568904124641179,5.078165589697127,77.0,0.11000418899999964,4.968161400697127,5.169931863697127,-0.0074608095372079575,4.576364934178387,4.530105918477527,0.020644559217373626,25.381063172150352,25.350624314987442,,,,,,
LIGHT_RUC,2021Q2,Jun 2021,2021,2,78,78,3063464694.0,21.842812365336954,3057690721.0,2631289175.0,4.356708826689592,88442000000.0,,,1273.0,1.2262372348782404,,,,1.2375231053604436,,,,,,,,,,1.0,1,0,0,,Historical official/source data,No special note,21.84092580166684,21.69073974364518,0.15018605802166007,108450873527.10133,25.409563128839704,139.6000000117417,172.75822552284856,5.151893076697127,235527731.6,76.88279615603103,95.1442366478055,4.555394020681221,96.43836741271126,4.568904124641179,23.468902916775072,25.409563128839704,4.555394020681221,5.151893076697127,78.0,0.0737274870000002,5.078165589697127,5.0013069796971275,-0.013510103959958109,4.568904124641179,4.533799084555389,0.007855397471978165,25.401707731367726,25.24539745080377,,,,,,
LIGHT_RUC,2021Q3,Sep 2021,2021,3,79,79,2623042829.0,21.68760086594794,3063464694.0,2778045013.0,4.3694478524670215,86465000000.0,,,1302.0,1.1989247311827957,,,,1.2106690777576854,,,,,,,,,,1.0,0,1,0,,Historical official/source data,No special note,21.842812365336954,21.74501328453102,0.09779908080593458,103665026881.72043,25.364430642471213,152.1999999483509,184.26383357218975,5.2163686086971275,201332032.6,76.75514496907972,92.9250805728732,4.531793583257174,95.1442366478055,4.555394020681221,23.63950578879779,25.364430642471213,4.531793583257174,5.2163686086971275,79.0,0.06447553200000034,5.151893076697127,4.978157187697128,-0.02360043742404727,4.555394020681221,4.576718346707467,-0.04513248636849099,25.409563128839704,25.376801296850854,,,,,,
LIGHT_RUC,2021Q4,Dec 2021,2021,4,80,80,2915860475.0,21.793430801868507,2623042829.0,3098962585.0,4.382026634673881,91173000000.0,,,1320.0,1.1825757575757576,,,,1.1934046345811051,,,,,,,,,,1.0,0,0,1,,Historical official/source data,No special note,21.68760086594794,21.854333242429703,-0.16673237648176453,107818979545.45454,25.403719542497903,170.50000006223667,203.47549027035194,5.315545556697127,223598889.3,76.68367235575631,91.51464998605856,4.516499068602628,92.9250805728732,4.531793583257174,24.007656555937412,25.403719542497903,4.516499068602628,5.315545556697127,80.0,0.09917694799999932,5.2163686086971275,4.968161400697127,-0.015294514654545566,4.531793583257174,4.576364934178387,0.0392889000266905,25.364430642471213,25.381063172150352,,,,,,
LIGHT_RUC,2022Q1,Mar 2022,2022,1,81,81,2912022134.0,21.7921135682135,2915860475.0,3057690721.0,4.394449154672439,92559000000.0,,,1339.0,1.1657953696788648,,,,1.1725043782837128,,,,,,,,,,1.0,0,0,0,,Historical official/source data,No special note,21.793430801868507,21.84092580166684,-0.04749499979833516,107904853622.10605,25.404515690794792,198.4000000736337,232.62486873782444,5.449427150697127,223660744.3,76.8059904794666,90.05536011559175,4.500424593621642,91.51464998605856,4.516499068602628,24.52473597014686,25.404515690794792,4.500424593621642,5.449427150697127,81.0,0.133881594,5.315545556697127,5.078165589697127,-0.016074474980985798,4.516499068602628,4.568904124641179,0.0007961482968887879,25.403719542497903,25.401707731367726,,,,,,
LIGHT_RUC,2022Q2,Jun 2022,2022,2,82,82,4193282770.0,22.156749741449282,2912022134.0,3063464694.0,4.406719247264253,95107000000.0,,,1358.0,1.1494845360824741,,,,1.1533161068044788,,,,,,,,,,1.0,1,0,0,,Historical official/source data,No special note,21.7921135682135,21.842812365336954,-0.050698797123452266,109324025773.19586,25.41758202291546,257.2000000875462,296.63290277108035,5.692495356697127,217349024.2,51.83266574698467,59.77944826461022,4.090661927382123,90.05536011559175,4.500424593621642,23.286074027440456,25.41758202291546,4.090661927382123,5.692495356697127,82.0,0.24306820600000023,5.449427150697127,5.151893076697127,-0.4097626662395193,4.500424593621642,4.555394020681221,0.013066332120668989,25.404515690794792,25.409563128839704,,,,,,
LIGHT_RUC,2022Q3,Sep 2022,2022,3,83,83,2905714827.0,21.78994526479468,4193282770.0,2623042829.0,4.418840607796598,97704000000.0,,,1364.0,1.1444281524926687,,,,1.1290050590219225,,,,,,,,,,1.0,0,1,0,,Historical official/source data,No special note,22.156749741449282,21.68760086594794,0.4691488755013431,111815208211.1437,25.440113418927222,263.599999982938,297.60573353891573,5.695769568697127,143279019.9,49.30938802687949,55.670548539621954,4.019451255562032,59.77944826461022,4.090661927382123,22.89386814429168,25.440113418927222,4.019451255562032,5.695769568697127,83.0,0.0032742119999999986,5.692495356697127,5.2163686086971275,-0.07121067182009089,4.090661927382123,4.531793583257174,0.022531396011761018,25.41758202291546,25.364430642471213,,,,,,
LIGHT_RUC,2022Q4,Dec 2022,2022,4,84,84,3081592238.0,21.84871226074352,2905714827.0,2915860475.0,4.430816798843313,99981000000.0,,,1392.0,1.1214080459770115,,,,1.113050706566916,,,,,,,,,,1.0,0,0,1,,Historical official/source data,No special note,21.78994526479468,21.793430801868507,-0.003485537073824929,112119497844.82759,25.442831084503283,252.6999998955048,281.2679134331512,5.639307643697127,152687391.9,49.54821407490838,55.14967468520558,4.0100508469551075,55.670548539621954,4.019451255562032,22.613910392848076,25.442831084503283,4.0100508469551075,5.639307643697127,84.0,-0.0564619249999998,5.695769568697127,5.315545556697127,-0.009400408606924593,4.019451255562032,4.516499068602628,0.0027176655760605684,25.440113418927222,25.403719542497903,,,,,,
