engine,scenario_name,stream,series_id,period,value
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2027Q3,1014475743.3591378
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2027Q3,1016505874.2660316
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2027Q4,1070992030.8767709
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2027Q4,1073108731.409134
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2028Q1,1037916937.6171612
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2028Q1,1039954659.9865216
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2028Q2,1010733601.6561592
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2028Q2,1012382774.2114697
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2028Q3,1023718834.664518
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2028Q3,1025119871.4576668
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2028Q4,1080649201.0564692
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2028Q4,1081989075.023676
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2029Q1,1047581920.2963628
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2029Q1,1048800790.433174
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2029Q2,1019836095.3183956
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2029Q2,1020973689.232304
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2029Q3,1032505738.2550392
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2029Q3,1033696651.5590376
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2029Q4,1089424993.4314303
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2029Q4,1090777613.559407
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2030Q1,1055840917.0979284
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2030Q1,1057235557.764396
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2030Q2,1027619618.1451292
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2030Q2,1029138077.3938231
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2030Q3,1041239245.4337618
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2030Q3,1042963578.5089072
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2030Q4,1098554969.4840002
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2030Q4,1100580897.459659
ar1,current_basecase,PED,ped_vkt_per_capita,2026Q1,1529.2601127833796
ar1,current_comparison_1,PED,ped_vkt_per_capita,2026Q1,1529.1078449030715
ar1,current_basecase,PED,ped_vkt_per_capita,2026Q2,1504.838393129758
ar1,current_comparison_1,PED,ped_vkt_per_capita,2026Q2,1504.4587095412476
ar1,current_basecase,PED,ped_vkt_per_capita,2026Q3,1499.4323964428513
ar1,current_comparison_1,PED,ped_vkt_per_capita,2026Q3,1498.7825032991202
ar1,current_basecase,PED,ped_vkt_per_capita,2026Q4,1509.7475768585184
ar1,current_comparison_1,PED,ped_vkt_per_capita,2026Q4,1508.796919508926
ar1,current_basecase,PED,ped_vkt_per_capita,2027Q1,1484.7798777688954
ar1,current_comparison_1,PED,ped_vkt_per_capita,2027Q1,1483.5393993395269
ar1,current_basecase,PED,ped_vkt_per_capita,2027Q2,1472.8188261278915
ar1,current_comparison_1,PED,ped_vkt_per_capita,2027Q2,1471.2533653155597
ar1,current_basecase,PED,ped_vkt_per_capita,2027Q3,1477.2845003674768
ar1,current_comparison_1,PED,ped_vkt_per_capita,2027Q3,1475.3453364073227
ar1,current_basecase,PED,ped_vkt_per_capita,2027Q4,1494.6307076919834
ar1,current_comparison_1,PED,ped_vkt_per_capita,2027Q4,1492.267256485487
ar1,current_basecase,PED,ped_vkt_per_capita,2028Q1,1474.4051031600277
ar1,current_comparison_1,PED,ped_vkt_per_capita,2028Q1,1471.7266733356512
ar1,current_basecase,PED,ped_vkt_per_capita,2028Q2,1465.1850742916208
ar1,current_comparison_1,PED,ped_vkt_per_capita,2028Q2,1462.1760844363826
ar1,current_basecase,PED,ped_vkt_per_capita,2028Q3,1471.1013064089072
ar1,current_comparison_1,PED,ped_vkt_per_capita,2028Q3,1467.711474950192
ar1,current_basecase,PED,ped_vkt_per_capita,2028Q4,1489.101525742804
ar1,current_comparison_1,PED,ped_vkt_per_capita,2028Q4,1485.2739818012012
ar1,current_basecase,PED,ped_vkt_per_capita,2029Q1,1469.3778416804266
ar1,current_comparison_1,PED,ped_vkt_per_capita,2029Q1,1465.1836522709834
ar1,current_basecase,PED,ped_vkt_per_capita,2029Q2,1460.3917283195717
ar1,current_comparison_1,PED,ped_vkt_per_capita,2029Q2,1455.7918045382523
ar1,current_basecase,PED,ped_vkt_per_capita,2029Q3,1466.3325366095237
ar1,current_comparison_1,PED,ped_vkt_per_capita,2029Q3,1461.270188035251
ar1,current_basecase,PED,ped_vkt_per_capita,2029Q4,1484.2084230589312
ar1,current_comparison_1,PED,ped_vkt_per_capita,2029Q4,1478.6284450911687
ar1,current_basecase,PED,ped_vkt_per_capita,2030Q1,1464.4822942104597
ar1,current_comparison_1,PED,ped_vkt_per_capita,2030Q1,1458.5157313953375
ar1,current_basecase,PED,ped_vkt_per_capita,2030Q2,1455.4494965544038
ar1,current_comparison_1,PED,ped_vkt_per_capita,2030Q2,1449.0580533426105
ar1,current_basecase,PED,ped_vkt_per_capita,2030Q3,1461.282757943271
ar1,current_comparison_1,PED,ped_vkt_per_capita,2030Q3,1454.4014721916474
ar1,current_basecase,PED,ped_vkt_per_capita,2030Q4,1478.9996668126607
