scenario_name,series_id,FY,fed_path,component_type,value_before,value_after,abs_change,pct_change,engine
current_comparison_1,total_ruc_net_revenue,2029,Current planned path,calculated_rollup,2968.2311604815154,2968.2308783986555,-0.00028208285993969184,-9.503399320622033e-06,ensemble
current_comparison_1,total_ruc_net_revenue,2030,Current planned path,calculated_rollup,3233.878719632444,3233.87870892825,-1.0704193755373126e-05,-3.3100170672417e-07,ensemble
current_basecase,gross_ped_revenue,2026,Current planned path,replacement_line,2134.5983796474093,2134.5983796474093,0.0,0.0,ar1
current_basecase,gross_ped_revenue,2027,Current planned path,replacement_line,2206.0674218310605,2206.0674218310605,0.0,0.0,ar1
current_basecase,gross_ped_revenue,2028,Current planned path,replacement_line,2441.122287423288,2441.122287423288,0.0,0.0,ar1
current_basecase,gross_ped_revenue,2029,Current planned path,replacement_line,2570.618929809308,2570.618929809308,0.0,0.0,ar1
current_basecase,gross_ped_revenue,2030,Current planned path,replacement_line,2670.7639693881997,2670.7639693881997,0.0,0.0,ar1
current_basecase,heavy_ruc_net_revenue,2026,Current planned path,replacement_line,1129.3227625959253,1134.8353401385034,5.5125775425781285,0.48813126992203765,ar1
current_basecase,heavy_ruc_net_revenue,2027,Current planned path,replacement_line,1231.4061163927752,1232.1203935629142,0.7142771701389847,0.05800500424923628,ar1
current_basecase,heavy_ruc_net_revenue,2028,Current planned path,replacement_line,1380.1167259757658,1380.3167194555558,0.1999934797900096,0.014491055432185334,ar1
current_basecase,heavy_ruc_net_revenue,2029,Current planned path,replacement_line,1474.75571933762,1474.755307492383,-0.0004118452368402359,-2.7926335964658227e-05,ar1
current_basecase,heavy_ruc_net_revenue,2030,Current planned path,replacement_line,1552.6890410773983,1552.689025066263,-1.601113535798504e-05,-1.0311875033828437e-06,ar1
current_basecase,light_ruc_net_revenue,2026,Current planned path,replacement_line,878.4879744480047,867.440868646173,-11.047105801831663,-1.2575136055531184,ar1
current_basecase,light_ruc_net_revenue,2027,Current planned path,replacement_line,926.0579915629984,939.6893927655568,13.631401202558436,1.4719813798649253,ar1
current_basecase,light_ruc_net_revenue,2028,Current planned path,replacement_line,1087.3404941589715,1087.3404941589715,0.0,0.0,ar1
current_basecase,light_ruc_net_revenue,2029,Current planned path,replacement_line,1191.3931534415976,1191.3931534415976,0.0,0.0,ar1
current_basecase,light_ruc_net_revenue,2030,Current planned path,replacement_line,1271.029669278332,1271.029669278332,0.0,0.0,ar1
current_basecase,net_fed_revenue,2026,Current planned path,calculated_rollup,2103.3760175919992,2103.3760175919992,0.0,0.0,ar1
current_basecase,net_fed_revenue,2027,Current planned path,calculated_rollup,2166.595149747445,2166.595149747445,0.0,0.0,ar1
current_basecase,net_fed_revenue,2028,Current planned path,calculated_rollup,2391.8639492840216,2391.8639492840216,0.0,0.0,ar1
current_basecase,net_fed_revenue,2029,Current planned path,calculated_rollup,2515.8449596707164,2515.8449596707164,0.0,0.0,ar1
current_basecase,net_fed_revenue,2030,Current planned path,calculated_rollup,2611.595754844779,2611.595754844779,0.0,0.0,ar1
current_basecase,total_fed_ruc_net_revenue,2026,Current planned path,calculated_rollup,4183.757742368259,4176.875890655612,-6.881851712646494,-0.16448972757086436,ar1
current_basecase,total_fed_ruc_net_revenue,2027,Current planned path,calculated_rollup,4429.379702666784,4445.801733255384,16.422030588599227,0.3707523782328271,ar1
current_basecase,total_fed_ruc_net_revenue,2028,Current planned path,calculated_rollup,5051.358893897441,5051.55888737723,0.19999347978955484,0.003959201553292273,ar1
current_basecase,total_fed_ruc_net_revenue,2029,Current planned path,calculated_rollup,5457.478950182074,5457.478538336837,-0.00041184523706760956,-7.546437481978184e-06,ar1
current_basecase,total_fed_ruc_net_revenue,2030,Current planned path,calculated_rollup,5806.848467598518,5806.848451587382,-1.601113581273239e-05,-2.7572849372723446e-07,ar1
current_basecase,total_nltf_net_revenue,2026,Current planned path,calculated_rollup,4626.293013383262,4619.411161670616,-6.881851712646494,-0.14875520622533409,ar1
current_basecase,total_nltf_net_revenue,2027,Current planned path,calculated_rollup,4943.087354510058,4959.509385098658,16.422030588600137,0.3322221399469449,ar1
current_basecase,total_nltf_net_revenue,2028,Current planned path,calculated_rollup,5559.1673038668505,5559.367297346641,0.19999347979046433,0.003597543820121274,ar1
current_basecase,total_nltf_net_revenue,2029,Current planned path,calculated_rollup,5959.879959868596,5959.8795480233575,-0.00041184523888659896,-6.910294194846155e-06,ar1
current_basecase,total_nltf_net_revenue,2030,Current planned path,calculated_rollup,6304.290085580202,6304.290069569067,-1.601113490323769e-05,-2.5397205214049314e-07,ar1
current_basecase,total_ruc_net_revenue,2026,Current planned path,calculated_rollup,2080.3817247762595,2073.4998730636125,-6.881851712646949,-0.3307975469447597,ar1
current_basecase,total_ruc_net_revenue,2027,Current planned path,calculated_rollup,2262.7845529193387,2279.2065835079384,16.422030588599682,0.7257443298087194,ar1
current_basecase,total_ruc_net_revenue,2028,Current planned path,calculated_rollup,2659.4949446134187,2659.6949380932087,0.1999934797900096,0.007519979693703852,ar1
current_basecase,total_ruc_net_revenue,2029,Current planned path,calculated_rollup,2941.6339905113578,2941.6335786661207,-0.00041184523706760956,-1.4000560178325128e-05,ar1
current_basecase,total_ruc_net_revenue,2030,Current planned path,calculated_rollup,3195.2527127537387,3195.252696742604,-1.601113490323769e-05,-5.010913484035177e-07,ar1
current_comparison_1,gross_ped_revenue,2026,Current planned path,replacement_line,2136.7533957180253,2136.7533957180253,0.0,0.0,ar1
