page,chart_id,chart_title,stream,stream_label,model,model_short,metric_name,metric_value,metric_display,source_column,source_file,calculation_basis,notes,horizon,stress_bucket,scenario,scenario_role,component_model,component_short,component_rank,weight,weight_pct,lag,acf_value,diagnostic_test,pass_status,quarterly_mape,annual_mape,fitted,residual_pct,abs_error_pct,horizon_bucket,point_type,x_metric,y_metric,value_available,paired_common_pairs,paired_model_mape,paired_schiff_mape,paired_gain_pp,paired_win_rate_pct,recommendation
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff__GBR_learning_rate0_08_max_depth1_n_estimators650__noylag__w52,Schiff | GBM Learning Rate0 08 Max Depth1 N Estimators650 |…,Candidate frontier point,4.5490702097866205,Qtr 4.55% / Annual 4.26%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.5490702097866205,4.256147843664379,,,,,Distribution sample,4.5490702097866205,4.256147843664379,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_05_max_depth2_n_estimators650__ylag__w40,Dynamic No Leads | GBM Learning Rate0 05 Max Depth2 N Estim…,Candidate frontier point,4.641665198778265,Qtr 4.64% / Annual 3.78%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.641665198778265,3.775505938207306,,,,,Distribution sample,4.641665198778265,3.775505938207306,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__dynamic_no_leads__GBRLocal_learning_rate0_055_max_depth1_n_estimators180__ylag__w40,Dynamic No Leads | Gbmlocal Learning Rate0 055 Max Depth1 N…,Candidate frontier point,4.648899703340275,Qtr 4.65% / Annual 3.70%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.648899703340275,3.702496834361636,,,,,Distribution sample,4.648899703340275,3.702496834361636,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__price_distributed_lags__GBR_learning_rate0_06_max_depth1_n_estimators250__noylag__w40,Price Distributed Lags | GBM Learning Rate0 06 Max Depth1 N…,Candidate frontier point,4.757767364870676,Qtr 4.76% / Annual 3.64%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.757767364870676,3.637677567293739,,,,,Distribution sample,4.757767364870676,3.637677567293739,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__rich__Elastic_alpha0_005_l1_ratio0_5__ylag__w64,Rich | Elasticnet Alpha0 005 L1 Ratio0 5 | Target Lags | W64,Candidate frontier point,4.688575388415291,Qtr 4.69% / Annual 4.07%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.688575388415291,4.070696528999859,,,,,Distribution sample,4.688575388415291,4.070696528999859,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__dynamic_no_leads__GBRLocal_learning_rate0_045_max_depth2_n_estimators450__ylag__w40,Dynamic No Leads | Gbmlocal Learning Rate0 045 Max Depth2 N…,Candidate frontier point,4.703088155720195,Qtr 4.70% / Annual 3.83%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.703088155720195,3.826573821344656,,,,,Distribution sample,4.703088155720195,3.826573821344656,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff__GBR_learning_rate0_08_max_depth1_n_estimators650__noylag__w40,Schiff | GBM Learning Rate0 08 Max Depth1 N Estimators650 |…,Candidate frontier point,4.620886426060249,Qtr 4.62% / Annual 4.36%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.620886426060249,4.356418582476696,,,,,Distribution sample,4.620886426060249,4.356418582476696,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__noylag__w52,Dynamic No Leads | GBM Learning Rate0 08 Max Depth1 N Estim…,Candidate frontier point,4.829017190176678,Qtr 4.83% / Annual 3.53%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.829017190176678,3.528474391996339,,,,,Distribution sample,4.829017190176678,3.528474391996339,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_06_max_depth2_n_estimators150__ylag__w52,Dynamic No Leads | GBM Learning Rate0 06 Max Depth2 N Estim…,Candidate frontier point,4.697580966282971,Qtr 4.70% / Annual 3.88%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.697580966282971,3.880932689116128,,,,,Distribution sample,4.697580966282971,3.880932689116128,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__rich__GBR_learning_rate0_08_max_depth2_n_estimators150__ylag__w52,Rich | GBM Learning Rate0 08 Max Depth2 N Estimators150 | T…,Candidate frontier point,4.719332485615273,Qtr 4.72% / Annual 3.80%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.719332485615273,3.7960987924556897,,,,,Distribution sample,4.719332485615273,3.7960987924556897,,,,,,,
