page,chart_id,chart_title,stream,stream_label,model,model_short,metric_name,metric_value,metric_display,source_column,source_file,calculation_basis,notes,horizon,stress_bucket,scenario,scenario_role,component_model,component_short,component_rank,weight,weight_pct,lag,acf_value,diagnostic_test,pass_status,quarterly_mape,annual_mape,fitted,residual_pct,abs_error_pct,horizon_bucket,point_type,x_metric,y_metric,value_available,paired_common_pairs,paired_model_mape,paired_schiff_mape,paired_gain_pp,paired_win_rate_pct,recommendation
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,LIGHT_RUC,Light RUC volume,,,Horizon MAPE,6.959342945319908,6.96%,ape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,quarterly_predictions_selected.csv grouped mean APE,,1,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,LIGHT_RUC,Light RUC volume,,,Horizon MAPE,7.7904544274980845,7.79%,ape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,quarterly_predictions_selected.csv grouped mean APE,,2,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,LIGHT_RUC,Light RUC volume,,,Horizon MAPE,7.981559905447895,7.98%,ape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,quarterly_predictions_selected.csv grouped mean APE,,3,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,LIGHT_RUC,Light RUC volume,,,Horizon MAPE,8.262543787909635,8.26%,ape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,quarterly_predictions_selected.csv grouped mean APE,,4,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,LIGHT_RUC,Light RUC volume,,,Horizon MAPE,9.064342421443193,9.06%,ape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,quarterly_predictions_selected.csv grouped mean APE,,5,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,LIGHT_RUC,Light RUC volume,,,Horizon MAPE,9.468933527670703,9.47%,ape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,quarterly_predictions_selected.csv grouped mean APE,,6,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,LIGHT_RUC,Light RUC volume,,,Horizon MAPE,9.661955896442997,9.66%,ape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,quarterly_predictions_selected.csv grouped mean APE,,7,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,LIGHT_RUC,Light RUC volume,,,Horizon MAPE,9.783360216185482,9.78%,ape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,quarterly_predictions_selected.csv grouped mean APE,,8,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,LIGHT_RUC,Light RUC volume,,,Horizon MAPE,10.092956853401656,10.09%,ape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,quarterly_predictions_selected.csv grouped mean APE,,9,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,LIGHT_RUC,Light RUC volume,,,Horizon MAPE,10.287473135633851,10.29%,ape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,quarterly_predictions_selected.csv grouped mean APE,,10,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
