series_id,path,FY,value,unit,source_file,source_status,value_status,quarters_present,actual_quarters,forecast_quarters,model_training_cutoff,revenue_actual_cutoff,last_complete_actual_fy,first_forecast_quarter,last_actual_to_first_forecast_ratio,source_derived_tolerance,discontinuity_flag,nowcast_components,notes
heavy_ruc_net_km,current_finalist_model,2026,4045.112836987535,million km,data/current_revenue_outlook/revenue_chart_rows.csv,source_backed,actual_plus_forecast_to_go_nowcast,2025Q3; 2025Q4; 2026Q1; 2026Q2,2025Q3; 2025Q4,2026Q1; 2026Q2,2025Q4,2026Q1,2025,2026Q1,1.0158818201925115,0.15,False,actual: 2025Q3; 2025Q4; forecast: 2026Q1; 2026Q2,actual-plus-forecast-to-go nowcast where source actual quarters and current forecast quarters both exist
heavy_ruc_net_km,current_finalist_model,2027,4100.270092100126,million km,data/current_revenue_outlook/revenue_chart_rows.csv,source_backed,current_model_forecast,2026Q3; 2026Q4; 2027Q1; 2027Q2,,2026Q3; 2026Q4; 2027Q1; 2027Q2,2025Q4,2026Q1,2025,2026Q1,1.0158818201925115,0.15,False,actual: none; forecast: 2026Q3; 2026Q4; 2027Q1; 2027Q2,
heavy_ruc_net_km,legacy_workbook_in_house_model,2024,4120.34478140499,million km,annual_model_paths.csv,registered,,2023Q3; 2023Q4; 2024Q1; 2024Q2,2023Q3; 2023Q4; 2024Q1; 2024Q2,,2025Q4,2026Q1,2025,2026Q1,1.0158818201925115,0.15,False,actual: 2023Q3; 2023Q4; 2024Q1; 2024Q2; forecast: none,
heavy_ruc_net_km,legacy_workbook_in_house_model,2025,4108.162274312818,million km,annual_model_paths.csv,registered,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,2025Q4,2026Q1,2025,2026Q1,1.0158818201925115,0.15,False,actual: 2024Q3; 2024Q4; 2025Q1; 2025Q2; forecast: none,
heavy_ruc_net_km,legacy_workbook_in_house_model,2026,4142.678703859586,million km,annual_model_paths.csv,registered,,2025Q3; 2025Q4; 2026Q1; 2026Q2,2025Q3; 2025Q4; 2026Q1,,2025Q4,2026Q1,2025,2026Q1,1.0158818201925115,0.15,False,actual: 2025Q3; 2025Q4; 2026Q1; forecast: none,
heavy_ruc_net_km,legacy_workbook_in_house_model,2027,4192.825425159582,million km,annual_model_paths.csv,registered,,2026Q3; 2026Q4; 2027Q1; 2027Q2,,,2025Q4,2026Q1,2025,2026Q1,1.0158818201925115,0.15,False,actual: none; forecast: none,
heavy_ruc_net_revenue,actual_or_actual_to_date,2024,1089.56171388,$m nominal ex GST,annual_model_paths.csv,registered,Actual,2023Q3; 2023Q4; 2024Q1; 2024Q2,2023Q3; 2023Q4; 2024Q1; 2024Q2,,2025Q4,2026Q1,2025,2026Q1,0.9864010628447378,0.15,False,actual: 2023Q3; 2023Q4; 2024Q1; 2024Q2; forecast: none,
heavy_ruc_net_revenue,actual_or_actual_to_date,2025,1146.29680501,$m nominal ex GST,annual_model_paths.csv,registered,Actual,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,2025Q4,2026Q1,2025,2026Q1,0.9864010628447378,0.15,False,actual: 2024Q3; 2024Q4; 2025Q1; 2025Q2; forecast: none,
heavy_ruc_net_revenue,actual_or_actual_to_date,2026,893.7839354,$m nominal ex GST,annual_model_paths.csv,registered,Actual,2025Q3; 2025Q4; 2026Q1; 2026Q2,2025Q3; 2025Q4; 2026Q1,,2025Q4,2026Q1,2025,2026Q1,0.9864010628447378,0.15,False,actual: 2025Q3; 2025Q4; 2026Q1; forecast: none,not connected as complete actual; FY2026 is partial actual-to-date only
heavy_ruc_net_revenue,actual_or_actual_to_date,2027,,,,,forecast_only,2026Q3; 2026Q4; 2027Q1; 2027Q2,,,2025Q4,2026Q1,2025,2026Q1,0.9864010628447378,0.15,False,actual: none; forecast: none,forecast-only year; no actual value shown
