series,horizon_june_years,n,p10,p25,median,p75,p90,mean_error,80_band_width,50_band_width,key,source_sheet,source_workbook_sheet,source_workbook_row,source_cell
Total RUC+PED revenue,11,3,-0.0007026669677700891,0.017088908431983935,0.04674153409824064,0.07163190736993744,0.08656613133295551,0.04356669916853404,0.0872687983007256,0.0545429989379535,Total RUC+PED revenue11,Error bands,Error bands,16,A16:L16
Total RUC+PED revenue,12,2,0.06979015773388765,0.07302825542751343,0.07842508491688974,0.08382191440626606,0.08706001209989184,0.07842508491688974,0.017269854366004186,0.010793658978752632,Total RUC+PED revenue12,Error bands,Error bands,17,A17:L17
Total RUC+PED revenue,13,1,0.06234918890278076,0.06234918890278076,0.06234918890278076,0.06234918890278076,0.06234918890278076,0.06234918890278076,0,0,Total RUC+PED revenue13,Error bands,Error bands,18,A18:L18
PED revenue,0,27,-0.05533591047454068,-0.030124473446120487,-0.015991101863179598,0.0013960842344222092,0.02832857820090667,-0.022184733564318455,0.08366448867544735,0.031520557680542696,PED revenue0,Error bands,Error bands,19,A19:L19
PED revenue,1,52,-0.07075998592125736,-0.043396286884354665,-0.004844393275572966,0.02516360305054801,0.09751049477298979,-0.001761744416081691,0.16827048069424716,0.06855988993490267,PED revenue1,Error bands,Error bands,20,A20:L20
PED revenue,2,48,-0.04636985729871431,-0.023838793888352833,0.019533997708696904,0.048312697503549704,0.1264006157432494,0.025822049568506214,0.17277047304196372,0.07215149139190254,PED revenue2,Error bands,Error bands,21,A21:L21
PED revenue,3,43,-0.04893317307472833,-0.030096127745119165,0.046233693806118074,0.08881562139324456,0.12737504150250628,0.03623459413164858,0.1763082145772346,0.11891174913836372,PED revenue3,Error bands,Error bands,22,A22:L22
PED revenue,4,39,-0.05005298153317139,-0.024703403361810185,0.014663731696023977,0.10452848946551642,0.13518579516349738,0.03992999992719776,0.18523877669666877,0.1292318928273266,PED revenue4,Error bands,Error bands,23,A23:L23
PED revenue,5,34,-0.06443231839941582,-0.025818515848074028,0.0371769465955736,0.11810468768905392,0.14062211649289572,0.0406971875858705,0.20505443489231154,0.14392320353712795,PED revenue5,Error bands,Error bands,24,A24:L24
PED revenue,6,29,-0.05444052472523771,-0.02347426693613836,0.026316355478686,0.10654936801409812,0.12313579076473238,0.03709542024294983,0.1775763154899701,0.13002363495023647,PED revenue6,Error bands,Error bands,25,A25:L25
PED revenue,7,25,-0.06294758621689704,-0.008300502639666415,0.04244784305964942,0.07578547852087432,0.12318127431061643,0.03451551068379956,0.18612886052751348,0.08408598116054074,PED revenue7,Error bands,Error bands,26,A26:L26
PED revenue,8,21,-0.020107208395523036,0.014209629908643865,0.03653519365882684,0.0824132728498971,0.11763141712231275,0.04684356867363768,0.13773862551783578,0.06820364294125324,PED revenue8,Error bands,Error bands,27,A27:L27
PED revenue,9,16,-0.06751863237652986,0.022046625117148284,0.05205970041349331,0.07385644308632339,0.11510185812484068,0.03982725893730957,0.18262049050137052,0.0518098179691751,PED revenue9,Error bands,Error bands,28,A28:L28
PED revenue,10,8,0.04089514974516717,0.04383928385720883,0.0632887968180275,0.07295369538729747,0.07482273264090548,0.059147743518777864,0.033927582895738315,0.02911441153008864,PED revenue10,Error bands,Error bands,29,A29:L29
PED revenue,11,3,0.03494205824753545,0.06104548174622808,0.10455118757738244,0.10693907615734685,0.1083718093053255,0.07713930940992247,0.07342975105779005,0.045893594411118774,PED revenue11,Error bands,Error bands,30,A30:L30
PED revenue,12,2,0.0756244182732364,0.08716784117342369,0.1064068793404025,0.1256459175073813,0.13718934040756858,0.1064068793404025,0.06156492213433218,0.03847807633395761,PED revenue12,Error bands,Error bands,31,A31:L31
PED revenue,13,1,0.10267633707386589,0.10267633707386589,0.10267633707386589,0.10267633707386589,0.10267633707386589,0.10267633707386589,0,0,PED revenue13,Error bands,Error bands,32,A32:L32
PED volume,0,17,-0.04985173077700174,-0.03663941425681589,-0.016020293703879404,0.01360539346741125,0.02832857820090868,-0.009613759848284368,0.07818030897791042,0.05024480772422714,PED volume0,Error bands,Error bands,33,A33:L33
PED volume,1,30,-0.07236945535346817,-0.038507524949220086,-0.008480256388331619,0.05307467855108196,0.11437307533170155,0.011846585130590498,0.18674253068516972,0.09158220350030205,PED volume1,Error bands,Error bands,34,A34:L34
PED volume,2,25,-0.04502270552354595,0.017966121066403832,0.04796895575064275,0.10686843120229052,0.11146275669976713,0.05170300224654011,0.15648546222331308,0.08890231013588669,PED volume2,Error bands,Error bands,35,A35:L35
PED volume,3,21,-0.04638672346807043,0.02644018739963804,0.06687639317069563,0.1237251349994712,0.14617454503160876,0.06489485584864141,0.1925612684996792,0.09728494759983317,PED volume3,Error bands,Error bands,36,A36:L36
PED volume,4,16,-0.05345302592992564,0.07628990158341581,0.10016394512358015,0.114219059257403,0.132544922373337,0.07862925652010495,0.18599794830326266,0.03792915767398719,PED volume4,Error bands,Error bands,37,A37:L37
PED volume,5,11,0.00719885156001081,0.06480872081156612,0.07909694339828435,0.13409424237920028,0.13795479973640068,0.08316933367186745,0.13075594817638986,0.06928552156763416,PED volume5,Error bands,Error bands,38,A38:L38
PED volume,6,8,-0.00864286889223042,0.03979823423542032,0.1078786612284783,0.1248694495081952,0.13885615609723903,0.08241755324140669,0.14749902498946946,0.08507121527277489,PED volume6,Error bands,Error bands,39,A39:L39
PED volume,7,5,0.004197699414942465,0.04561504292501933,0.06683575797839118,0.08757097478998521,0.1311451642024161,0.06736050731579807,0.12694746478747362,0.04195593186496588,PED volume7,Error bands,Error bands,40,A40:L40
PED volume,8,4,0.021074098433222263,0.02995687750592052,0.050004629184435476,0.06851543700370871,0.07463171712977187,0.04846768532519376,0.05355761869654961,0.03855855949778819,PED volume8,Error bands,Error bands,41,A41:L41
PED volume,9,3,0.0201157493477366,0.030219838835589697,0.04705998798201152,0.05724436556106735,0.06335499210850085,0.042622806937100854,0.04323924276076425,0.027024526725477654,PED volume9,Error bands,Error bands,42,A42:L42
PED volume,10,1,0.04520789964742728,0.04520789964742728,0.04520789964742728,0.04520789964742728,0.04520789964742728,0.04520789964742728,0,0,PED volume10,Error bands,Error bands,43,A43:L43
Light RUC revenue,0,27,-0.07036356979947271,-0.04949705885392312,-0.025007097720799634,-0.0036594183329554525,0.0025518986633341354,-0.03811223505639224,0.07291546846280685,0.04583764052096767,Light RUC revenue0,Error bands,Error bands,44,A44:L44
Light RUC revenue,1,52,-0.1172756383282221,-0.06901804327473096,-0.030450296346595816,0.009869085992084133,0.03502031571847385,-0.03151757327869374,0.15229595404669596,0.0788871292668151,Light RUC revenue1,Error bands,Error bands,45,A45:L45
Light RUC revenue,2,48,-0.12695691679948481,-0.10436938953805046,-0.057072552328330695,0.035094901492901544,0.09372380935301632,-0.026035747826858125,0.22068072615250112,0.139464291030952,Light RUC revenue2,Error bands,Error bands,46,A46:L46
Light RUC revenue,3,43,-0.15139673190252093,-0.1281207428280652,-0.09013427507530904,0.025283988125353443,0.24925288869930223,-0.0286120758655666,0.4006496206018232,0.15340473095341867,Light RUC revenue3,Error bands,Error bands,47,A47:L47
Light RUC revenue,4,39,-0.18751411819156344,-0.1639509683493522,-0.11125454415170118,0.09493740208534297,0.2151573613256001,-0.04292949136098112,0.40267147951716353,0.25888837043469515,Light RUC revenue4,Error bands,Error bands,48,A48:L48
Light RUC revenue,5,34,-0.20968076055233098,-0.19135801654536785,-0.15839197692324758,0.0957803969984376,0.16328462655634796,-0.08273703155050993,0.37296538710867894,0.2871384135438054,Light RUC revenue5,Error bands,Error bands,49,A49:L49
Light RUC revenue,6,29,-0.2532532550117093,-0.19962408691135072,-0.16389554742448417,-0.10019424324565325,0.09084786996969181,-0.11918916061965279,0.3441011249814011,0.09942984366569747,Light RUC revenue6,Error bands,Error bands,50,A50:L50
Light RUC revenue,7,25,-0.2870842411576118,-0.24766479650946321,-0.16429342900716046,-0.006080812207360546,0.02277314286567369,-0.14308112199765347,0.30985738402328544,0.24158398430210268,Light RUC revenue7,Error bands,Error bands,51,A51:L51
Light RUC revenue,8,21,-0.3174715861114072,-0.28542459409830945,-0.14831244637739244,-0.02478127050189815,-0.002282529898581195,-0.1532111979718056,0.315189056212826,0.2606433235964113,Light RUC revenue8,Error bands,Error bands,52,A52:L52
Light RUC revenue,9,16,-0.3582437995894931,-0.3114541791180405,-0.20461425651810417,-0.04862377790416681,-0.013812773808020373,-0.1823314364356919,0.3444310257814727,0.2628304012138737,Light RUC revenue9,Error bands,Error bands,53,A53:L53
Light RUC revenue,10,8,-0.31879202049552446,-0.2655819720620552,-0.12819436771050943,-0.053375171442618635,-0.04345571227428897,-0.1664377272459811,0.2753363082212355,0.21220680061943656,Light RUC revenue10,Error bands,Error bands,54,A54:L54
Light RUC revenue,11,3,-0.33555131261755855,-0.2790667691391025,-0.1849258633416757,-0.182427809611046,-0.18092897737266816,-0.24602109805287375,0.15462233524489039,0.09663895952805651,Light RUC revenue11,Error bands,Error bands,55,A55:L55
Light RUC revenue,12,2,-0.27786240544836865,-0.2696842368849277,-0.25605395594585956,-0.24242367500679135,-0.23424550644335046,-0.25605395594585956,0.043616899005018195,0.027260561878136358,Light RUC revenue12,Error bands,Error bands,56,A56:L56
Light RUC revenue,13,1,-0.3221421966702164,-0.3221421966702164,-0.3221421966702164,-0.3221421966702164,-0.3221421966702164,-0.3221421966702164,0,0,Light RUC revenue13,Error bands,Error bands,57,A57:L57
Light RUC net km,0,21,-0.06251271029850522,-0.05133078407939204,-0.028568098116950085,-0.011236117998354174,-0.0035587568067166576,-0.028948013718896298,0.058953953491788565,0.040094666081037865,Light RUC net km0,Error bands,Error bands,58,A58:L58
Light RUC net km,1,40,-0.10028231735929057,-0.06837941437577122,-0.028098996422467007,0.0030248122550805617,0.1112110822460995,-0.019328138502525016,0.21149339960539007,0.07140422663085177,Light RUC net km1,Error bands,Error bands,59,A59:L59
Light RUC net km,2,35,-0.11899229457441662,-0.09918279559709861,-0.06487447855257396,0.0020214904298945704,0.2020497627291366,-0.019970924779890983,0.32104205730355323,0.10120428602699318,Light RUC net km2,Error bands,Error bands,60,A60:L60
Light RUC net km,3,31,-0.15135311741657212,-0.10571118640256495,-0.04216983360300731,-0.01435221992250976,0.3895325735759011,0.00013733271831017197,0.5408856909924732,0.09135896648005519,Light RUC net km3,Error bands,Error bands,61,A61:L61
Light RUC net km,4,26,-0.17914838356358043,-0.08931916085212216,-0.05040039600873275,-0.014808643607746717,0.2868132772872739,-0.005662492205799984,0.46596166085085433,0.07451051724437543,Light RUC net km4,Error bands,Error bands,62,A62:L62
Light RUC net km,5,21,-0.13332849290321072,-0.1100342010690545,-0.0660017276416293,-0.042945256770729134,0.23959554111968254,-0.02331768483160736,0.37292403402289326,0.06708894429832536,Light RUC net km5,Error bands,Error bands,63,A63:L63
Light RUC net km,6,17,-0.13420881948918184,-0.1078212174840043,-0.0863835247493439,-0.05969350035178827,0.18697200470216735,-0.024967016978597104,0.3211808241913492,0.04812771713221604,Light RUC net km6,Error bands,Error bands,64,A64:L64
Light RUC net km,7,13,-0.16114221558995628,-0.14250649923725683,-0.1149505139273739,0.21898061558876186,0.2772088634135621,0.012077412800673896,0.4383510790035184,0.3614871148260187,Light RUC net km7,Error bands,Error bands,65,A65:L65
Light RUC net km,8,8,-0.1859608324423612,-0.1751524900090004,-0.0011258737260741725,0.16076398086127358,0.18395848062907097,-0.003111662918511039,0.36991931307143217,0.335916470870274,Light RUC net km8,Error bands,Error bands,66,A66:L66
Light RUC net km,9,4,-0.12431105110733108,0.009607753293088162,0.09992699437169827,0.12461078740729464,0.14038578533028923,0.03429154632868456,0.2646968364376203,0.11500303411420648,Light RUC net km9,Error bands,Error bands,67,A67:L67
Light RUC net km,10,1,0.058618290258458126,0.058618290258458126,0.058618290258458126,0.058618290258458126,0.058618290258458126,0.058618290258458126,0,0,Light RUC net km10,Error bands,Error bands,68,A68:L68
Heavy RUC revenue,0,27,-0.06146346368243944,-0.022567779783686844,-0.004951410122794508,0.007784600989399606,0.026568779310524628,-0.01279316555017641,0.08803224299296407,0.03035238077308645,Heavy RUC revenue0,Error bands,Error bands,69,A69:L69
Heavy RUC revenue,1,52,-0.05520931999401119,-0.03523472390709011,-0.014648615688841125,0.03324613710498501,0.07344409201099142,-0.0031907191931133164,0.1286534120050026,0.06848086101207512,Heavy RUC revenue1,Error bands,Error bands,70,A70:L70
Heavy RUC revenue,2,48,-0.05472553711368722,-0.03197924673349774,0.007703955279130044,0.04738067339519633,0.08786965478598079,0.012854389428365136,0.14259519189966802,0.07935992012869407,Heavy RUC revenue2,Error bands,Error bands,71,A71:L71
Heavy RUC revenue,3,43,-0.04016105417643902,-0.017573627247714,0.006732186969960472,0.05887182677726875,0.08668597217903638,0.01937150489453399,0.1268470263554754,0.07644545402498275,Heavy RUC revenue3,Error bands,Error bands,72,A72:L72
Heavy RUC revenue,4,39,-0.11492510477713168,-0.01355144932590961,0.006519029720403748,0.09439811910279736,0.11486241300089328,0.01899451206819189,0.22978751777802497,0.10794956842870697,Heavy RUC revenue4,Error bands,Error bands,73,A73:L73
Heavy RUC revenue,5,34,-0.0948371347996251,-0.057008408589361334,0.03657844536408289,0.07415699407082862,0.11015237980192576,0.01517033650276806,0.20498951460155085,0.13116540266018994,Heavy RUC revenue5,Error bands,Error bands,74,A74:L74
Heavy RUC revenue,6,29,-0.06986578758478808,-0.05279666240003639,0.019861389218323592,0.06578374330506956,0.1170018686877529,0.017537802174938548,0.18686765627254098,0.11858040570510595,Heavy RUC revenue6,Error bands,Error bands,75,A75:L75
Heavy RUC revenue,7,25,-0.06583514253141809,-0.041998325201101694,0.021470085732790394,0.07816905017193648,0.10694147800658854,0.018886572373342677,0.17277662053800663,0.12016737537303818,Heavy RUC revenue7,Error bands,Error bands,76,A76:L76
Heavy RUC revenue,8,21,-0.04640484614635117,-0.008882650698059168,0.01291116889571404,0.09162393153972276,0.11925115557966773,0.034914016868786354,0.1656560017260189,0.10050658223778193,Heavy RUC revenue8,Error bands,Error bands,77,A77:L77
Heavy RUC revenue,9,16,0.033985949927839806,0.039934908355260985,0.0741012584869422,0.08436333216080824,0.09973971259980974,0.06606346211546438,0.06575376267196993,0.044428423805547256,Heavy RUC revenue9,Error bands,Error bands,78,A78:L78
Heavy RUC revenue,10,8,0.025210291609951918,0.02762623608586735,0.09319484983465692,0.13330881563165545,0.15521388238357514,0.08928560567629736,0.13000359077362322,0.1056825795457881,Heavy RUC revenue10,Error bands,Error bands,79,A79:L79
Heavy RUC revenue,11,3,0.1138523242334445,0.11830336268907224,0.12572176011511849,0.16903156492665317,0.195017447813574,0.14964936503877743,0.08116512358012949,0.05072820223758093,Heavy RUC revenue11,Error bands,Error bands,80,A80:L80
Heavy RUC revenue,12,2,0.17363008151684642,0.18230158524819484,0.19675409146710887,0.2112065976860229,0.2198781014173713,0.19675409146710887,0.04624801990052488,0.02890501243782806,Heavy RUC revenue12,Error bands,Error bands,81,A81:L81
Heavy RUC revenue,13,1,0.2765678327596735,0.2765678327596735,0.2765678327596735,0.2765678327596735,0.2765678327596735,0.2765678327596735,0,0,Heavy RUC revenue13,Error bands,Error bands,82,A82:L82
Heavy RUC net km,0,21,-0.027067751759475272,-0.01511347207420306,-0.001612907451270694,0.009838266402774545,0.059853012189344905,0.0024093785607898627,0.08692076394882017,0.024951738476977604,Heavy RUC net km0,Error bands,Error bands,83,A83:L83
Heavy RUC net km,1,40,-0.038843395650784276,-0.026836458001372496,-0.006237179015816537,0.035787694846633564,0.07102496382088956,0.005073022100705712,0.10986835947167384,0.06262415284800606,Heavy RUC net km1,Error bands,Error bands,84,A84:L84
Heavy RUC net km,2,35,-0.038679858910069476,-0.02687472725436157,0.0017692606117252327,0.031410350506370144,0.08234159665042762,0.011721757333148813,0.1210214555604971,0.05828507776073172,Heavy RUC net km2,Error bands,Error bands,85,A85:L85
Heavy RUC net km,3,31,-0.02602563594992534,-0.008978879516052753,0.01828414617737499,0.05279817103711447,0.11620973473609579,0.028961495259679133,0.14223537068602113,0.06177705055316722,Heavy RUC net km3,Error bands,Error bands,86,A86:L86
Heavy RUC net km,4,26,-0.01840476515427647,-0.009134474231636715,0.04574723299160889,0.0695462950625744,0.09517463046149197,0.03800672445636934,0.11357939561576844,0.07868076929421111,Heavy RUC net km4,Error bands,Error bands,87,A87:L87
Heavy RUC net km,5,21,-0.007590335680044808,-0.0018078715882478777,0.03012874219525371,0.06409605362254199,0.1388495877634571,0.04681371886333459,0.1464399234435019,0.06590392521078987,Heavy RUC net km5,Error bands,Error bands,88,A88:L88
Heavy RUC net km,6,17,0.004751919350379849,0.011685002623483336,0.030128742195257414,0.06183772946588424,0.14245014888697602,0.0521883459196894,0.13769822953659616,0.05015272684240091,Heavy RUC net km6,Error bands,Error bands,89,A89:L89
Heavy RUC net km,7,13,0.013189982389102302,0.02940962116856846,0.05661500018172771,0.0923914645253939,0.1227608285679409,0.06173126372596648,0.10957084617883861,0.06298184335682544,Heavy RUC net km7,Error bands,Error bands,90,A90:L90
Heavy RUC net km,8,8,0.026672969588564823,0.03632028404497942,0.09095219250630529,0.1325342202035702,0.14897255803277829,0.08764484640272617,0.12229958844421346,0.09621393615859078,Heavy RUC net km8,Error bands,Error bands,91,A91:L91
Heavy RUC net km,9,4,0.07107222759726445,0.09818560961768008,0.12050675837953559,0.13207373484880697,0.13982960674257122,0.10975258608695149,0.06875737914530677,0.03388812523112689,Heavy RUC net km9,Error bands,Error bands,92,A92:L92
Heavy RUC net km,10,1,0.1425701615252447,0.1425701615252447,0.1425701615252447,0.1425701615252447,0.1425701615252447,0.1425701615252447,0,0,Heavy RUC net km10,Error bands,Error bands,93,A93:L93
