stream,stream_label,scenario,model,model_short,score_basis,eval_grid,stress_bucket,stress_order,source_dataset,calculation_basis,mape,bias_pct,n,value_available
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,4.853169377875247,-0.20187213514158653,58,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,4.889726270686038,0.49369077484584084,42,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,8.191309732606763,2.670033358667012,26,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,,,0,False
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,9.478585786202233,3.8425469024336576,48,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,2.7538068712281003,-0.25378767366632354,24,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,7.729402332793472,3.0711324838003233,158,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,9.965417361175616,3.6406836863438463,142,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,11.287607785968166,5.547839961959173,126,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,6.772561577563633,5.444639379356919,96,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,21.39148237309513,9.772576129238495,96,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,5.54747771728017,2.775659998971873,80,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,6.24794359771713,-0.444709184781792,58,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,7.36432071039263,-0.3253203442002717,42,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,11.61282387602385,3.5729190889053846,26,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,,,0,False
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,15.166269199628713,3.3064835343335113,48,True
