source,cohort,horizon,P0_n,P0_mape,P0_wape,P0_rmse,P0_signed_error_pct,P0_mean_abs_error,P1_n,P1_mape,P1_wape,P1_rmse,P1_signed_error_pct,P1_mean_abs_error,wape_improvement_pct,mape_improvement_pct
vnext_ensemble_h1_h20,all_available_ex_covid,17,32,4.460255,4.324331,92.236554,1.882024,68.851479,32,4.619292,4.511262,86.341213,0.359223,71.827761,-4.322757,-3.565652
vnext_ensemble_h1_h20,all_available_ex_covid,18,31,4.791055,4.649499,95.75336,2.3022,73.858367,31,4.735287,4.635818,88.057033,0.674556,73.641048,0.294239,1.164015
vnext_ensemble_h1_h20,all_available_ex_covid,19,30,5.116115,4.967163,99.266754,2.778027,78.731764,30,4.915742,4.817186,88.760818,1.049957,76.354557,3.019375,3.916507
vnext_ensemble_h1_h20,all_available_ex_covid,20,29,5.401934,5.245941,102.072017,3.264755,82.940919,29,5.026806,4.927995,88.633478,1.436283,77.914029,6.060808,6.944315
vnext_ensemble_h1_h20,balanced_ex_covid,1,11,0.324274,0.324675,7.473002,0.02808,5.411064,11,0.338437,0.338758,7.608279,-0.003854,5.645772,-4.337552,-4.367649
vnext_ensemble_h1_h20,balanced_ex_covid,2,11,0.312015,0.311365,8.12922,0.144733,5.188369,11,0.357997,0.3577,8.227748,0.080817,5.960465,-14.8813,-14.737048
vnext_ensemble_h1_h20,balanced_ex_covid,3,11,0.258622,0.259339,6.749259,0.13225,4.324451,11,0.275943,0.276695,6.520001,0.036281,4.613856,-6.692304,-6.697227
vnext_ensemble_h1_h20,balanced_ex_covid,4,11,0.317168,0.318225,7.57189,0.055534,5.309273,11,0.344517,0.345633,7.733079,-0.063436,5.766549,-8.612783,-8.623128
vnext_ensemble_h1_h20,balanced_ex_covid,5,11,0.46367,0.464399,10.189445,-0.04414,7.741964,11,0.52571,0.526798,11.392105,-0.200714,8.782208,-13.436434,-13.380237
vnext_ensemble_h1_h20,balanced_ex_covid,6,11,0.517952,0.519869,10.789179,-0.185614,8.684747,11,0.607538,0.610723,12.906177,-0.379794,10.202526,-17.476364,-17.296145
vnext_ensemble_h1_h20,balanced_ex_covid,7,11,0.52615,0.529441,11.84753,-0.351727,8.869625,11,0.642772,0.647222,14.628746,-0.583518,10.84279,-22.246314,-22.165277
vnext_ensemble_h1_h20,balanced_ex_covid,8,11,0.698159,0.701333,14.77014,-0.506981,11.771689,11,0.859949,0.86448,18.025638,-0.765653,14.510057,-23.262322,-23.173929
vnext_ensemble_h1_h20,balanced_ex_covid,9,11,0.962581,0.966996,19.129689,-0.641393,16.240582,11,1.152786,1.158884,23.180905,-0.944133,19.463315,-19.843707,-19.759966
vnext_ensemble_h1_h20,balanced_ex_covid,10,11,1.165428,1.172628,23.236991,-0.872783,19.758211,11,1.38273,1.392892,28.121731,-1.219365,23.469557,-18.783818,-18.645678
vnext_ensemble_h1_h20,balanced_ex_covid,11,11,1.25691,1.263385,24.028404,-1.024387,21.342553,11,1.482009,1.490931,29.661359,-1.415267,25.186509,-18.010758,-17.908911
vnext_ensemble_h1_h20,balanced_ex_covid,12,11,1.483537,1.488103,27.886525,-1.27376,25.196436,11,1.806159,1.812256,34.191314,-1.695712,30.684964,-21.782954,-21.746787
vnext_ensemble_h1_h20,balanced_ex_covid,13,11,1.662712,1.669307,31.594204,-1.507945,28.293238,11,2.049784,2.058251,39.080278,-1.981198,34.885481,-23.299715,-23.279517
vnext_ensemble_h1_h20,balanced_ex_covid,14,11,1.734143,1.740997,33.112007,-1.734143,29.597905,11,2.259,2.266558,41.826986,-2.259,38.53274,-30.18739,-30.266069
vnext_ensemble_h1_h20,balanced_ex_covid,15,11,1.872873,1.875543,34.522376,-1.872873,31.932441,11,2.449786,2.452742,44.033331,-2.449786,41.759641,-30.774974,-30.803635
vnext_ensemble_h1_h20,balanced_ex_covid,16,11,2.028961,2.029395,37.150132,-2.028961,34.573094,11,2.642665,2.643104,47.318385,-2.642665,45.028339,-30.240989,-30.247201
vnext_ensemble_h1_h20,balanced_ex_covid,17,11,2.185469,2.18661,39.442671,-2.185469,37.218693,11,2.85999,2.860956,50.815887,-2.85999,48.696844,-30.839747,-30.863938
vnext_ensemble_h1_h20,balanced_ex_covid,18,11,2.258585,2.259849,40.1865,-2.258585,38.458645,11,2.994769,2.996144,52.587673,-2.994769,50.989101,-32.581638,-32.594939
vnext_ensemble_h1_h20,balanced_ex_covid,19,11,2.185924,2.188986,39.385972,-2.185924,37.197202,11,2.985301,2.987896,52.316725,-2.985301,50.772999,-36.496824,-36.569292
vnext_ensemble_h1_h20,balanced_ex_covid,20,11,2.06084,2.068954,38.576048,-2.06084,35.051865,11,2.906182,2.913334,51.758091,-2.906182,49.357219,-40.811961,-41.019285
