scenario_name,fy,series_id,expression,observed,calculated,residual,missing_inputs,status
current_basecase,2036,total_refunds,ruc_refunds + fed_refunds + mvr_refunds,269.4655489362898,269.4655489362898,0.0,,closes
current_basecase,2036,total_nltf_net_revenue,total_revenue_net_admin - total_refunds,8567.67422114732,8567.67422114732,0.0,,closes
current_basecase,2037,gross_ruc_revenue,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,5359.472894800409,5359.47289480041,-9.094947017729282e-13,,closes
current_basecase,2037,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,5307.132875118857,5307.132875118857,0.0,,closes
current_basecase,2037,total_ruc_net_revenue,ruc_revenue_net_admin - ruc_refunds,5141.015393052026,5141.015393052026,0.0,,closes
current_basecase,2037,gross_fed_revenue,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,3509.11351484525,3509.11351484525,0.0,,closes
current_basecase,2037,net_fed_revenue,gross_fed_revenue - fed_refunds,3399.140036885076,3399.140036885076,0.0,,closes
current_basecase,2037,gross_mvr_revenue,mr1_revenue + mr2_revenue + coo_revenue,525.84111683754,525.84111683754,0.0,,closes
current_basecase,2037,mvr_revenue_net_admin_coo,mr1_revenue + mr2_revenue - mvr_admin_revenue,456.6102357917681,456.6102357917681,0.0,,closes
current_basecase,2037,net_mvr_revenue,mvr_revenue_net_admin_coo - mvr_refunds,454.58229627546916,454.58229627546916,0.0,,closes
current_basecase,2037,total_gross_revenue,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,9411.985426176025,9411.985426176025,0.0,,closes
current_basecase,2037,total_admin_fees,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,121.5709007273248,121.5709007273248,0.0,,closes
current_basecase,2037,total_revenue_net_admin,total_gross_revenue - total_admin_fees,9290.4145254487,9290.4145254487,0.0,,closes
current_basecase,2037,total_refunds,ruc_refunds + fed_refunds + mvr_refunds,278.118899543303,278.1188995433029,5.684341886080802e-14,,closes
current_basecase,2037,total_nltf_net_revenue,total_revenue_net_admin - total_refunds,9012.295625905397,9012.295625905397,0.0,,closes
current_basecase,2038,gross_ruc_revenue,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,5765.757280769567,5765.757280769566,9.094947017729282e-13,,closes
current_basecase,2038,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,5710.9364312772295,5710.9364312772295,0.0,,closes
current_basecase,2038,total_ruc_net_revenue,ruc_revenue_net_admin - ruc_refunds,5534.178773944051,5534.178773944051,0.0,,closes
current_basecase,2038,gross_fed_revenue,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,3596.8441287258474,3596.8441287258474,0.0,,closes
current_basecase,2038,net_fed_revenue,gross_fed_revenue - fed_refunds,3488.9986855059647,3488.9986855059647,0.0,,closes
current_basecase,2038,gross_mvr_revenue,mr1_revenue + mr2_revenue + coo_revenue,523.0242916225482,523.0242916225482,0.0,,closes
current_basecase,2038,mvr_revenue_net_admin_coo,mr1_revenue + mr2_revenue - mvr_admin_revenue,454.00169651764963,454.00169651764963,0.0,,closes
current_basecase,2038,net_mvr_revenue,mvr_revenue_net_admin_coo - mvr_refunds,451.95882835361306,451.95882835361306,0.0,,closes
current_basecase,2038,total_gross_revenue,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,9903.18360081079,9903.183600810788,1.8189894035458565e-12,,closes
current_basecase,2038,total_admin_fees,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,123.8434445972362,123.8434445972362,0.0,,closes
current_basecase,2038,total_revenue_net_admin,total_gross_revenue - total_admin_fees,9779.340156213553,9779.340156213553,0.0,,closes
current_basecase,2038,total_refunds,ruc_refunds + fed_refunds + mvr_refunds,286.6459687170986,286.6459687170986,0.0,,closes
current_basecase,2038,total_nltf_net_revenue,total_revenue_net_admin - total_refunds,9492.694187496454,9492.694187496454,0.0,,closes
