baseline_source,scenario_name,scenario_role,time_grain,series_id,period,fed_path,row_type,trace_name,value,source_path,period_fy
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2031,MBU26,official_comparator,MBU26 official,5783.7523211264,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2032,MBU26,official_comparator,MBU26 official,5666.7678369261,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2033,MBU26,official_comparator,MBU26 official,5523.87123261316,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2034,MBU26,official_comparator,MBU26 official,5370.7813642462,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2035,MBU26,official_comparator,MBU26 official,5198.71027991832,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2036,MBU26,official_comparator,MBU26 official,5001.59972450879,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2037,MBU26,official_comparator,MBU26 official,4781.16168765587,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2038,MBU26,official_comparator,MBU26 official,4533.86454139067,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2039,MBU26,official_comparator,MBU26 official,4265.03442932969,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2040,MBU26,official_comparator,MBU26 official,3981.00455821593,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2041,MBU26,official_comparator,MBU26 official,3686.68590633845,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2042,MBU26,official_comparator,MBU26 official,3365.39913896083,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2043,MBU26,official_comparator,MBU26 official,3046.78926417717,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2044,MBU26,official_comparator,MBU26 official,2748.20812997984,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2045,MBU26,official_comparator,MBU26 official,2473.5812475664,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2046,MBU26,official_comparator,MBU26 official,2224.38341529434,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2047,MBU26,official_comparator,MBU26 official,1998.84262548416,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2048,MBU26,official_comparator,MBU26 official,1797.61629814668,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2049,MBU26,official_comparator,MBU26 official,1616.43788466169,,
