scenario_name,scenario_role,source_path,fy,series_id,value,unit,formula,forecast_segment,value_status,decision_facing
current_basecase,basecase,Current finalist Base case,2032,gross_ruc_revenue,3818.565788576349,$m nominal ex GST,light + heavy + light BEV + MBU26 heavy BEV + PHEV RUC revenue + MBU26 ruc_refunds,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,ruc_revenue_net_admin,3775.483828336722,$m nominal ex GST,gross_ruc_revenue - MBU26 ruc_admin_revenue,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,total_ruc_net_revenue,3650.8018657366783,$m nominal ex GST,ruc_revenue_net_admin - MBU26 ruc_refunds,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,gross_fed_revenue,3040.154225812992,$m nominal ex GST,gross_ped_revenue + MBU26 LPG + MBU26 CNG,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,net_fed_revenue,2932.341676548163,$m nominal ex GST,gross_fed_revenue - MBU26 fed_refunds,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,gross_mvr_revenue,543.6318608697579,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,mvr_revenue_net_admin_coo,473.11112698887666,$m nominal ex GST,MR1 + MR2 - mvr_admin_revenue,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,net_mvr_revenue,471.1439933001107,$m nominal ex GST,mvr_revenue_net_admin_coo - mvr_refunds,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,total_gross_revenue,7419.909774951924,$m nominal ex GST,gross RUC + gross FED + gross MVR + TUC,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,total_admin_fees,113.60269412050789,$m nominal ex GST,ruc_admin + mvr_admin + coo,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,total_revenue_net_admin,7306.307080831416,$m nominal ex GST,total_gross_revenue - total_admin_fees,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,total_refunds,234.461645553639,$m nominal ex GST,ruc + fed + mvr refunds,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,total_nltf_net_revenue,7071.845435277777,$m nominal ex GST,total_revenue_net_admin - total_refunds,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,total_fed_ruc_net_revenue,6583.143542284841,$m nominal ex GST,net_fed_revenue + total_ruc_net_revenue,post_model_extrapolation,post_model_extrapolation,True
