vintage_id,series_id,display_name,source_series_id,source_label,unit,metric_type,section,row_role,source_rows,valued_rows,first_fy,last_fy,first_valued_fy,last_valued_fy,in_display_series_order,in_runtime_chart_pack,runtime_official_rows,selector_label,selectable,coverage_status
BEFU26,ruc_admin_revenue,RUC admin revenue,ruc_admin_revenue,RUC admin revenue (m $),$m nominal ex GST,revenue,RUC,deduction,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
MBU26,ruc_admin_revenue,RUC admin revenue,ruc_admin_revenue,RUC admin revenue (m $),$m nominal ex GST,revenue,RUC,deduction,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
BEFU26,ruc_refunds,RUC refunds,ruc_refunds,RUC refunds (m $),$m nominal ex GST,revenue,RUC,deduction,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
MBU26,ruc_refunds,RUC refunds,ruc_refunds,RUC refunds (m $),$m nominal ex GST,revenue,RUC,deduction,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
BEFU26,ruc_revenue_net_admin,RUC revenues net of admin fees,ruc_revenue_net_admin,RUC revenues net of admin fees (m $),$m nominal ex GST,revenue,RUC,aggregate,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
MBU26,ruc_revenue_net_admin,RUC revenues net of admin fees,ruc_revenue_net_admin,RUC revenues net of admin fees (m $),$m nominal ex GST,revenue,RUC,aggregate,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
BEFU26,total_admin_fees,Total admin fees,total_admin_fees,Total admin fees (m $),$m nominal ex GST,revenue,Totals,aggregate,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
MBU26,total_admin_fees,Total admin fees,total_admin_fees,Total admin fees (m $),$m nominal ex GST,revenue,Totals,aggregate,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
BEFU26,total_fed_ruc_net_revenue,Total RUC+PED revenue,nan,Derived dashboard subtotal from BEFU26 Net FED and Total RUC,$m nominal ex GST,revenue,Derived totals,aggregate,55,55,2001,2055,2001,2055,True,True,30,Total RUC+PED revenue,True,official_trace_materialised
MBU26,total_fed_ruc_net_revenue,Total RUC+PED revenue,nan,Derived dashboard subtotal from MBU26 Net FED and Total RUC,$m nominal ex GST,revenue,Derived totals,aggregate,55,55,2001,2055,2001,2055,True,True,30,Total RUC+PED revenue,True,official_trace_materialised
BEFU26,total_gross_revenue,Total gross revenues,total_gross_revenue,Total gross revenues (m $),$m nominal ex GST,revenue,Totals,aggregate,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
