series_id,trace_name,scenario_name,period,value_before,value_after,absolute_movement,relative_movement
light_ruc_net_km,MBU26 official,mbu26_official,2027Q3,3169.8606174695783,3169.864393563673,0.003776094094519067,1.1912492535818277e-06
heavy_ruc_net_revenue,Current finalist High population/comparison,current_comparison_1,2028Q2,348.0744155932384,348.07482959547406,0.0004140022356295958,1.1894072562730407e-06
light_ruc_net_revenue,Current finalist High population/comparison,current_comparison_1,2045Q3,277.93476952863824,277.93509807182704,0.00032854318880026767,1.18208739898739e-06
light_bev_ruc_net_revenue,Current finalist Base case,current_basecase,2031Q3,99.79895583080311,99.79907369614828,0.00011786534517455038,1.1810278393531152e-06
phev_ruc_net_revenue,Current finalist Base case,current_basecase,2033Q4,40.92482803101069,40.924876292204296,4.8261193605014796e-05,1.179264420328046e-06
light_bev_ruc_net_km,Current finalist High population/comparison,current_comparison_1,2040Q2,4885.843310625827,4885.837549509717,0.005761116110079456,1.179144672435579e-06
light_bev_ruc_net_revenue,Current finalist High population/comparison,current_comparison_1,2038Q3,428.9752958849083,428.974790360779,0.0005055241292666324,1.1784457849112637e-06
light_bev_ruc_net_km,Current finalist High population/comparison,current_comparison_1,2043Q3,6587.115765356803,6587.123523766234,0.007758409430607571,1.1778158615961903e-06
phev_ruc_net_revenue,Current finalist High population/comparison,current_comparison_1,2042Q2,69.04346287111122,69.04338155428206,8.131682915291094e-05,1.1777629013873676e-06
phev_ruc_net_km,Current finalist High population/comparison,current_comparison_1,2036Q3,931.2246821995133,931.2235856444142,0.001096555099024954,1.1775408448527558e-06
light_bev_ruc_net_revenue,BEFU26 official,befu26_official,2044Q3,998.4386558352621,998.4374815689645,0.0011742662976530482,1.176102598582478e-06
light_bev_ruc_net_revenue,MBU26 official,mbu26_official,2044Q3,998.4386558352621,998.4374815689645,0.0011742662976530482,1.176102598582478e-06
light_ruc_net_km,Current finalist High population/comparison,current_comparison_1,2031Q3,3254.93395751037,3254.937773393852,0.0038158834818204923,1.1723382199555229e-06
light_bev_ruc_net_km,Current finalist Base case,current_basecase,2027Q2,428.893012310765,428.89251233153095,0.0004999792340640852,1.1657434831365656e-06
light_ruc_net_km,MBU26 official,mbu26_official,2048Q1,1690.5161677025883,1690.5141991310563,0.001968571531961061,1.1644795652184444e-06
light_bev_ruc_net_km,Current finalist Base case,current_basecase,2032Q4,1406.9688072858123,1406.9704439653613,0.0016366795489375363,1.1632664068046113e-06
phev_ruc_net_revenue,MBU26 official,mbu26_official,2038Q3,55.1553099897343,55.155245842012015,6.414772228424681e-05,1.163038015672221e-06
