period,year,quarter,vkt_per_capita,log_vkt_per_capita,log_vkt_per_capita_lag1,log_real_petrol_price,log_real_gdp_per_capita,unemployment_rate,trend,post2011,post2011_trend,post2020,covid2020,q2,q3,q4,real_petrol_price_cents_per_litre,real_gdp_per_capita_nzd,population,unemployment_percent,data_status,estimation_sample,latest_actual,is_placeholder,excluded_reason,qdate
2004Q4,2004,4,1897.667853770926,7.548380965842724,7.528520816768189,5.322175194709035,9.727832062824394,0.037000000000000005,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,204.8289406007738,16778.138912652856,4114300.0,3.7,Historical official/source data,1,0,0,,179
2005Q1,2005,1,1872.597339024945,7.535081697498196,7.548380965842724,5.316175592709035,9.727587058304032,0.039,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.60372754957302,16774.02869630733,4126600.0,3.9,Historical official/source data,1,0,0,,180
2005Q2,2005,2,1850.130556335968,7.52301148657477,7.535081697498196,5.377880367709035,9.750555415965277,0.038,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,216.5627551811176,17163.759188261,4133900.0,3.8,Historical official/source data,1,0,0,,181
2005Q3,2005,3,1842.5792416165427,7.518921630800313,7.52301148657477,5.490886780709035,9.750022540500103,0.038,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,242.4721311568972,17154.615478545067,4145900.0,3.8,Historical official/source data,1,0,0,,182
2005Q4,2005,4,1864.7622115858157,7.5308888234588585,7.518921630800313,5.452947280709036,9.746231759800626,0.037000000000000005,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,233.44518147646735,17089.709193753224,4161000.0,3.7,Historical official/source data,1,0,0,,183
2006Q1,2006,1,1827.8271073959868,7.510883167341975,7.5308888234588585,5.495614950709036,9.751350265932562,0.040999999999999995,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.62129519387918,17177.407225042505,4176100.0,4.1,Historical official/source data,1,0,0,,184
2006Q2,2006,2,1802.7810427911897,7.4970857753358615,7.510883167341975,5.618632554709035,9.745227622432987,0.037000000000000005,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,275.51237742300884,17072.557390973914,4184600.0,3.7,Historical official/source data,1,0,0,,185
2006Q3,2006,3,1804.1733997462184,7.497857815596625,7.4970857753358615,5.6047509657090355,9.760201886292858,0.039,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,271.7142508422084,17330.130037584848,4195500.0,3.9,Historical official/source data,1,0,0,,186
2006Q4,2006,4,1847.0202552922724,7.521328946729401,7.497857815596625,5.438424424709035,9.764584137747306,0.038,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,230.0793903293832,17406.241673506684,4209100.0,3.8,Historical official/source data,1,0,0,,187
2007Q1,2007,1,1828.4375772849908,7.51121709825088,7.521328946729401,5.443445320709035,9.769758927609026,0.039,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.2374999610429,17496.54877506255,4219400.0,3.9,Historical official/source data,1,0,0,,188
2007Q2,2007,2,1813.7587397846364,7.503156622813742,7.51121709825088,5.5114989617090355,9.782045901223066,0.036000000000000004,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,247.52187494245814,17712.854558631036,4223800.0,3.6,Historical official/source data,1,0,0,,189
2007Q3,2007,3,1811.3667922646005,7.501836973137604,7.503156622813742,5.524744515709036,9.789389481472908,0.036000000000000004,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,250.82224868991986,17843.409109734122,4234300.0,3.6,Historical official/source data,1,0,0,,190
2007Q4,2007,4,1831.7925575307254,7.513050306033854,7.501836973137604,5.565104459709035,9.791689274022028,0.034,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,261.1524821972963,17884.492472553797,4245700.0,3.4,Historical official/source data,1,0,0,,191
2008Q1,2008,1,1807.456848216632,7.499676080008868,7.513050306033854,5.597258005709035,9.784720030393597,0.038,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.6859154372181,17760.284408207695,4255600.0,3.8,Historical official/source data,1,0,0,,192
2008Q2,2008,2,1750.0072254172978,7.467375195718921,7.499676080008868,5.703259408709036,9.769880828764475,0.038,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,299.84312124839363,17498.68175457829,4259800.0,3.8,Historical official/source data,1,0,0,,193
2008Q3,2008,3,1738.6275561152736,7.460851320119771,7.467375195718921,5.7327716387090355,9.769004460103186,0.040999999999999995,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,308.8240319235151,17483.353175998724,4269600.0,4.1,Historical official/source data,1,0,0,,194
2008Q4,2008,4,1778.5416150158414,7.4835489900553505,7.460851320119771,5.482206629709036,9.76634068173599,0.044000000000000004,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,240.3765446066598,17436.84337142979,4280300.0,4.4,Historical official/source data,1,0,0,,195
2009Q1,2009,1,1757.8497870661986,7.471846629239624,7.4835489900553505,5.469817084709035,9.75558580249966,0.05,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.41676163314517,17250.317058606408,4293500.0,5.0,Historical official/source data,1,0,0,,196
2009Q2,2009,2,1739.7078964024774,7.461472502485123,7.471846629239624,5.495156984709035,9.765819965353327,0.057999999999999996,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,243.50975046759984,17427.76608497535,4302600.0,5.8,Historical official/source data,1,0,0,,197
2009Q3,2009,3,1742.919011669165,7.463316579534679,7.461472502485123,5.501904754709035,9.768311325969961,0.062,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,245.1584545386645,17471.23906598578,4317300.0,6.2,Historical official/source data,1,0,0,,198
2009Q4,2009,4,1775.345550564874,7.481750359337107,7.463316579534679,5.493191073709036,9.776413401799633,0.066,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,243.0315022213206,17613.36735935804,4332100.0,6.6,Historical official/source data,1,0,0,,199
2010Q1,2010,1,1743.7407699169066,7.46378795231805,7.481750359337107,5.557301623709035,9.784907182433638,0.059000000000000004,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.1226816068413,17763.60859272065,4345700.0,5.9,Historical official/source data,1,0,0,,200
2010Q2,2010,2,1718.8769669709982,7.449426430378719,7.46378795231805,5.5693769757090354,9.789884983728767,0.066,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,262.2706473442128,17852.252750041134,4350700.0,6.6,Historical official/source data,1,0,0,,201
2010Q3,2010,3,1714.9262521262453,7.447125356999783,7.449426430378719,5.544508501709036,9.772820098822612,0.061,43.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,255.82880791598248,17550.19076828374,4362700.0,6.1,Historical official/source data,1,0,0,,202
2010Q4,2010,4,1739.8429552879008,7.461550132553628,7.447125356999783,5.5880806047090354,9.758191321656563,0.062,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,267.22222209005236,17295.321694925966,4373900.0,6.2,Historical official/source data,1,0,0,,203
2011Q1,2011,1,1704.6112249131222,7.441092343138158,7.461550132553628,5.672337795709035,9.773083034802402,0.06,45.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,290.7133690609272,17554.805951611208,4382500.0,6.0,Historical official/source data,1,0,0,,204
2011Q2,2011,2,1677.9137030119796,7.425306457225508,7.441092343138158,5.701884134709036,9.781545904256935,0.061,46.0,1.0,46.0,0.0,0.0,1.0,0.0,0.0,299.431038228144,17704.00039880118,4384000.0,6.1,Historical official/source data,1,0,0,,205
2011Q3,2011,3,1672.8913372940951,7.422308748066966,7.425306457225508,5.662462964709035,9.790036015203004,0.06,47.0,1.0,47.0,0.0,0.0,0.0,1.0,0.0,287.85675119424985,17854.949205712146,4392000.0,6.0,Historical official/source data,1,0,0,,206
2011Q4,2011,4,1698.9024596700424,7.437737709588364,7.422308748066966,5.673939451709035,9.796881984704113,0.061,48.0,1.0,48.0,0.0,0.0,0.0,0.0,1.0,291.179364955706,17977.60300647058,4399400.0,6.1,Historical official/source data,1,0,0,,207
2012Q1,2012,1,1689.2367433390675,7.432032074740735,7.437737709588364,5.692804629709036,9.797066598301734,0.064,49.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,296.7246575102526,17980.922222815032,4406500.0,6.4,Historical official/source data,1,0,0,,208
2012Q2,2012,2,1654.1635383056077,7.411050745124908,7.432032074740735,5.692395396709036,9.802987892246316,0.064,50.0,1.0,50.0,0.0,0.0,1.0,0.0,0.0,296.60325283158045,18087.70839283319,4408100.0,6.4,Historical official/source data,1,0,0,,209
2012Q3,2012,3,1656.679766172925,7.412570737537938,7.411050745124908,5.680301256709035,9.807235704035236,0.067,51.0,1.0,51.0,0.0,0.0,0.0,1.0,0.0,293.0376961984592,18164.704991532057,4415600.0,6.7,Historical official/source data,1,0,0,,210
2012Q4,2012,4,1691.5758481338778,7.4334158279685525,7.412570737537938,5.672699184709035,9.816187367898303,0.063,52.0,1.0,52.0,0.0,0.0,0.0,0.0,1.0,290.818448660821,18328.03929096651,4425900.0,6.3,Historical official/source data,1,0,0,,211
2013Q1,2013,1,1669.1066240363002,7.420043806604081,7.4334158279685525,5.684316220709035,9.819309893445391,0.057999999999999996,53.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,294.2165970379037,18385.358505664073,4436000.0,5.8,Historical official/source data,1,0,0,,212
2013Q2,2013,2,1653.8925437795576,7.410886905988005,7.420043806604081,5.657284935709035,9.813144582596797,0.06,54.0,1.0,54.0,0.0,0.0,1.0,0.0,0.0,286.37007294200356,18272.35576188081,4442100.0,6.0,Historical official/source data,1,0,0,,213
2013Q3,2013,3,1657.771241840897,7.413229353824489,7.410886905988005,5.702498592709035,9.818531198487008,0.057999999999999996,55.0,1.0,55.0,0.0,0.0,0.0,1.0,0.0,299.61508256299777,18371.04749236772,4457900.0,5.8,Historical official/source data,1,0,0,,214
2013Q4,2013,4,1689.756940552281,7.432339975415307,7.413229353824489,5.666226340709035,9.820010277524787,0.057,56.0,1.0,56.0,0.0,0.0,0.0,0.0,1.0,288.94210540012836,18398.23982846555,4477400.0,5.7,Historical official/source data,1,0,0,,215
2014Q1,2014,1,1663.5750910310285,7.416724234825084,7.432339975415307,5.673128092709035,9.825371768165294,0.055999999999999994,57.0,1.0,57.0,0.0,0.0,0.0,0.0,0.0,290.9432097736062,18497.146726383504,4501100.0,5.6,Historical official/source data,1,0,0,,216
2014Q2,2014,2,1650.6412452489812,7.408919124880425,7.416724234825084,5.666726527709035,9.826970322320179,0.053,58.0,1.0,58.0,0.0,0.0,1.0,0.0,0.0,289.0866666358136,18526.7390633114,4516500.0,5.3,Historical official/source data,1,0,0,,217
2014Q3,2014,3,1656.3183843935471,7.412352577572621,7.408919124880425,5.6726399647090355,9.833758127974441,0.053,59.0,1.0,59.0,0.0,0.0,0.0,1.0,0.0,290.8012269022326,18652.922738126043,4540300.0,5.3,Historical official/source data,1,0,0,,218
2014Q4,2014,4,1686.1617935287663,7.430210096904726,7.412352577572621,5.616531128709036,9.842095156115114,0.055,60.0,1.0,60.0,0.0,0.0,0.0,0.0,1.0,274.9340164539957,18809.08273052096,4564400.0,5.5,Historical official/source data,1,0,0,,219
2015Q1,2015,1,1666.9199328413833,7.418732850908252,7.430210096904726,5.503508737709035,9.843591414704205,0.055,61.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0,245.55200006784509,18837.247047405457,4591900.0,5.5,Historical official/source data,1,0,0,,220
2015Q2,2015,2,1666.6828675687345,7.418590623242125,7.418732850908252,5.584092872709036,9.848415141847148,0.055,62.0,1.0,62.0,0.0,0.0,1.0,0.0,0.0,266.15873334725853,18928.33229586217,4609400.0,5.5,Historical official/source data,1,0,0,,221
2015Q3,2015,3,1677.2011820521823,7.424881720073477,7.418590623242125,5.597848889709035,9.85575358365481,0.057,63.0,1.0,63.0,0.0,0.0,0.0,1.0,0.0,269.84531561854595,19067.747681119654,4636300.0,5.7,Historical official/source data,1,0,0,,222
2015Q4,2015,4,1707.2822797111921,7.442658075093231,7.424881720073477,5.527406360709035,9.85979844575985,0.05,64.0,1.0,64.0,0.0,0.0,0.0,0.0,1.0,251.49078801777728,19145.030284512617,4663700.0,5.0,Historical official/source data,1,0,0,,223
2016Q1,2016,1,1705.794990531884,7.441786551154166,7.442658075093231,5.443045417709035,9.863251008117503,0.053,65.0,1.0,65.0,0.0,0.0,0.0,0.0,0.0,231.14504587866054,19211.243933011017,4695000.0,5.3,Historical official/source data,1,0,0,,224
2016Q2,2016,2,1692.8710046610347,7.434181185881801,7.441786551154166,5.491414415709035,9.870555271942218,0.051,66.0,1.0,66.0,0.0,0.0,1.0,0.0,0.0,242.60010169771942,19352.081658884654,4714100.0,5.1,Historical official/source data,1,0,0,,225
2016Q3,2016,3,1700.9157190921778,7.438922043309524,7.434181185881801,5.472520782709036,9.873391170433743,0.05,67.0,1.0,67.0,0.0,0.0,0.0,1.0,0.0,238.05953339554932,19407.040089501425,4741200.0,5.0,Historical official/source data,1,0,0,,226
2016Q4,2016,4,1723.6814859298343,7.45221768121378,7.438922043309524,5.508175479709036,9.869231928407054,0.053,68.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,246.70060593880203,19326.489144308645,4767600.0,5.3,Historical official/source data,1,0,0,,227
2017Q1,2017,1,1698.6307856250419,7.437577785298614,7.45221768121378,5.537893952709036,9.877985894962226,0.049,69.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0,254.1421999553149,19496.415262538903,4796700.0,4.9,Historical official/source data,1,0,0,,228
2017Q2,2017,2,1698.9649958845876,7.437774518684288,7.437577785298614,5.518207230709035,9.884862075637733,0.049,70.0,1.0,70.0,0.0,0.0,1.0,0.0,0.0,249.18790008766302,19630.938108063805,4813600.0,4.9,Historical official/source data,1,0,0,,229
2017Q3,2017,3,1705.0527201927173,7.44135131017372,7.437774518684288,5.497513977709035,9.89087660944804,0.047,71.0,1.0,71.0,0.0,0.0,0.0,1.0,0.0,244.08437817560184,19749.364832809548,4836300.0,4.7,Historical official/source data,1,0,0,,230
2017Q4,2017,4,1723.526899255977,7.45212799317831,7.44135131017372,5.555344351709035,9.898698259560003,0.045,72.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,258.61600405221577,19904.443148009013,4859500.0,4.5,Historical official/source data,1,0,0,,231
2018Q1,2018,1,1694.34770814253,7.435053112793087,7.45212799317831,5.579300493709035,9.90439167477597,0.044000000000000004,73.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,264.8862513662727,20018.09062163119,4886100.0,4.4,Historical official/source data,1,0,0,,232
2018Q2,2018,2,1688.703955990905,7.431716623760386,7.435053112793087,5.605395941709036,9.909560823350919,0.046,74.0,1.0,74.0,0.0,0.0,1.0,0.0,0.0,271.88955654076665,20121.835010315743,4900600.0,4.6,Historical official/source data,1,0,0,,233
2018Q3,2018,3,1690.809020794082,7.432962403900831,7.431716623760386,5.651783750709035,9.90636884141188,0.04,75.0,1.0,75.0,0.0,0.0,0.0,1.0,0.0,284.7990234712361,20057.708875561548,4919100.0,4.0,Historical official/source data,1,0,0,,234
2018Q4,2018,4,1702.5580537077526,7.439887136536434,7.432962403900831,5.645282788709036,9.919273998341062,0.043,76.0,1.0,76.0,0.0,0.0,0.0,0.0,1.0,282.953560982254,20318.234200628493,4936700.0,4.3,Historical official/source data,1,0,0,,235
2019Q1,2019,1,1664.9907275407782,7.417574833354459,7.439887136536434,5.5705547577090355,9.927297037935952,0.042,77.0,1.0,77.0,0.0,0.0,0.0,0.0,0.0,262.5797269702644,20481.90388435577,4958700.0,4.2,Historical official/source data,1,0,0,,236
2019Q2,2019,2,1644.7482969301275,7.405342640507373,7.417574833354459,5.622185938709035,9.92437983411654,0.040999999999999995,78.0,1.0,78.0,0.0,0.0,1.0,0.0,0.0,276.49312014254104,20422.241062732304,4970300.0,4.1,Historical official/source data,1,0,0,,237
2019Q3,2019,3,1616.271849022156,7.3878774483378695,7.405342640507373,5.6064699067090356,9.92749291258606,0.040999999999999995,79.0,1.0,79.0,0.0,0.0,0.0,1.0,0.0,272.181713263323,20485.916163051676,4995800.0,4.1,Historical official/source data,1,0,0,,238
2019Q4,2019,4,1578.7822651969495,7.364409110635247,7.3878774483378695,5.6148395927090355,9.928149950773978,0.040999999999999995,80.0,1.0,80.0,0.0,0.0,0.0,0.0,1.0,274.4693487793849,20499.380615130507,5027100.0,4.1,Historical official/source data,1,0,0,,239
2020Q1,2020,1,1506.7858332566739,7.317734073899965,7.364409110635247,5.583085620709035,9.912305625650896,0.042,81.0,1.0,81.0,1.0,1.0,0.0,0.0,0.0,265.89077940200497,20177.14133707539,5067300.0,4.2,Historical official/source data,1,0,0,,240
2020Q2,2020,2,1476.9731528047046,7.2977501055244085,7.317734073899965,5.455480287709035,9.80607281446089,0.040999999999999995,82.0,1.0,82.0,1.0,1.0,1.0,0.0,0.0,234.03724929466233,18143.593722892518,5072400.0,4.1,Historical official/source data,1,0,0,,241
2020Q3,2020,3,1518.7948311969797,7.325672425136805,7.2977501055244085,5.467225518709036,9.936235415557404,0.052000000000000005,83.0,1.0,83.0,1.0,1.0,0.0,1.0,0.0,236.80227700851458,20665.799515624076,5078700.0,5.2,Historical official/source data,1,0,0,,242
2020Q4,2020,4,1541.7142427336294,7.340650220953795,7.325672425136805,5.464636525709035,9.939965800012606,0.049,84.0,1.0,84.0,1.0,1.0,0.0,0.0,1.0,236.1899905156844,20743.03486209368,5081400.0,4.9,Historical official/source data,1,0,0,,243
2021Q1,2021,1,1517.525141584026,7.32483609056183,7.340650220953795,5.5259515687090355,9.960216844350041,0.046,85.0,1.0,85.0,1.0,0.0,0.0,0.0,0.0,251.12518723232472,21167.385247771464,5083400.0,4.6,Historical official/source data,1,0,0,,244
2021Q2,2021,2,1521.016306340223,7.327134013004076,7.32483609056183,5.5739344577090355,9.967836207202511,0.04,86.0,1.0,86.0,1.0,0.0,1.0,0.0,0.0,263.46866900605295,21329.283233115944,5084600.0,4.0,Historical official/source data,1,0,0,,245
2021Q3,2021,3,1489.1106467848222,7.305934339382447,7.327134013004076,5.617883744709036,9.922408755883552,0.033,87.0,1.0,87.0,1.0,0.0,0.0,1.0,0.0,275.30614822255103,20382.02687358102,5086100.0,3.3,Historical official/source data,1,0,0,,246
2021Q4,2021,4,1475.7690225316271,7.2969345041150575,7.305934339382447,5.6796997917090355,9.961835295393325,0.032,88.0,1.0,88.0,1.0,0.0,0.0,0.0,1.0,292.86149727456984,21201.671362224122,5085400.0,3.2,Historical official/source data,1,0,0,,247
2022Q1,2022,1,1455.9408190336771,7.283407581662471,7.2969345041150575,5.7456412697090355,9.963339603291766,0.033,89.0,1.0,89.0,1.0,0.0,0.0,0.0,0.0,312.8241681862663,21233.58920502697,5081800.0,3.3,Historical official/source data,1,0,0,,248
2022Q2,2022,2,1488.860008088108,7.305766010861885,7.283407581662471,5.790558705709035,9.976425613672879,0.033,90.0,1.0,90.0,1.0,0.0,1.0,0.0,0.0,327.19577946802144,21513.278189030414,5081700.0,3.3,Historical official/source data,1,0,0,,249
2022Q3,2022,3,1524.7505981978798,7.329586133501709,7.305766010861885,5.726771117709036,9.99659837895501,0.033,91.0,1.0,91.0,1.0,0.0,0.0,1.0,0.0,306.9764755287547,21951.667395241908,5093700.0,3.3,Historical official/source data,1,0,0,,250
2022Q4,2022,4,1549.0269452327714,7.345382235509454,7.329586133501709,5.636930463709035,9.994029378082748,0.034,92.0,1.0,92.0,1.0,0.0,0.0,0.0,1.0,280.6000830690256,21895.345918493094,5120700.0,3.4,Historical official/source data,1,0,0,,251
2023Q1,2023,1,1521.7618781648694,7.327624072939016,7.345382235509454,5.596379187709036,9.983203262545633,0.035,93.0,1.0,93.0,1.0,0.0,0.0,0.0,0.0,269.44901471194333,21659.582875533997,5165900.0,3.5,Historical official/source data,1,0,0,,252
2023Q2,2023,2,1532.8575398021367,7.334888945526989,7.327624072939016,5.572620636709035,9.983748964164974,0.037000000000000005,94.0,1.0,94.0,1.0,0.0,1.0,0.0,0.0,263.12274562632996,21671.40577057652,5200000.0,3.7,Historical official/source data,1,0,0,,253
2023Q3,2023,3,1531.4092323893383,7.333943657385768,7.334888945526989,5.711122324709035,9.976308928732267,0.04,95.0,1.0,95.0,1.0,0.0,0.0,1.0,0.0,302.2100558331361,21510.768059892554,5238700.0,4.0,Historical official/source data,1,0,0,,254
2023Q4,2023,4,1537.9692201421399,7.338218136953846,7.333943657385768,5.6999599807090355,9.97502991580818,0.04,96.0,1.0,96.0,1.0,0.0,0.0,0.0,1.0,298.85544074490264,21483.273096491866,5263100.0,4.0,Historical official/source data,1,0,0,,255
2024Q1,2024,1,1520.2757620778643,7.326647019804913,7.338218136953846,5.670222426709035,9.972070406138922,0.044000000000000004,97.0,1.0,97.0,1.0,0.0,0.0,0.0,0.0,290.09905299379017,21419.78713203617,5283100.0,4.4,Historical official/source data,1,0,0,,256
2024Q2,2024,2,1507.4384642146947,7.318167108010112,7.326647019804913,5.673181693709036,9.967135703922553,0.047,98.0,1.0,98.0,1.0,0.0,1.0,0.0,0.0,290.9588050385505,21314.347232221557,5289900.0,4.7,Historical official/source data,1,0,0,,257
2024Q3,2024,3,1490.9243707378405,7.3071515896270265,7.318167108010112,5.599184688709036,9.953224183349638,0.049,99.0,1.0,99.0,1.0,0.0,0.0,1.0,0.0,270.2060155789924,21019.885208384447,5301000.0,4.9,Historical official/source data,1,0,0,,258
2024Q4,2024,4,1502.0182743465325,7.314564998925521,7.3071515896270265,5.579695519709035,9.953222611117573,0.051,100.0,1.0,100.0,1.0,0.0,0.0,0.0,1.0,264.99090899248563,21019.85216027286,5307800.0,5.1,Historical official/source data,1,0,0,,259
2025Q1,2025,1,1499.78577995301,7.313077563526842,7.314564998925521,5.616452759709035,9.96239251323273,0.051,101.0,1.0,101.0,1.0,0.0,0.0,0.0,0.0,274.9124709943192,21213.4886038155,5317200.0,5.1,Historical official/source data,1,0,0,,260
2025Q2,2025,2,1476.2931862205082,7.29728962108572,7.313077563526842,5.560712258709035,9.954744982051274,0.052000000000000005,102.0,1.0,102.0,1.0,0.0,1.0,0.0,0.0,260.0079633222605,21051.876542541737,5320600.0,5.2,Historical official/source data,1,0,0,,261
2025Q3,2025,3,1544.6797387351803,7.342571879,7.29728962108572,5.552383459709035,9.961983187963924,0.053,103.0,1.0,103.0,1.0,0.0,0.0,1.0,0.0,257.8514025046458,21204.80716377804,5331100.0,5.3,Historical official/source data,1,0,0,,262
2025Q4,2025,4,1565.5435343949114,7.355988349,7.342571879,5.57198897604971,9.960374495611342,0.054000000000000006,104.0,1.0,104.0,1.0,0.0,0.0,0.0,1.0,262.9565938206481,21170.722575814303,5342000.0,5.4,Historical official/source data,1,1,0,,263
2026Q1,2026,1,0.0,,7.355988349,5.597680943773655,0.0,0.0,105.0,1.0,105.0,1.0,0.0,0.0,0.0,0.0,269.8,0.0,0.0,0.0,Partial official CPI and fuel update,0,0,1,zero-target placeholder row; not an actual observation,264
