cohort,target_window,horizon,horizon_support_state,n_observations,n_origins,mape_pct,wape_pct,rmse,signed_mean_error_pct,signed_mean_error,first_target_period,last_target_period
all_available,all_targets,19,H13-H20,38,38,5.785319192629207,5.635911348330477,107.45132231712556,3.9394595230002447,58.21233587642013,2016Q3,2025Q4
all_available,all_targets,20,H13-H20,37,37,5.98566670479908,5.835395728321399,108.86535741400743,4.310581065045917,63.89458302937476,2016Q4,2025Q4
all_available,excl_2020_2021,1,H1-H12,48,48,0.8873135336379496,0.8690701343727468,20.20337073225029,-0.227181842925514,-3.540081120945525,2012Q1,2025Q4
all_available,excl_2020_2021,2,H1-H12,47,47,1.1450788880617957,1.1201288973746708,27.47482339213893,-0.2421863923828709,-3.7863072655287744,2012Q2,2025Q4
all_available,excl_2020_2021,3,H1-H12,46,46,1.2429676484057894,1.2162051373115772,29.79618953538269,-0.286100786981335,-4.52384494753146,2012Q3,2025Q4
all_available,excl_2020_2021,4,H1-H12,45,45,1.337806347677058,1.3103055140478412,31.179309744371785,-0.3784124391016384,-6.015132569984204,2012Q4,2025Q4
all_available,excl_2020_2021,5,H1-H12,44,44,1.5473082435855283,1.5167301841399592,33.34899760595205,-0.4493595357313479,-7.297641998851062,2013Q1,2025Q4
all_available,excl_2020_2021,6,H1-H12,43,43,1.631489754214765,1.6021432966104747,34.40942218590829,-0.5373846316061881,-8.753347409030338,2013Q2,2025Q4
all_available,excl_2020_2021,7,H1-H12,42,42,1.6460951761122535,1.621126121596172,34.738179880538894,-0.6625253048387781,-10.720820927702375,2013Q3,2025Q4
all_available,excl_2020_2021,8,H1-H12,41,41,1.709724663500618,1.6866133405185284,35.728061002281834,-0.7904283070805698,-12.757654689733588,2013Q4,2025Q4
all_available,excl_2020_2021,9,H1-H12,40,40,2.037484036619555,2.0036500173979688,40.91422296749153,-0.7772618934021878,-12.744701272777707,2014Q1,2025Q4
all_available,excl_2020_2021,10,H1-H12,39,39,2.2735455015522974,2.2295847491249963,46.86087086203364,-0.6849379464882404,-11.526520933320626,2014Q2,2025Q4
all_available,excl_2020_2021,11,H1-H12,38,38,2.5027626517768824,2.4456091497358976,52.02579237997893,-0.5079167412917222,-8.943937188224314,2014Q3,2025Q4
