source_release,FY,period,period_status,output_series_id,output_label,row_role,formula,source_rows,source_cells,observed_value,calculated_value,residual,residual_abs,status,missing_inputs,source_kind
BEFU26,2003,FY2003,ACTUAL,total_nltf_net_revenue,Total NLTF revenue,aggregate,total_revenue_net_admin - total_refunds,63; 64,D63; D64,1892.78935187111,1892.789351871109,1.1368683772161605e-12,1.1368683772161605e-12,reconciled,,official_source_formula_assertion
BEFU26,2003,FY2003,ACTUAL,total_refunds,Total refunds,aggregate,ruc_refunds + fed_refunds + mvr_refunds,33; 44; 54,D33; D44; D54,51.6331111111111,51.6331111111111,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2003,FY2003,ACTUAL,total_revenue_net_admin,Total revenues net of admin fees,aggregate,total_gross_revenue - total_admin_fees,61; 62,D61; D62,1944.42246298222,1944.42246298222,-2.273736754432321e-13,2.273736754432321e-13,reconciled,,official_source_formula_assertion
BEFU26,2003,FY2003,ACTUAL,total_ruc_net_revenue,Total RUC all classes,aggregate,ruc_revenue_net_admin - ruc_refunds,36; 33,D36; D33,608.124959537778,608.1249595377776,3.410605131648481e-13,3.410605131648481e-13,reconciled,,official_source_formula_assertion
BEFU26,2004,FY2004,ACTUAL,gross_fed_revenue,Gross FED revenue,aggregate,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,40; 41; 42,E40; E41; E42,1165.821743,1165.821743,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2004,FY2004,ACTUAL,gross_mvr_revenue,Gross MVR revenue,aggregate,mr1_revenue + mr2_revenue + coo_revenue,48; 49; 50,E48; E49; E50,210.911,210.911,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2004,FY2004,ACTUAL,gross_ruc_revenue,Gross RUC revenue,aggregate,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,28; 29; 30; 31; 32; 33,E28; E29; E30; E31; E32; E33,693.242374577778,693.2423745777776,4.547473508864641e-13,4.547473508864641e-13,reconciled,,official_source_formula_assertion
BEFU26,2004,FY2004,ACTUAL,mvr_revenue_net_admin_coo,MVR revenues net of admin fees and COO,aggregate,mr1_revenue + mr2_revenue - mvr_admin_revenue,48; 49; 52,E48; E49; E52,172.57,172.57,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2004,FY2004,ACTUAL,net_fed_revenue,Net FED revenue,aggregate,gross_fed_revenue - fed_refunds,43; 44,E43; E44,1140.42263188889,1140.4226318888889,1.1368683772161605e-12,1.1368683772161605e-12,reconciled,,official_source_formula_assertion
BEFU26,2004,FY2004,ACTUAL,net_mvr_revenue,Net MVR revenue,aggregate,mvr_revenue_net_admin_coo - mvr_refunds,53; 54,E53; E54,172.054,172.054,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2004,FY2004,ACTUAL,ruc_revenue_net_admin,RUC revenues net of admin fees,aggregate,gross_ruc_revenue - ruc_admin_revenue,34; 35,E34; E35,680.574374577778,680.574374577778,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2004,FY2004,ACTUAL,total_admin_fees,Total admin fees,aggregate,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,35; 52; 50,E35; E52; E50,51.009,51.009,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2004,FY2004,ACTUAL,total_fed_ruc_net_revenue,Total RUC+PED revenue,aggregate,net_fed_revenue + total_ruc_net_revenue,45; 37,E45; E37,1794.985450911112,1794.985450911112,0.0,0.0,reconciled,,derived_dashboard_subtotal
BEFU26,2004,FY2004,ACTUAL,total_gross_revenue,Total gross revenues,aggregate,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,34; 43; 51; 58,E34; E43; E51; E58,2069.97511757778,2069.975117577778,2.273736754432321e-12,2.273736754432321e-12,reconciled,,official_source_formula_assertion
BEFU26,2004,FY2004,ACTUAL,total_nltf_net_revenue,Total NLTF revenue,aggregate,total_revenue_net_admin - total_refunds,63; 64,E63; E64,1967.03945091111,1967.0394509111131,-3.410605131648481e-12,3.410605131648481e-12,reconciled,,official_source_formula_assertion
BEFU26,2004,FY2004,ACTUAL,total_refunds,Total refunds,aggregate,ruc_refunds + fed_refunds + mvr_refunds,33; 44; 54,E33; E44; E54,51.9266666666667,51.9266666666667,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2004,FY2004,ACTUAL,total_revenue_net_admin,Total revenues net of admin fees,aggregate,total_gross_revenue - total_admin_fees,61; 62,E61; E62,2018.96611757778,2018.96611757778,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2004,FY2004,ACTUAL,total_ruc_net_revenue,Total RUC all classes,aggregate,ruc_revenue_net_admin - ruc_refunds,36; 33,E36; E33,654.562819022222,654.5628190222225,-4.547473508864641e-13,4.547473508864641e-13,reconciled,,official_source_formula_assertion
BEFU26,2005,FY2005,ACTUAL,gross_fed_revenue,Gross FED revenue,aggregate,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,40; 41; 42,F40; F41; F42,1235.665162,1235.665162,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2005,FY2005,ACTUAL,gross_mvr_revenue,Gross MVR revenue,aggregate,mr1_revenue + mr2_revenue + coo_revenue,48; 49; 50,F48; F49; F50,217.248,217.248,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2005,FY2005,ACTUAL,gross_ruc_revenue,Gross RUC revenue,aggregate,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,28; 29; 30; 31; 32; 33,F28; F29; F30; F31; F32; F33,741.935421324444,741.9354213244447,-7.958078640513122e-13,7.958078640513122e-13,reconciled,,official_source_formula_assertion
BEFU26,2005,FY2005,ACTUAL,mvr_revenue_net_admin_coo,MVR revenues net of admin fees and COO,aggregate,mr1_revenue + mr2_revenue - mvr_admin_revenue,48; 49; 52,F48; F49; F52,177.506,177.506,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2005,FY2005,ACTUAL,net_fed_revenue,Net FED revenue,aggregate,gross_fed_revenue - fed_refunds,43; 44,F43; F44,1202.71493977778,1202.7149397777778,2.273736754432321e-12,2.273736754432321e-12,reconciled,,official_source_formula_assertion
BEFU26,2005,FY2005,ACTUAL,net_mvr_revenue,Net MVR revenue,aggregate,mvr_revenue_net_admin_coo - mvr_refunds,53; 54,F53; F54,177.016,177.016,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2005,FY2005,ACTUAL,ruc_revenue_net_admin,RUC revenues net of admin fees,aggregate,gross_ruc_revenue - ruc_admin_revenue,34; 35,F34; F35,728.587421324444,728.587421324444,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2005,FY2005,ACTUAL,total_admin_fees,Total admin fees,aggregate,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,35; 52; 50,F35; F52; F50,53.09,53.09,7.105427357601002e-15,7.105427357601002e-15,reconciled,,official_source_formula_assertion
BEFU26,2005,FY2005,ACTUAL,total_fed_ruc_net_revenue,Total RUC+PED revenue,aggregate,net_fed_revenue + total_ruc_net_revenue,45; 37,F45; F37,1903.244583324447,1903.244583324447,0.0,0.0,reconciled,,derived_dashboard_subtotal
BEFU26,2005,FY2005,ACTUAL,total_gross_revenue,Total gross revenues,aggregate,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,34; 43; 51; 58,F34; F43; F51; F58,2194.84858332444,2194.848583324444,-4.092726157978177e-12,4.092726157978177e-12,reconciled,,official_source_formula_assertion
BEFU26,2005,FY2005,ACTUAL,total_nltf_net_revenue,Total NLTF revenue,aggregate,total_revenue_net_admin - total_refunds,63; 64,F63; F64,2080.26058332444,2080.26058332444,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2005,FY2005,ACTUAL,total_refunds,Total refunds,aggregate,ruc_refunds + fed_refunds + mvr_refunds,33; 44; 54,F33; F44; F54,61.498,61.498000000000005,-7.105427357601002e-15,7.105427357601002e-15,reconciled,,official_source_formula_assertion
BEFU26,2005,FY2005,ACTUAL,total_revenue_net_admin,Total revenues net of admin fees,aggregate,total_gross_revenue - total_admin_fees,61; 62,F61; F62,2141.75858332444,2141.75858332444,4.547473508864641e-13,4.547473508864641e-13,reconciled,,official_source_formula_assertion
BEFU26,2005,FY2005,ACTUAL,total_ruc_net_revenue,Total RUC all classes,aggregate,ruc_revenue_net_admin - ruc_refunds,36; 33,F36; F33,700.529643546667,700.5296435466662,7.958078640513122e-13,7.958078640513122e-13,reconciled,,official_source_formula_assertion
BEFU26,2006,FY2006,ACTUAL,gross_fed_revenue,Gross FED revenue,aggregate,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,40; 41; 42,G40; G41; G42,1314.795058,1314.795058,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2006,FY2006,ACTUAL,gross_mvr_revenue,Gross MVR revenue,aggregate,mr1_revenue + mr2_revenue + coo_revenue,48; 49; 50,G48; G49; G50,220.973,220.973,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2006,FY2006,ACTUAL,gross_ruc_revenue,Gross RUC revenue,aggregate,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,28; 29; 30; 31; 32; 33,G28; G29; G30; G31; G32; G33,752.813307946667,752.813307946666,1.0231815394945445e-12,1.0231815394945445e-12,reconciled,,official_source_formula_assertion
BEFU26,2006,FY2006,ACTUAL,mvr_revenue_net_admin_coo,MVR revenues net of admin fees and COO,aggregate,mr1_revenue + mr2_revenue - mvr_admin_revenue,48; 49; 52,G48; G49; G52,179.987,179.987,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2006,FY2006,ACTUAL,net_fed_revenue,Net FED revenue,aggregate,gross_fed_revenue - fed_refunds,43; 44,G43; G44,1282.435058,1282.435058,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2006,FY2006,ACTUAL,net_mvr_revenue,Net MVR revenue,aggregate,mvr_revenue_net_admin_coo - mvr_refunds,53; 54,G53; G54,179.441,179.441,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2006,FY2006,ACTUAL,ruc_revenue_net_admin,RUC revenues net of admin fees,aggregate,gross_ruc_revenue - ruc_admin_revenue,34; 35,G34; G35,739.798307946667,739.798307946667,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2006,FY2006,ACTUAL,total_admin_fees,Total admin fees,aggregate,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,35; 52; 50,G35; G52; G50,54.001,54.001,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2006,FY2006,ACTUAL,total_fed_ruc_net_revenue,Total RUC+PED revenue,aggregate,net_fed_revenue + total_ruc_net_revenue,45; 37,G45; G37,1995.789365946667,1995.789365946667,0.0,0.0,reconciled,,derived_dashboard_subtotal
BEFU26,2006,FY2006,ACTUAL,total_gross_revenue,Total gross revenues,aggregate,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,34; 43; 51; 58,G34; G43; G51; G58,2288.58136594667,2288.581365946667,2.7284841053187847e-12,2.7284841053187847e-12,reconciled,,official_source_formula_assertion
BEFU26,2006,FY2006,ACTUAL,total_nltf_net_revenue,Total NLTF revenue,aggregate,total_revenue_net_admin - total_refunds,63; 64,G63; G64,2175.23036594667,2175.23036594667,0.0,0.0,reconciled,,official_source_formula_assertion
