grid,model,horizon,n,mape,bias_pct
schiff_paper_grid,SCHIFF_SPEC_OLS_w64,10,7,11.251706827289652,2.8051881810716597
schiff_paper_grid,SCHIFF_SPEC_OLS_w64,11,6,12.098060166363577,5.27558435398288
schiff_paper_grid,SCHIFF_SPEC_OLS_w64,12,5,14.8655194229624,5.792617537658192
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,1,38,8.076377435618616,3.1416691451954746
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,2,37,8.359497245399105,3.351202844289213
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,3,36,7.890532189692948,3.4298006002378076
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,4,35,8.529094979154781,3.8026896979120566
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,5,34,10.084689925336423,3.973859722652389
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,6,33,10.351969871458227,4.199226362933664
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,7,32,10.53791960627432,4.573376692308251
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,8,31,10.716727574918785,5.085304165748902
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,9,30,11.038429511174316,5.8554426530108765
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,10,29,11.393854906169683,6.79014960862235
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,11,28,11.842548382206642,7.428671932422636
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,12,27,12.188030052831579,8.063670452458274
schiff_paper_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,1,16,7.402710238819657,1.0280232311769413
schiff_paper_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,2,15,6.8825506092103765,0.42474442202420803
schiff_paper_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,3,14,4.864909751266384,-1.8904133561949508
schiff_paper_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,4,13,5.583244881417893,-1.7215675962059171
schiff_paper_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,5,12,6.429332015672546,-1.1436969296691288
schiff_paper_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,6,11,7.006677223735647,-0.647890505060146
schiff_paper_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,7,10,8.01734244810758,-0.1645086536370466
schiff_paper_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,8,9,8.318314623683136,0.953791488096591
schiff_paper_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,9,8,9.530406705170172,1.5729303141883768
schiff_paper_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,10,7,11.248573124625068,2.7966206645098604
schiff_paper_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,11,6,12.093218484817482,5.265710440970405
schiff_paper_grid,SCHIFF_SPEC_Ridge_a0.001_expanding,12,5,14.860452311600989,5.782110947320436
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.01_expanding,1,38,8.078521383843274,3.1290483959488213
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.01_expanding,2,37,8.358923718616342,3.3345331665766365
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.01_expanding,3,36,7.886556091012592,3.4097243639261254
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.01_expanding,4,35,8.524806101839848,3.779062597250751
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.01_expanding,5,34,10.084995923331789,3.947092431663214
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.01_expanding,6,33,10.352648498905259,4.170162695801671
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.01_expanding,7,32,10.535478130787231,4.542149721734104
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.01_expanding,8,31,10.710506445648324,5.052000538347854
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.01_expanding,9,30,11.030784644670819,5.817939099070018
current_evidence_grid,SCHIFF_SPEC_Ridge_a0.01_expanding,10,29,11.380845922645788,6.748883002613034
