stream_label,model_class,model,operational_n,operational_pooled_mape,operational_horizon_mean_mape,operational_bias_pct,paper_n,paper_horizon_mean_mape,paper_pooled_mape,paper_bias_pct,operational_annual_mape,paper_annual_mape,operational_h09_12_mape,paper_h09_12_mape,op_gain_vs_schiff_spec_pp,paper_gain_vs_schiff_spec_pp,decision_score,governance_score
Light RUC volume,Light RUC challenger candidate,ENSEMBLE_top12_median,390,8.332607754721783,8.475482020773818,1.8194556155038089,126.0,7.118871883102231,6.222956240585228,-1.0523246271948417,5.950110174112428,,10.007239885078492,10.99164592299249,0.08033132337618198,1.402525206904639,17.120952742902503,0.0840218712029161
Light RUC volume,Light RUC challenger candidate,SCHIFF_SPEC_Elastic_a0.005_l10.15_w40,390,8.375748260969008,8.507829306180563,1.5495940562832384,126.0,6.968028221217874,6.197199797561336,-1.7640578428293536,6.055865858423673,3.965573216365761,9.919235237777867,10.0807671596973,0.03719081712895722,1.5533688687889962,17.012702352421126,0.0886998784933171
Light RUC volume,Light RUC challenger candidate,ENSEMBLE_top12_mean,390,8.33803995294033,8.474135658809962,2.028628475674469,126.0,7.014958556838427,6.132702584081167,-0.9017888680794114,6.010846383519163,,9.904906128428651,10.830056066607526,0.07489912515763564,1.506438533168443,17.058572953225994,0.0930741190765492
Light RUC volume,Light RUC challenger candidate,SCHIFF_SPEC_Elastic_a0.001_l10.5_w40,390,8.35940941774329,8.506103191994073,1.8234820035914887,126.0,7.074732143610638,6.203559697275562,-1.2374787604405255,5.928368255115831,3.516642089468015,10.110139008854112,10.616471811571389,0.0535296603546751,1.4466649463962318,17.098581825492033,0.094775212636695
Light RUC volume,Light RUC challenger candidate,ENSEMBLE_top8_mean,390,8.305322638126658,8.441090826892136,2.165984658402897,126.0,7.0054488275573705,6.090669920459085,-0.5744639489931854,6.066886042784696,,9.853650262126362,10.95668551850219,0.10761643997130754,1.5159482624494993,17.04409144222049,0.0976913730255164
Light RUC volume,Light RUC challenger candidate,SCHIFF_SPEC_Elastic_a0.01_l10.15_w40,390,8.441753855309166,8.558954322143107,1.4060659347788398,126.0,6.935605633192353,6.22888983304698,-2.242216380116337,6.159938080029397,4.453647128169305,9.76782709446901,9.739292199844565,-0.028814777211200848,1.5857914568145173,17.05795060198675,0.1021263669501822
Light RUC volume,Light RUC challenger candidate,SCHIFF_SPEC_Elastic_a0.001_l10.7_w40,390,8.380879806387204,8.529386775511028,1.9161229964341249,126.0,7.1016155555201195,6.2221775203245135,-1.1903539522099096,5.90253544024534,3.4998080986431326,10.150422807103094,10.657055499478684,0.03205927171076084,1.4197815344867504,17.14974152161207,0.1024301336573511
Light RUC volume,Light RUC challenger candidate,SCHIFF_SPEC_Elastic_a0.005_l10.3_w40,390,8.458839492987643,8.594251390151834,1.869993506066014,126.0,7.080050991113095,6.25772311884008,-1.5557057322406849,5.945466819193144,3.924207870027009,10.030882233918268,10.35954177766941,-0.045900414889677776,1.4413460988937752,17.212256539505624,0.1074726609963547
Light RUC volume,Light RUC challenger candidate,SCHIFF_SPEC_Elastic_a0.001_l10.9_w40,390,8.407168998332136,8.55663855599874,2.011282582923406,126.0,7.135314821752469,6.247005550591525,-1.1290904928759482,5.869240987881788,3.4822163094285057,10.178930140606674,10.700832969978784,0.00577007976582955,1.386082268254401,17.210922325347394,0.1108140947752126
Light RUC volume,Light RUC challenger candidate,spec_plus_ylag_RESID_GBR_n80_d1_lr0.03_w40,390,8.32860491759778,8.45773689994738,1.6971604104503517,126.0,6.772519865668182,5.8606375932324175,-0.4949381583576369,6.424190559766911,3.5205905745830544,9.793669120149568,10.442291349800763,0.08433416050018572,1.7488772243386874,16.876888464252726,0.1217496962332928
